source_policydoc;impact_policydoc;impact_type;impact_weight;justification
A Clean Industrial Deal;A Sustainable Transport Plan;+;2;The Clean Industrial Deal and the Sustainable Transport Plan are reinforcing as they both aim to reduce emissions and increase the use of renewable energy sources, which will aid in achieving the targets set out in the Sustainable Transport Plan.
A Circular Economy Action Plan;A Proposal on packaging and packaging waste;+;1;The Circular Economy Action Plan enables the Proposal on packaging and packaging waste by creating conditions that further the recycling targets set out in the Proposal.
A Circular Economy Action Plan;A Proposal on batteries and waste batteries;+;1;The Circular Economy Action Plan enables the Proposal on batteries and waste batteries by creating conditions that further the recycling targets set out in the Proposal.
A Circular Economy Action Plan;A Sustainable and Smart Mobility Strategy;+;2;The Circular Economy Action Plan and the Sustainable and Smart Mobility Strategy are reinforcing as they both aim to reduce emissions and increase the use of renewable energy sources, which will aid in achieving the targets set out in the Sustainable and Smart Mobility Strategy.
A Farm to Fork Strategy;A Proposal on packaging and packaging waste;+;2;The Farm to Fork Strategy and the Proposal on packaging and packaging waste are reinforcing as they both aim to reduce waste and increase recycling, which will aid in achieving the targets set out in the Proposal.
A Farm to Fork Strategy;A Sustainable and Smart Mobility Strategy;+;1;The Farm to Fork Strategy enables the Sustainable and Smart Mobility Strategy by creating conditions that further the reduction of emissions from transport set out in the Strategy.
A Proposal on packaging and packaging waste;A Sustainable and Smart Mobility Strategy;+;1;The Proposal on packaging and packaging waste enables the Sustainable and Smart Mobility Strategy by creating conditions that further the recycling targets set out in the Strategy.
A Proposal on batteries and waste batteries;A Sustainable and Smart Mobility Strategy;+;1;The Proposal on batteries and waste batteries enables the Sustainable and Smart Mobility Strategy by creating conditions that further the recycling targets set out in the Strategy.
A Sustainable and Smart Mobility Strategy;A Proposal on packaging and packaging waste;-;2;The Sustainable and Smart Mobility Strategy and the Proposal on packaging and packaging waste are counteracting as the Strategy aims to increase the use of electric vehicles, which may increase the demand for batteries and packaging, potentially hindering the recycling targets set out in the Proposal.
A Sustainable and Smart Mobility Strategy;A Proposal on batteries and waste batteries;-;2;The Sustainable and Smart Mobility Strategy and the Proposal on batteries and waste batteries are counteracting as the Strategy aims to increase the use of electric vehicles, which may increase the demand for batteries, potentially hindering the recycling targets set out in the Proposal.
