source_policydoc;impact_policydoc;impact_type;impact_weight;justification
A Farm to Fork Strategy;The new EU Industrial strategy;+;2;The Farm to Fork Strategy aims to reduce the environmental footprint of the EU food system, which could reinforce the EU Industrial Strategy by promoting sustainable and innovative food production.
A Farm to Fork Strategy;The EU Bioeconomy Strategy;+;1;The Farm to Fork Strategy encourages sustainable agriculture practices, which could enable the EU Bioeconomy Strategy by providing biomass for bio-based products.
The EU Bioeconomy Strategy;The new EU Industrial strategy;+;2;The EU Bioeconomy Strategy promotes the use of biomass for energy, which could reinforce the EU Industrial Strategy by providing a low-carbon energy source.
The EU Bioeconomy Strategy;A Farm to Fork Strategy;+;1;The EU Bioeconomy Strategy supports the development of sustainable bio-based products, which could enable the Farm to Fork Strategy by providing alternatives to fossil-based products.
The new EU Industrial strategy;The EU Bioeconomy Strategy;+;2;The EU Industrial Strategy promotes innovation and competitiveness, which could reinforce the EU Bioeconomy Strategy by supporting the development of new bio-based products.
The new EU Industrial strategy;A Farm to Fork Strategy;+;1;The EU Industrial Strategy encourages sustainable and innovative production methods, which could enable the Farm to Fork Strategy by promoting sustainable agriculture practices.
The EU Batteries Regulation;The new EU Industrial strategy;+;2;The EU Batteries Regulation sets targets for the recycling of batteries, which could reinforce the EU Industrial Strategy by promoting sustainable and innovative battery production.
The EU Batteries Regulation;A Farm to Fork Strategy;-;1;The EU Batteries Regulation focuses on battery recycling, which could constrain the Farm to Fork Strategy by limiting the options for sustainable agriculture practices.
The EU Batteries Regulation;The EU Bioeconomy Strategy;+;1;The EU Batteries Regulation promotes sustainable battery production, which could enable the EU Bioeconomy Strategy by providing a low-carbon energy source.
The new EU Industrial strategy;The EU Batteries Regulation;+;2;The EU Industrial Strategy promotes innovation and competitiveness, which could reinforce the EU Batteries Regulation by supporting the development of new battery technologies.
The new EU Industrial strategy;The EU Bioeconomy Strategy;+;2;The EU Industrial Strategy encourages sustainable and innovative production methods, which could reinforce the EU Bioeconomy Strategy by promoting sustainable bio-based products.
A Farm to Fork Strategy;The EU Batteries Regulation;-;1;The Farm to Fork Strategy aims to reduce the environmental footprint of the EU food system, which could constrain the EU Batteries Regulation by limiting the options for battery production.
