A Farm to Fork Strategy;European Climate Law;+2;The implementation of the Farm to Fork Strategy's targets on reducing the use of mineral fertilisers and pesticides can reinforce the European Climate Law's target of reducing greenhouse gas emissions by 55% compared to 1990 levels, as sustainable agriculture practices can lead to improved soil health and increased carbon sequestration.
A Farm to Fork Strategy;EU Soil Strategy for 2030;+1;The Farm to Fork Strategy's focus on sustainable agriculture practices can enable the EU Soil Strategy for 2030's target of improving soil health, as sustainable practices can lead to increased soil organic carbon and reduced soil erosion.
A Farm to Fork Strategy;Circular Economy Action Plan;+1;The Farm to Fork Strategy's emphasis on reducing food waste and promoting sustainable food systems can enable the Circular Economy Action Plan's target of reducing waste and increasing recycling, as sustainable food systems can lead to reduced food waste and increased recycling of organic waste.
European Climate Law;EU Biodiversity Strategy for 2030;-1;The European Climate Law's target of reducing greenhouse gas emissions by 55% compared to 1990 levels may constrain the EU Biodiversity Strategy for 2030's target of protecting and restoring ecosystems, as the transition to renewable energy sources may lead to land-use changes that negatively impact biodiversity.
European Climate Law;Regulation on plant reproductive material;-2;The European Climate Law's target of reducing greenhouse gas emissions by 55% compared to 1990 levels may counteract the Regulation on plant reproductive material's target of promoting the use of plant reproductive material, as the transition to renewable energy sources may lead to increased demand for biomass and competition for land use.
EU Biodiversity Strategy for 2030;Nature Restoration Law;+3;The EU Biodiversity Strategy for 2030's target of protecting and restoring ecosystems can be indivisibly linked to the Nature Restoration Law's target of restoring degraded ecosystems, as the restoration of ecosystems can lead to improved biodiversity and ecosystem services.
EU Biodiversity Strategy for 2030;Circular Economy Action Plan;+1;The EU Biodiversity Strategy for 2030's target of protecting and restoring ecosystems can enable the Circular Economy Action Plan's target of reducing waste and increasing recycling, as the restoration of ecosystems can lead to increased recycling of organic waste and reduced waste generation.
Nature Restoration Law;EU Soil Strategy for 2030;+2;The Nature Restoration Law's target of restoring degraded ecosystems can reinforce the EU Soil Strategy for 2030's target of improving soil health, as the restoration of ecosystems can lead to improved soil health and increased soil organic carbon.
Nature Restoration Law;Circular Economy Action Plan;+1;The Nature Restoration Law's target of restoring degraded ecosystems can enable the Circular Economy Action Plan's target of reducing waste and increasing recycling, as the restoration of ecosystems can lead to increased recycling of organic waste and reduced waste generation.
Regulation on plant reproductive material;EU Biodiversity Strategy for 2030;-3;The Regulation on plant reproductive material's target of promoting the use of plant reproductive material may cancel the EU Biodiversity Strategy for 2030's target of protecting and restoring ecosystems, as the increased demand for plant reproductive material may lead to over-exploitation of ecosystems and negative impacts on biodiversity.
