source_policydoc;impact_policydoc;impact_type;impact_weight;justification
Directive 2010/75/EU of the European Parliament and of the Council;On the quality of water intended for human consumption;+2;Providing access to clean water reinforces the achievement of the target of reducing pollution from water bodies, as clean water is essential for human consumption and ecosystem health.
On the quality of water intended for human consumption;Directive (EU) 2023/1805;+1;The implementation of the Urban Wastewater Treatment Directive can enable the achievement of the target of reducing greenhouse gas emissions from maritime transport, as it promotes the use of shore-side electricity supply for inland waterway vessels.
Directive (EU) 2023/1805;On the quality of water intended for human consumption;-1;The target of reducing greenhouse gas emissions from maritime transport may constrain the options for water pollution reduction, as the focus on low-carbon fuels may lead to increased water pollution from new energy sources.
On the quality of water intended for human consumption;On ensuring a level playing field for sustainable air transport;-2;The implementation of the Sustainable Aviation Fuels (SAF) may counteract the target of reducing water pollution, as the production of SAF may lead to increased water pollution from new energy sources.
On ensuring a level playing field for sustainable air transport;On the deployment of alternative fuels in maritime transport;+3;The target of increasing the use of sustainable aviation fuels can reinforce the target of increasing the use of alternative fuels in maritime transport, as both targets aim to reduce greenhouse gas emissions from the transport sector.
On the deployment of alternative fuels in maritime transport;On the quality of water intended for human consumption;-3;The implementation of the target of increasing the use of alternative fuels in maritime transport may cancel the target of reducing pollution from water bodies, as the production and use of alternative fuels may lead to increased water pollution.
On the quality of water intended for human consumption;Pathway to a Healthy Planet for All EU Action Plan: ‘Towards Zero Pollution for Air, Water and Soil’;+1;The implementation of the Urban Wastewater Treatment Directive can enable the achievement of the target of reducing pollution from water bodies, as clean water is essential for human consumption and ecosystem health.
Pathway to a Healthy Planet for All EU Action Plan: ‘Towards Zero Pollution for Air, Water and Soil’;Directive (EU) 2023/2413;+2;The target of reducing pollution from water bodies can reinforce the target of increasing the use of renewable fuels of non-biological origin in the transport sector, as both targets aim to reduce greenhouse gas emissions.
Directive (EU) 2023/2413;On the quality of water intended for human consumption;-1;The implementation of the target of increasing the use of renewable fuels of non-biological origin in the transport sector may constrain the options for water pollution reduction, as the focus on low-carbon fuels may lead to increased water pollution from new energy sources.
On the quality of water intended for human consumption;European assessment framework for ‘safe and sustainable by design’ chemicals and materials;+1;The implementation of the target of reducing pollution from water bodies can enable the achievement of the target of improving soil quality, as clean water is essential for ecosystem health.
European assessment framework for ‘safe and sustainable by design’ chemicals and materials;On the quality of water intended for human consumption;-2;The target of improving soil quality may counteract the target of reducing pollution from water bodies, as the focus on soil health may lead to increased water pollution from agricultural activities.
On the quality of water intended for human consumption;On reporting of environmental data from industrial installations and establishing an Industrial Emissions Portal;+2;The implementation of the target of reducing pollution from water bodies can reinforce the target of reducing pollution from industrial activities, as both targets aim to reduce greenhouse gas emissions.
On reporting of environmental data from industrial installations and establishing an Industrial Emissions Portal;Directive (EU) 2023/1805;+1;The target of reducing pollution from industrial activities can enable the achievement of the target of reducing greenhouse gas emissions from maritime transport, as the reduction of pollution from industrial activities can lead to increased use of low-carbon fuels.
Directive (EU) 2023/1805;On the quality of water intended for human consumption;-1;The implementation of the target of reducing greenhouse gas emissions from maritime transport may constrain the options for water pollution reduction, as the focus on low-carbon fuels may lead to increased water pollution from new energy sources.
On the quality of water intended for human consumption;on ambient air quality and cleaner air for Europe;+1;The implementation of the target of reducing pollution from water bodies can enable the achievement of the target of improving air quality, as clean water is essential for ecosystem health and can lead to reduced air pollution.
on ambient air quality and cleaner air for Europe;Directive (EU) 2023/1805;+2;The target of improving air quality can reinforce the target of reducing greenhouse gas emissions from maritime transport, as both targets aim to reduce greenhouse gas emissions.
Directive (EU) 2023/1805;On the quality of water intended for human consumption;-1;The implementation of the target of reducing greenhouse gas emissions from maritime transport may constrain the options for water pollution reduction, as the focus on low-carbon fuels may lead to increased water pollution from new energy sources.
On the quality of water intended for human consumption;On the Energy Transition of the EU Fisheries and Aquaculture sector;+1;The implementation of the target of reducing pollution from water bodies can enable the achievement of the target of reducing greenhouse gas emissions from the fisheries and aquaculture sector, as clean water is essential for ecosystem health.
On the Energy Transition of the EU Fisheries and Aquaculture sector;Directive (EU) 2023/2413;+2;The target of reducing greenhouse gas emissions from the fisheries and aquaculture sector can reinforce the target of increasing the use of renewable fuels of non-biological origin in the transport sector, as both targets aim to reduce greenhouse gas emissions.
Directive (EU) 2023/2413;On the quality of water intended for human consumption;-1;The implementation of the target of increasing the use of renewable fuels of non-biological origin in the transport sector may constrain the options for water pollution reduction, as the focus on low-carbon fuels may lead to increased water pollution from new energy sources.
On the quality of water intended for human consumption;Amending Regulation (EU) 2019/1242;+1;The implementation of the target of reducing pollution from water bodies can enable the achievement of the target of reducing greenhouse gas emissions from the land transport sector, as clean water is essential for ecosystem health.
