source_policydoc;impact_policydoc;impact_type;impact_weight;justification
A Farm to Fork Strategy;A Clean Industrial Deal;+;2;The Farm to Fork Strategy aims to reduce the environmental footprint of the EU food system, which can reinforce the Clean Industrial Deal's objective of reducing greenhouse gas emissions from industry.
A Farm to Fork Strategy;Energy from Renewable Sources;+;1;The Farm to Fork Strategy's focus on sustainable agriculture can enable the achievement of the Energy from Renewable Sources target of 32% of renewable energy in the energy mix by 2030.
A European Green Deal;A Renovation Wave for Europe;+;3;The European Green Deal's goal of reducing emissions from buildings can be achieved through the Renovation Wave for Europe, which aims to reduce buildings' greenhouse gas emissions by 60% by 2030.
A European Green Deal;On packaging and packaging waste;+;2;The European Green Deal's objective of reducing waste can be supported by the On packaging and packaging waste policy document, which aims to reduce packaging waste by 50% by 2025.
On the quality of water intended for human consumption;On energy efficiency and amending Regulation (EU) 2018/2001;+;1;The On the quality of water intended for human consumption policy document can enable the achievement of the On energy efficiency and amending Regulation (EU) 2018/2001 target of reducing energy consumption by 32.5% by 2030.
On the quality of water intended for human consumption;A European Green Deal;+;2;The On the quality of water intended for human consumption policy document can reinforce the European Green Deal's objective of reducing emissions from non-CO2 greenhouse gases by 30% by 2030.
On energy efficiency and amending Regulation (EU) 2018/2001;A Renovation Wave for Europe;+;3;The On energy efficiency and amending Regulation (EU) 2018/2001 policy document can support the Renovation Wave for Europe's objective of reducing buildings' energy consumption by 14% by 2030.
On energy efficiency and amending Regulation (EU) 2018/2001;Energy from Renewable Sources;+;1;The On energy efficiency and amending Regulation (EU) 2018/2001 policy document can enable the achievement of the Energy from Renewable Sources target of 40% of renewable energy in the energy mix by 2030.
A Renovation Wave for Europe;On packaging and packaging waste;-;2;The Renovation Wave for Europe's focus on building renovation can constrain the options for reducing packaging waste, as it may prioritize building materials over sustainable packaging solutions.
Energy from Renewable Sources;A European Green Deal;+;3;The Energy from Renewable Sources policy document can support the European Green Deal's objective of reducing emissions from industry by promoting the use of renewable energy sources.
On packaging and packaging waste;A Clean Industrial Deal;-;1;The On packaging and packaging waste policy document can counteract the Clean Industrial Deal's objective of reducing greenhouse gas emissions from industry, as it may prioritize waste reduction over emissions reduction.
