source_policydoc;impact_policydoc;impact_type;impact_weight;justification
A Farm to Fork Strategy;A Clean Industrial Deal;+;2;The implementation of the Farm to Fork Strategy's targets on sustainable agriculture and food waste reduction can reinforce the Clean Industrial Deal's objectives on sustainable industry and low-carbon technologies, as sustainable agriculture can provide low-carbon biomass for industrial processes.
A Farm to Fork Strategy;EU Soil Strategy for 2030;+;1;The Farm to Fork Strategy's focus on sustainable agriculture and soil health can enable the EU Soil Strategy for 2030's objectives on soil protection and restoration, as sustainable agriculture practices can help maintain soil health and reduce soil erosion.
A EU Biodiversity Strategy for 2030;A Nature Restoration Law;+;3;The EU Biodiversity Strategy for 2030's targets on biodiversity protection and restoration can be reinforced by the Nature Restoration Law's objectives on ecosystem restoration, as restoring natural ecosystems can help protect and restore biodiversity.
A EU Biodiversity Strategy for 2030;A Circular Economy Action Plan;+;2;The EU Biodiversity Strategy for 2030's targets on biodiversity protection and restoration can be supported by the Circular Economy Action Plan's objectives on waste reduction and recycling, as reducing waste and promoting recycling can help reduce pollution and protect biodiversity.
A EU Biodiversity Strategy for 2030;A REPowerEU Plan;-;1;The EU Biodiversity Strategy for 2030's targets on biodiversity protection and restoration may be constrained by the REPowerEU Plan's objectives on renewable energy production, as large-scale renewable energy production can lead to habitat destruction and fragmentation.
A EU Biodiversity Strategy for 2030;A Regulation on plant reproductive material;+;1;The EU Biodiversity Strategy for 2030's targets on biodiversity protection and restoration can be enabled by the Regulation on plant reproductive material's objectives on plant protection and restoration, as protecting and restoring plant species can help maintain ecosystem services and biodiversity.
A EU Biodiversity Strategy for 2030;A Sustainable Transport Plan;-;2;The EU Biodiversity Strategy for 2030's targets on biodiversity protection and restoration may be counteracted by the Sustainable Transport Plan's objectives on transportation and infrastructure development, as transportation infrastructure can lead to habitat destruction and fragmentation.
A Circular Economy Action Plan;A Clean Industrial Deal;+;2;The Circular Economy Action Plan's objectives on waste reduction and recycling can reinforce the Clean Industrial Deal's objectives on sustainable industry and low-carbon technologies, as reducing waste and promoting recycling can help reduce pollution and support low-carbon technologies.
A Circular Economy Action Plan;A EU Soil Strategy for 2030;+;1;The Circular Economy Action Plan's objectives on waste reduction and recycling can enable the EU Soil Strategy for 2030's objectives on soil protection and restoration, as reducing waste and promoting recycling can help reduce soil pollution and maintain soil health.
A Circular Economy Action Plan;A Nature Restoration Law;+;2;The Circular Economy Action Plan's objectives on waste reduction and recycling can support the Nature Restoration Law's objectives on ecosystem restoration, as reducing waste and promoting recycling can help reduce pollution and protect ecosystems.
A Circular Economy Action Plan;A REPowerEU Plan;-;1;The Circular Economy Action Plan's objectives on waste reduction and recycling may be constrained by the REPowerEU Plan's objectives on renewable energy production, as large-scale renewable energy production can lead to land-use changes and habitat destruction.
A Clean Industrial Deal;A EU Soil Strategy for 2030;+;1;The Clean Industrial Deal's objectives on sustainable industry and low-carbon technologies can enable the EU Soil Strategy for 2030's objectives on soil protection and restoration, as sustainable industry practices can help maintain soil health and reduce soil erosion.
A Clean Industrial Deal;A Nature Restoration Law;+;2;The Clean Industrial Deal's objectives on sustainable industry and low-carbon technologies can reinforce the Nature Restoration Law's objectives on ecosystem restoration, as sustainable industry practices can help reduce pollution and protect ecosystems.
A Clean Industrial Deal;A REPowerEU Plan;+;2;The Clean Industrial Deal's objectives on sustainable industry and low-carbon technologies can support the REPowerEU Plan's objectives on renewable energy production, as low-carbon technologies can help reduce greenhouse gas emissions and support renewable energy production.
A Clean Industrial Deal;A Sustainable Transport Plan;+;1;The Clean Industrial Deal's objectives on sustainable industry and low-carbon technologies can enable the Sustainable Transport Plan's objectives on transportation and infrastructure development, as sustainable industry practices can help reduce pollution and support low-carbon technologies in transportation.
A REPowerEU Plan;A EU Soil Strategy for 2030;-;1;The REPowerEU Plan's objectives on renewable energy production may be constrained by the EU Soil Strategy for 2030's objectives on soil protection and restoration, as large-scale renewable energy production can lead to land-use changes and habitat destruction.
A REPowerEU Plan;A Nature Restoration Law;-;2;The REPowerEU Plan's objectives on renewable energy production may counteract the Nature Restoration Law's objectives on ecosystem restoration, as large-scale renewable energy production can lead to habitat destruction and fragmentation.
A REPowerEU Plan;A Sustainable Transport Plan;+;2;The REPowerEU Plan's objectives on renewable energy production can support the Sustainable Transport Plan's objectives on transportation and infrastructure development, as renewable energy can help reduce greenhouse gas emissions and support low-carbon technologies in transportation.
A Sustainable Transport Plan;A EU Soil Strategy for 2030;-;1;The Sustainable Transport Plan's objectives on transportation and infrastructure development may be constrained by the EU Soil Strategy for 2030's objectives on soil protection and restoration, as transportation infrastructure can lead to soil pollution and habitat destruction.
A Sustainable Transport Plan;A Nature Restoration Law;-;2;The Sustainable Transport Plan's objectives on transportation and infrastructure development may counteract the Nature Restoration Law's objectives on ecosystem restoration, as transportation infrastructure can lead to habitat destruction and fragmentation.
