source_policydoc;impact_policydoc;impact_type;impact_weight;justification
A Farm to Fork Strategy;A Sustainable Transport Investment Plan;+;2;The Farm to Fork Strategy aims to reduce the environmental footprint of EU food systems, which could positively impact the Sustainable Transport Investment Plan by promoting sustainable land transport modes and reducing transport emissions.
A Circular Economy Action Plan;A Sustainable Transport Investment Plan;+;1;The Circular Economy Action Plan encourages the use of recycled materials and the reduction of waste, which could enable the Sustainable Transport Investment Plan by providing alternative, low-carbon fuels for transport.
A Circular Economy Action Plan;A Proposal for a Directive on the recycling of batteries;+;3;The Circular Economy Action Plan promotes recycling and the use of recycled materials, which could reinforce the Proposal for a Directive on the recycling of batteries by increasing the availability of recycled materials for battery production.
A Proposal for a Directive on the recycling of batteries;A Sustainable Transport Investment Plan;+;1;The Proposal for a Directive on the recycling of batteries aims to increase battery recycling rates, which could enable the Sustainable Transport Investment Plan by providing a stable supply of recycled materials for the production of low-carbon fuels.
A Renewable Energy Directive;A Proposal for a Regulation on deforestation-free products;+;2;The Renewable Energy Directive promotes the use of renewable energy sources, which could positively impact the Proposal for a Regulation on deforestation-free products by reducing the EU's reliance on fossil fuels and promoting sustainable land use.
A Proposal for a Regulation on deforestation-free products;A Renewable Energy Directive;-;2;The Proposal for a Regulation on deforestation-free products may counteract the Renewable Energy Directive by limiting the options for renewable energy production from biomass.
A European Climate Law;A Nature Restoration Law;+;3;The European Climate Law sets a framework for achieving climate neutrality, which could reinforce the Nature Restoration Law by promoting ecosystem restoration and biodiversity conservation.
A Nature Restoration Law;A European Climate Law;+;2;The Nature Restoration Law aims to restore degraded ecosystems, which could positively impact the European Climate Law by removing CO2 from the atmosphere and promoting climate resilience.
A European Climate Law;A Proposal for a Directive on the recycling of batteries;+;1;The European Climate Law promotes climate action, which could enable the Proposal for a Directive on the recycling of batteries by increasing the demand for low-carbon technologies and promoting a circular economy.
A European Green Deal;A Sustainable and Smart Mobility Strategy;+;3;The European Green Deal promotes sustainable growth and sets a framework for achieving climate neutrality, which could reinforce the Sustainable and Smart Mobility Strategy by promoting low-carbon transport modes and reducing emissions.
A Sustainable and Smart Mobility Strategy;A European Green Deal;+;2;The Sustainable and Smart Mobility Strategy aims to reduce transport emissions, which could positively impact the European Green Deal by promoting sustainable transport modes and reducing the EU's environmental footprint.
