ta_pairs_nbr;ta_pairs_pairs;model;seed;temperature;system_fingerprint;prompt_tokens;completion_tokens
0;['TA1', 'TA2'];llama-3.3-70b-instruct;;0.1;;100431;638
1;['TA1', 'TA3'];llama-3.3-70b-instruct;;0.1;;98587;1059
2;['TA1', 'TA4'];llama-3.3-70b-instruct;;0.1;;99112;859
3;['TA1', 'TA5'];llama-3.3-70b-instruct;;0.1;;97061;421
4;['TA1', 'TA6'];llama-3.3-70b-instruct;;0.1;;98082;579
5;['TA1', 'TA7'];llama-3.3-70b-instruct;;0.1;;94219;775
6;['TA2', 'TA1'];llama-3.3-70b-instruct;;0.1;;100431;512
7;['TA2', 'TA3'];llama-3.3-70b-instruct;;0.1;;101682;1115
8;['TA2', 'TA4'];llama-3.3-70b-instruct;;0.1;;102207;801
9;['TA2', 'TA5'];llama-3.3-70b-instruct;;0.1;;100156;891
10;['TA2', 'TA6'];llama-3.3-70b-instruct;;0.1;;101177;538
11;['TA2', 'TA7'];llama-3.3-70b-instruct;;0.1;;97314;803
12;['TA3', 'TA1'];llama-3.3-70b-instruct;;0.1;;98587;897
13;['TA3', 'TA2'];llama-3.3-70b-instruct;;0.1;;101682;561
14;['TA3', 'TA4'];llama-3.3-70b-instruct;;0.1;;100363;594
15;['TA3', 'TA5'];llama-3.3-70b-instruct;;0.1;;98312;553
16;['TA3', 'TA6'];llama-3.3-70b-instruct;;0.1;;99333;785
17;['TA3', 'TA7'];llama-3.3-70b-instruct;;0.1;;95470;983
18;['TA4', 'TA1'];llama-3.3-70b-instruct;;0.1;;99112;599
19;['TA4', 'TA2'];llama-3.3-70b-instruct;;0.1;;102207;4658
20;['TA4', 'TA3'];llama-3.3-70b-instruct;;0.1;;100363;575
21;['TA4', 'TA5'];llama-3.3-70b-instruct;;0.1;;98837;556
22;['TA4', 'TA6'];llama-3.3-70b-instruct;;0.1;;99858;564
23;['TA4', 'TA7'];llama-3.3-70b-instruct;;0.1;;95995;3451
24;['TA5', 'TA1'];llama-3.3-70b-instruct;;0.1;;97061;544
25;['TA5', 'TA2'];llama-3.3-70b-instruct;;0.1;;100156;3086
26;['TA5', 'TA3'];llama-3.3-70b-instruct;;0.1;;98312;329
27;['TA5', 'TA4'];llama-3.3-70b-instruct;;0.1;;98837;714
28;['TA5', 'TA6'];llama-3.3-70b-instruct;;0.1;;97807;398
29;['TA5', 'TA7'];llama-3.3-70b-instruct;;0.1;;93944;774
30;['TA6', 'TA1'];llama-3.3-70b-instruct;;0.1;;98082;675
31;['TA6', 'TA2'];llama-3.3-70b-instruct;;0.1;;101177;1234
32;['TA6', 'TA3'];llama-3.3-70b-instruct;;0.1;;99333;605
33;['TA6', 'TA4'];llama-3.3-70b-instruct;;0.1;;99858;1288
34;['TA6', 'TA5'];llama-3.3-70b-instruct;;0.1;;97807;576
35;['TA6', 'TA7'];llama-3.3-70b-instruct;;0.1;;94965;576
36;['TA7', 'TA1'];llama-3.3-70b-instruct;;0.1;;94219;552
37;['TA7', 'TA2'];llama-3.3-70b-instruct;;0.1;;97314;649
41;['TA7', 'TA6'];llama-3.3-70b-instruct;;0.1;;94965;1408
