source_policydoc;impact_policydoc;impact_type;impact_weight;justification
A European Climate Law;A Circular Economy Action Plan;+;2;The European Climate Law sets a framework for reducing greenhouse gas emissions, which can reinforce the Circular Economy Action Plan by promoting sustainable production and consumption patterns, reducing waste, and increasing recycling.
A European Climate Law;A Concerning urban wastewater treatment (recast);+;1;The European Climate Law's focus on reducing emissions can enable the implementation of the urban wastewater treatment recast by promoting sustainable practices and reducing pollution.
A European Climate Law;A Proposal for a Directive amending Directive 2003/87/EC;+;1;The European Climate Law's emission reduction targets can aid the implementation of the amended Directive 2003/87/EC by promoting low-carbon technologies and increasing energy efficiency.
A European Climate Law;A Communication on Sustainable Carbon Cycles;+;2;The European Climate Law's framework for reducing emissions can reinforce the Sustainable Carbon Cycles Communication by promoting carbon removals, carbon capture, and storage, and increasing the use of low-carbon technologies.
A European Climate Law;A Regulation on packaging and packaging waste;+;1;The European Climate Law's focus on sustainable production and consumption can enable the implementation of the packaging and packaging waste regulation by promoting the use of recyclable materials, reducing packaging waste, and increasing recycling rates.
A Farm to Fork Strategy;A Circular Economy Action Plan;+;2;The Farm to Fork Strategy's focus on sustainable agriculture and reducing food waste can reinforce the Circular Economy Action Plan by promoting sustainable consumption patterns, reducing waste, and increasing recycling.
A Farm to Fork Strategy;A Proposal for a Directive amending Directive 2003/87/EC;+;1;The Farm to Fork Strategy's emphasis on sustainable agriculture can aid the implementation of the amended Directive 2003/87/EC by promoting low-carbon technologies and increasing energy efficiency in the agricultural sector.
A Farm to Fork Strategy;A Communication on Sustainable Carbon Cycles;+;1;The Farm to Fork Strategy's focus on reducing emissions from agriculture can reinforce the Sustainable Carbon Cycles Communication by promoting carbon removals, carbon capture, and storage, and increasing the use of low-carbon technologies in agriculture.
A Concerning urban wastewater treatment (recast);A Circular Economy Action Plan;+;1;The urban wastewater treatment recast can enable the implementation of the Circular Economy Action Plan by promoting sustainable practices, reducing pollution, and increasing recycling in the water sector.
A Concerning urban wastewater treatment (recast);A Proposal for a Directive amending Directive 2003/87/EC;+;1;The urban wastewater treatment recast can aid the implementation of the amended Directive 2003/87/EC by promoting low-carbon technologies and increasing energy efficiency in the water sector.
A Proposal for a Directive amending Directive 2003/87/EC;A Circular Economy Action Plan;+;1;The amended Directive 2003/87/EC can enable the implementation of the Circular Economy Action Plan by promoting sustainable production and consumption patterns, reducing waste, and increasing recycling.
A Proposal for a Directive amending Directive 2003/87/EC;A Communication on Sustainable Carbon Cycles;+;1;The amended Directive 2003/87/EC can reinforce the Sustainable Carbon Cycles Communication by promoting low-carbon technologies and increasing energy efficiency in the energy sector.
A Communication on Sustainable Carbon Cycles;A Circular Economy Action Plan;+;2;The Sustainable Carbon Cycles Communication can reinforce the Circular Economy Action Plan by promoting carbon removals, carbon capture, and storage, and increasing the use of low-carbon technologies, which can aid in reducing waste and increasing recycling.
A Regulation on packaging and packaging waste;A Circular Economy Action Plan;+;1;The packaging and packaging waste regulation can enable the implementation of the Circular Economy Action Plan by promoting the use of recyclable materials, reducing packaging waste, and increasing recycling rates.
A Regulation on packaging and packaging waste;A Proposal for a Directive amending Directive 2003/87/EC;+;1;The packaging and packaging waste regulation can aid the implementation of the amended Directive 2003/87/EC by promoting low-carbon technologies and increasing energy efficiency in the packaging sector.
A A Renovation Wave for Europe;A Circular Economy Action Plan;+;1;The Renovation Wave for Europe can enable the implementation of the Circular Economy Action Plan by promoting sustainable practices, reducing waste, and increasing recycling in the building sector.
A A Renovation Wave for Europe;A Proposal for a Directive amending Directive 2003/87/EC;+;1;The Renovation Wave for Europe can aid the implementation of the amended Directive 2003/87/EC by promoting low-carbon technologies and increasing energy efficiency in the building sector.
A A Renovation Wave for Europe;A Communication on Sustainable Carbon Cycles;+;1;The Renovation Wave for Europe can reinforce the Sustainable Carbon Cycles Communication by promoting carbon removals, carbon capture, and storage, and increasing the use of low-carbon technologies in the building sector.
