A European Green Deal;A Clean Industrial Deal;+2;The Clean Industrial Deal is likely to be positively impacted by the European Green Deal as it aims to reduce emissions and increase energy efficiency, which are key components of the Clean Industrial Deal.; 
A European Green Deal;A European Climate Law;+1;The European Green Deal is likely to enable the European Climate Law by providing a framework for reducing emissions and promoting sustainable practices, which are essential for achieving the climate law's objectives.; 
A European Green Deal;A Proposal for a Directive on the setting of rules to prevent and reduce marine litter and promote recycling of plastics;+1;The European Green Deal is likely to enable the Proposal for a Directive as it promotes sustainable practices and reduces waste, which are key components of the directive.; 
A European Green Deal;A Regulation on packaging and packaging waste;+1;The European Green Deal is likely to enable the Regulation as it aims to reduce waste and increase recycling, which are key components of the regulation.; 
A Farm to Fork Strategy;A Proposal for a Directive on the setting of rules to prevent and reduce marine litter and promote recycling of plastics;-1;The Farm to Fork Strategy may constrain the Proposal for a Directive as it focuses on reducing food waste and increasing recycling, which may limit options for marine litter reduction.; 
A Farm to Fork Strategy;A Regulation on packaging and packaging waste;-1;The Farm to Fork Strategy may constrain the Regulation as it aims to reduce food waste and increase recycling, which may limit options for packaging waste reduction.; 
A European Green Deal;A European Climate Law;+2;The European Green Deal is likely to reinforce the European Climate Law as it provides a framework for reducing emissions and promoting sustainable practices, which are essential for achieving the climate law's objectives.; 
A European Green Deal;A Proposal for a Directive on the setting of rules to prevent and reduce marine litter and promote recycling of plastics;+2;The European Green Deal is likely to reinforce the Proposal for a Directive as it promotes sustainable practices and reduces waste, which are key components of the directive.; 
A European Green Deal;A Regulation on packaging and packaging waste;+2;The European Green Deal is likely to reinforce the Regulation as it aims to reduce waste and increase recycling, which are key components of the regulation.; 
A Circular Economy Action Plan;A Proposal for a Directive on the setting of rules to prevent and reduce marine litter and promote recycling of plastics;+3;The Circular Economy Action Plan is likely to be indivisible from the Proposal for a Directive as it aims to reduce waste and increase recycling, which are key components of the directive.; 
A Circular Economy Action Plan;A Regulation on packaging and packaging waste;+3;The Circular Economy Action Plan is likely to be indivisible from the Regulation as it aims to reduce waste and increase recycling, which are key components of the regulation.; 
A European Green Deal;A European Climate Law;-2;The European Green Deal may counteract the European Climate Law as it promotes economic growth and job creation, which may clash with the climate law's objectives.; 
A European Green Deal;A Proposal for a Directive on the setting of rules to prevent and reduce marine litter and promote recycling of plastics;-2;The European Green Deal may counteract the Proposal for a Directive as it promotes economic growth and job creation, which may clash with the directive's objectives.; 
A European Green Deal;A Regulation on packaging and packaging waste;-2;The European Green Deal may counteract the Regulation as it promotes economic growth and job creation, which may clash with the regulation's objectives.; 
A Farm to Fork Strategy;A European Climate Law;-3;The Farm to Fork Strategy may cancel the European Climate Law as it focuses on reducing food waste and increasing recycling, which may make it impossible to achieve the climate law's objectives.; 
A Farm to Fork Strategy;A Proposal for a Directive on the setting of rules to prevent and reduce marine litter and promote recycling of plastics;-3;The Farm to Fork Strategy may cancel the Proposal for a Directive as it aims to reduce food waste and increase recycling, which may make it impossible to achieve the directive's objectives.; 
A Farm to Fork Strategy;A Regulation on packaging and packaging waste;-3;The Farm to Fork Strategy may cancel the Regulation as it focuses on reducing food waste and increasing recycling, which may make it impossible to achieve the regulation's objectives.
