target_code;target_content;thematic_area;sub_theme;justification
TA2.39;The strategy sets targets for an installed capacity of at least 1 GW of ocean energy by 2030 and 40 GW by 2050\nAn EU offshore Renewable Energy Strategy;TA2_Clean, affordable and secure energy;Renewable Energy Development;This target is assigned to the Renewable Energy Development sub-theme because it focuses on setting targets for ocean energy capacity, which is a form of renewable energy.
TA2.39;The strategy sets targets for an installed capacity of at least 1 GW of ocean energy by 2030 and 40 GW by 2050\nAn EU offshore Renewable Energy Strategy;TA2_Clean, affordable and secure energy;Offshore Energy;This target is also assigned to the Offshore Energy sub-theme because it specifically mentions offshore renewable energy.
TA6.33;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures for the terrestrial, coastal and freshwater habitats of the species listed in Annexes II, IV and V to Directive 92/43/EEC and of the terrestrial, coastal and freshwater habitats of wild birds covered by Directive 2009/147/EC [...] to improve the quality and quantity of those habitats, including by re-establishing them, and to enhance connectivity, until sufficient quality and quantity of those habitats is achieved.\n'Nature Restoration Law';TA6_Preserving and protecting biodiversity;Habitat Restoration;This target is assigned to the Habitat Restoration sub-theme because it focuses on restoring habitats for species and improving their quality and quantity.
TA6.33;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures for the terrestrial, coastal and freshwater habitats of the species listed in Annexes II, IV and V to Directive 92/43/EEC and of the terrestrial, coastal and freshwater habitats of wild birds covered by Directive 2009/147/EC [...] to improve the quality and quantity of those habitats, including by re-establishing them, and to enhance connectivity, until sufficient quality and quantity of those habitats is achieved.\n'Nature Restoration Law';TA6_Preserving and protecting biodiversity;Ecosystem Conservation;This target is also assigned to the Ecosystem Conservation sub-theme because it aims to improve the quality and quantity of habitats and enhance connectivity.
TA3.9;By 2030, Union processing capacity, including for all intermediate processing steps, should be able of producing at least 40% of the Union’s annual consumption of strategic raw materials. Regulation (EU) 2024/1252;TA3_Industrial strategy for a clean and circular economy;Raw Material Production;This target is assigned to the Raw Material Production sub-theme because it focuses on increasing the Union's processing capacity for strategic raw materials.
TA3.9;By 2030, Union processing capacity, including for all intermediate processing steps, should be able of producing at least 40% of the Union’s annual consumption of strategic raw materials. Regulation (EU) 2024/1252;TA3_Industrial strategy for a clean and circular economy;Circular Economy;This target is also assigned to the Circular Economy sub-theme because it aims to increase the production of strategic raw materials, which is a key aspect of a circular economy.
TA5.31;Properties of food: Increase reformulation of food products in line with guidelines for healthy and sustainable diets;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Sustainable Food Production;This target is assigned to the Sustainable Food Production sub-theme because it focuses on reformulating food products to make them healthier and more sustainable.
TA5.31;Properties of food: Increase reformulation of food products in line with guidelines for healthy and sustainable diets;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Healthy Eating;This target is also assigned to the Healthy Eating sub-theme because it aims to make food products healthier.
TA2.29;Member states will have to renovate 16% of worst- performing non-residential buildings by 2030 and, by 2033, the worst-performing 26% through minimum energy performance requirements.\nEPBD (Directive (EU) 2024/1275);TA2_Clean, affordable and secure energy;Building Renovation;This target is assigned to the Building Renovation sub-theme because it focuses on renovating non-residential buildings to improve their energy performance.
TA2.29;Member states will have to renovate 16% of worst- performing non-residential buildings by 2030 and, by 2033, the worst-performing 26% through minimum energy performance requirements.\nEPBD (Directive (EU) 2024/1275);TA2_Clean, affordable and secure energy;Energy Efficiency;This target is also assigned to the Energy Efficiency sub-theme because it aims to improve the energy performance of buildings.
TA3.18;For industrial batteries with a capacity greater than 2kWh, except those with exclusively external storage, electric vehicle batteries and starting, lighting and ignition batteries that contain cobalt, lead, lithium\nor nickel in active materials, the minimum recycled content percentage for each battery model per year and per manufacturing plant shall be:\nFrom 18 August 2031, 16% cobalt, 85% lead, 6% lithium, and 6% nickel,\nFrom 18 August 2036, 26% cobalt, 85% lead, 12% lithium, and 15% nickel.\nRegulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Battery Recycling;This target is assigned to the Battery Recycling sub-theme because it focuses on setting minimum recycled content percentages for industrial batteries.
TA3.18;For industrial batteries with a capacity greater than 2kWh, except those with exclusively external storage, electric vehicle batteries and starting, lighting and ignition batteries that contain cobalt, lead, lithium\nor nickel in active materials, the minimum recycled content percentage for each battery model per year and per manufacturing plant shall be:\nFrom 18 August 2031, 16% cobalt, 85% lead, 6% lithium, and 6% nickel,\nFrom 18 August 2036, 26% cobalt, 85% lead, 12% lithium, and 15% nickel.\nRegulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Circular Economy;This target is also assigned to the Circular Economy sub-theme because it aims to increase the recycling of batteries, which is a key aspect of a circular economy.
