target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE_level3_extra2;justification;confidence_score
TA5.1;nan;;;;;;;nan;nan;nan;No content available.;0
TA5.10;Increase renewable energy in agriculture and food sector. Adopt energy efficiency solutions in the agriculture and food sector, by reducing energy consumption in the sector;A - Agriculture, Forestry and Fishing;D - Electricity, Gas, Steam and Air Conditioning Supply;;A1 - Crop and animal production, hunting and related service activities;D35 - Electricity, gas, steam and air conditioning supply;;A1.1 - Growing of non-perennial crops;D35.1 - Electric power generation, transmission and distribution;;The target focuses on agriculture and energy efficiency, linking it to renewable energy.;8
TA5.11;Protect the environment and restore natural resources. Preserve biodiversity and reduce biodiversity loss.;A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;O - Public Administration and Defence, Compulsory Social Security;A1 - Crop and animal production, hunting and related service activities;E38 - Waste collection, treatment and disposal activities, materials recovery;O84 - Public administration and defence, compulsory social security;A1.4 - Animal production;E38.1 - Waste collection;O84.1 - General public administration activities;The target involves environmental protection, which includes agriculture, waste management, and public administration.;7
TA5.12;Secure and ensure access to a range of quality seeds for plant varieties in order to adapt to the pressures of climate change;A - Agriculture, Forestry and Fishing;;;;A1 - Crop and animal production, hunting and related service activities;;;;A1.1 - Growing of non-perennial crops;The focus is on agriculture, specifically crop production and seed quality.;9
TA5.13;Reduce food waste. Prevent food loss and waste. Halve per capita food waste at retail and consumer levels;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C - Manufacturing;I - Accommodation and Food Service Activities;G47 - Retail trade, except of motor vehicles and motorcycles;C10 - Manufacture of food products;I56 - Food and beverage service activities;G47.1 - Retail sale in non-specialised stores;C10.8 - Manufacture of other food products;I56.1 - Restaurants and mobile food service activities;The target addresses food waste across retail, manufacturing, and food services.;8
TA5.14;Scale-up and promote sustainable and socially responsible production methods and circular business models in food processing and retail.;C - Manufacturing;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;N - Administrative and Support Service Activities;C10 - Manufacture of food products;G47 - Retail trade, except of motor vehicles and motorcycles;N82 - Office administrative, office support and other business support activities;C10.8 - Manufacture of other food products;G47.1 - Retail sale in non-specialised stores;N82.9 - Business support service activities n.e.c.;The target involves sustainable production in food manufacturing and retail, with support from business services.;8
TA5.15;Reduce the environmental and climate footprint of the EU food system, operating within planetary boundaries;C - Manufacturing;A - Agriculture, Forestry and Fishing;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C10 - Manufacture of food products;A1 - Crop and animal production, hunting and related service activities;G47 - Retail trade, except of motor vehicles and motorcycles;C10.8 - Manufacture of other food products;A1.1 - Growing of non-perennial crops;G47.1 - Retail sale in non-specialised stores;The target focuses on reducing the environmental impact across the food system, involving manufacturing, agriculture, and retail.;9
TA5.16;Ensure fair income and salaries. Improve income of primary producers to ensure their sustainable livelihood.;A - Agriculture, Forestry and Fishing;O - Public Administration and Defence, Compulsory Social Security;N - Administrative and Support Service Activities;A1 - Crop and animal production, hunting and related service activities;O84 - Public administration and defence, compulsory social security;N82 - Office administrative, office support and other business support activities;A1.1 - Growing of non-perennial crops;O84.1 - General public administration activities;N82.9 - Business support service activities n.e.c.;The target is about ensuring fair income for primary producers, involving agriculture and public administration.;8
TA5.17;Help farmers and fishers to strengthen their position in the supply chain and to capture a fair share of the added value of sustainable production;A - Agriculture, Forestry and Fishing;N - Administrative and Support Service Activities;O - Public Administration and Defence, Compulsory Social Security;A1 - Crop and animal production, hunting and related service activities;N82 - Office administrative, office support and other business support activities;O84 - Public administration and defence, compulsory social security;A1.1 - Growing of non-perennial crops;N82.9 - Business support service activities n.e.c.;O84.1 - General public administration activities;The target focuses on strengthening the position of farmers and fishers in the supply chain, involving agriculture and support services.;8
TA5.18;Improve agricultural rules that strengthen the position of farmers (e.g. producers of products with geographical indications), their cooperatives and producer organisations in the food supply chain.;A - Agriculture, Forestry and Fishing;O - Public Administration and Defence, Compulsory Social Security;N - Administrative and Support Service Activities;A1 - Crop and animal production, hunting and related service activities;O84 - Public administration and defence, compulsory social security;N82 - Office administrative, office support and other business support activities;A1.1 - Growing of non-perennial crops;O84.1 - General public administration activities;N82.9 - Business support service activities n.e.c.;The target involves improving agricultural rules, which relates to agriculture, public administration, and support services.;8
TA5.19;Preserve the affordability of food.;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C - Manufacturing;I - Accommodation and Food Service Activities;G47 - Retail trade, except of motor vehicles and motorcycles;C10 - Manufacture of food products;I56 - Food and beverage service activities;G47.1 - Retail sale in non-specialised stores;C10.8 - Manufacture of other food products;I56.1 - Restaurants and mobile food service activities;The target is about maintaining food affordability, involving retail, manufacturing, and food services.;9
TA5.2;Reduce overall EU sales of antimicrobials for farmed animals and in aquaculture by 50% by 2030.;A - Agriculture, Forestry and Fishing;C - Manufacturing;;A1 - Crop and animal production, hunting and related service activities;C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations;;A1.4 - Animal production;C21.2 - Manufacture of pharmaceutical preparations;;The target focuses on reducing antimicrobial use in agriculture and aquaculture, involving agriculture and pharmaceutical manufacturing.;9
TA5.20;Foster the competitiveness of the EU supply sector;C - Manufacturing;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;N - Administrative and Support Service Activities;C10 - Manufacture of food products;G46 - Wholesale trade, except of motor vehicles and motorcycles;N82 - Office administrative, office support and other business support activities;C10.8 - Manufacture of other food products;G46.1 - Wholesale on a fee or contract basis;N82.9 - Business support service activities n.e.c.;The target is about enhancing the competitiveness of the supply sector, involving manufacturing, wholesale, and support services.;8
TA5.21;Ensure access to fast broadband to all farmers and all rural areas (enabler for jobs, businesses, investments, improvement in quality of life in rural areas and enabler to mainstream precision farming and use of artificial intelligence);J - Information and Communication;A - Agriculture, Forestry and Fishing;N - Administrative and Support Service Activities;J61 - Telecommunications;A1 - Crop and animal production, hunting and related service activities;N82 - Office administrative, office support and other business support activities;J61.1 - Wired telecommunications activities;A1.1 - Growing of non-perennial crops;N82.9 - Business support service activities n.e.c.;The target involves providing broadband access to rural areas, linking telecommunications, agriculture, and support services.;9
TA5.22;Create shorter supply chains will support reducing dependence on long-haul transportation.;H - Transportation and Storage;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C - Manufacturing;H52 - Warehousing and support activities for transportation;G46 - Wholesale trade, except of motor vehicles and motorcycles;C10 - Manufacture of food products;H52.1 - Warehousing and storage;G46.1 - Wholesale on a fee or contract basis;C10.8 - Manufacture of other food products;The target is about creating shorter supply chains, involving transportation, wholesale, and manufacturing.;8
TA5.23;Create new job opportunities.;N - Administrative and Support Service Activities;C - Manufacturing;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;N78 - Employment activities;C10 - Manufacture of food products;G47 - Retail trade, except of motor vehicles and motorcycles;N78.1 - Activities of employment placement agencies;C10.8 - Manufacture of other food products;G47.1 - Retail sale in non-specialised stores;The target focuses on job creation, involving employment services, manufacturing, and retail.;8
TA5.24;Ensure Fair, inclusive and ethical value chains. Improve working conditions, ensure occupation health and safety. Ensure workers’ social protection and housing conditions, promote socially responsible production methods, Mitigate the socio-economic consequences impacting the food chain and ensure that the key principles enshrined in the European Pillar of Social Rights are respected, especially when it comes to precarious, seasonal and undeclared workers.;N - Administrative and Support Service Activities;O - Public Administration and Defence, Compulsory Social Security;C - Manufacturing;N82 - Office administrative, office support and other business support activities;O84 - Public administration and defence, compulsory social security;C10 - Manufacture of food products;N82.9 - Business support service activities n.e.c.;O84.1 - General public administration activities;C10.8 - Manufacture of other food products;The target addresses fair and ethical value chains, involving support services, public administration, and manufacturing.;8
TA5.25;Promote better animal welfare to improve animal health and food quality;A - Agriculture, Forestry and Fishing;C - Manufacturing;;A1 - Crop and animal production, hunting and related service activities;C10 - Manufacture of food products;;A1.4 - Animal production;C10.8 - Manufacture of other food products;;The target focuses on animal welfare, involving agriculture and food manufacturing.;9
TA5.26;Strengthen educational messages on the importance of healthy nutrition, sustainable food production and consumption, and reducing food waste.;P - Education;C - Manufacturing;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;P85 - Education;C10 - Manufacture of food products;G47 - Retail trade, except of motor vehicles and motorcycles;P85.6 - Educational support activities;C10.8 - Manufacture of other food products;G47.1 - Retail sale in non-specialised stores;The target involves education on nutrition and sustainability, linking education, manufacturing, and retail.;8
TA5.27;Provide food information and labelling to empower consumers to make informed, healthy and sustainable food choices;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C - Manufacturing;N - Administrative and Support Service Activities;G47 - Retail trade, except of motor vehicles and motorcycles;C10 - Manufacture of food products;N82 - Office administrative, office support and other business support activities;G47.1 - Retail sale in non-specialised stores;C10.8 - Manufacture of other food products;N82.9 - Business support service activities n.e.c.;The target is about food labelling, involving retail, manufacturing, and support services.;8
TA5.28;Extend the mandatory origin or provenance indications to certain products.;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C - Manufacturing;N - Administrative and Support Service Activities;G47 - Retail trade, except of motor vehicles and motorcycles;C10 - Manufacture of food products;N82 - Office administrative, office support and other business support activities;G47.1 - Retail sale in non-specialised stores;C10.8 - Manufacture of other food products;N82.9 - Business support service activities n.e.c.;The target involves product origin labelling, linking retail, manufacturing, and support services.;8
TA5.29;Improve availability of sustainable food. Ensure that the healthy option is always the easiest one. Ensure food supply.;C - Manufacturing;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;I - Accommodation and Food Service Activities;C10 - Manufacture of food products;G47 - Retail trade, except of motor vehicles and motorcycles;I56 - Food and beverage service activities;C10.8 - Manufacture of other food products;G47.1 - Retail sale in non-specialised stores;I56.1 - Restaurants and mobile food service activities;The target is about improving sustainable food availability, involving manufacturing, retail, and food services.;9
TA5.3;Reduce nutrient losses by at least 50%, while ensuring no deterioration on soil fertility;A - Agriculture, Forestry and Fishing;C - Manufacturing;;A1 - Crop and animal production, hunting and related service activities;C10 - Manufacture of food products;;A1.1 - Growing of non-perennial crops;C10.8 - Manufacture of other food products;;The target focuses on nutrient management in agriculture, involving agriculture and food manufacturing.;9
TA5.30;Ensure affordability and access to sufficient, nutritious and sustainable food.;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C - Manufacturing;I - Accommodation and Food Service Activities;G47 - Retail trade, except of motor vehicles and motorcycles;C10 - Manufacture of food products;I56 - Food and beverage service activities;G47.1 - Retail sale in non-specialised stores;C10.8 - Manufacture of other food products;I56.1 - Restaurants and mobile food service activities;The target is about ensuring food affordability and access, involving retail, manufacturing, and food services.;9
TA5.31;Increase reformulation of food products in line with guidelines for healthy and sustainable diets;C - Manufacturing;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;;C10 - Manufacture of food products;G47 - Retail trade, except of motor vehicles and motorcycles;;C10.8 - Manufacture of other food products;G47.1 - Retail sale in non-specialised stores;;The target focuses on food product reformulation, involving manufacturing and retail.;9
TA5.32;Ensuring all access to quality, safe, sustainable, nutritious food.;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C - Manufacturing;I - Accommodation and Food Service Activities;G47 - Retail trade, except of motor vehicles and motorcycles;C10 - Manufacture of food products;I56 - Food and beverage service activities;G47.1 - Retail sale in non-specialised stores;C10.8 - Manufacture of other food products;I56.1 - Restaurants and mobile food service activities;The target is about ensuring access to quality food, involving retail, manufacturing, and food services.;9
