target_code;target_content;impact_target;impact_type;justification
TA6.29;Terrestrial ecosystems. Member States shall put in place [...] measures [...] to jointly cover, as a Union target, throughout the areas and ecosystems [...] defined in Art. 2, by 2030, at least 20% of land areas in need of restoration and, by 2050, all ecosystems in need of restoration.;TA3.23;+;The implementation of TA6.29 is likely to have a positive impact on TA3.23, as the restoration of terrestrial ecosystems can lead to increased recycling and reuse of materials, contributing to the achievement of the target of recycling at least 50% of lithium by 2027.
TA6.30;Marine ecosystems. Member States shall put in place [...] measures [...] to jointly cover, as a Union target, throughout the areas and ecosystems [...] defined in Art. 2, by 2030, at least 20% of sea areas in need of restoration and, by 2050, all ecosystems in need of restoration.;TA3.28;+;The implementation of TA6.30 is likely to have a positive impact on TA3.28, as the restoration of marine ecosystems can lead to increased recycling and reuse of materials, contributing to the achievement of the target of recycling at least 30% of plastic packaging waste by 2030.
TA6.31;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures [...] to improve to good condition areas of habitat types listed in Annex I which are not in good condition.;TA3.25;-;The implementation of TA6.31 may have a negative impact on TA3.25, as the restoration of ecosystems may lead to increased food waste generation during the restoration process, hindering the achievement of the target of reducing food waste by 30% by 2025.
TA6.32;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures [...] to re-establish the habitat types listed in Annex I in areas not covered by those habitat types.;TA3.27;+;The implementation of TA6.32 is likely to have a positive impact on TA3.27, as the re-establishment of habitat types can lead to increased recycling and reuse of materials, contributing to the achievement of the target of recycling at least 60% of packaging waste by 2030.
TA6.33;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures for the terrestrial, coastal and freshwater habitats of the species listed in Annexes II, IV and V to Directive 92/43/EEC.;TA3.29;-;The implementation of TA6.33 may have a negative impact on TA3.29, as the restoration of habitats may lead to increased use of lightweight plastic carrier bags, hindering the achievement of the target of reducing the consumption of lightweight plastic carrier bags by 40 per person per year by 2025.
TA6.34;Member States shall ensure that condition is known for at least 90% of the area distributed overall habitat types listed in Annex I by 2030 and 100% by 2040.;TA3.30;+;The implementation of TA6.34 is likely to have a positive impact on TA3.30, as the improved knowledge of habitat conditions can lead to more effective waste management and recycling, contributing to the achievement of the target of reducing packaging waste generated per capita by 5% by 2030.
TA6.35;Member States shall ensure that there is: (a) an increase of habitat area in good condition for habitat types listed in Annex I until at least 90% is in good condition.;TA3.31;+;The implementation of TA6.35 is likely to have a positive impact on TA3.31, as the increase in habitat area in good condition can lead to increased recycling and reuse of materials, contributing to the achievement of the target of recycling at least 65% of all packaging waste by 2025.
TA6.36;(urban ecosystems) By 2030, Member States shall ensure that there is no net loss in the total national area of urban green space, and of urban tree canopy cover in urban ecosystem areas.;TA3.32;-;The implementation of TA6.36 may have a negative impact on TA3.32, as the preservation of urban green spaces may lead to increased use of plastic packaging in urban areas, hindering the achievement of the target of recycling at least 50% of plastic packaging waste by 2025.
TA6.37;(urban ecosystems) Member States shall achieve thereafter an increasing trend in the total national area of urban green space.;TA3.33;+;The implementation of TA6.37 is likely to have a positive impact on TA3.33, as the increase in urban green space can lead to increased recycling and reuse of materials, contributing to the achievement of the target of recycling at least 25% of wood packaging waste by 2025.
TA6.38;(urban ecosystems) Member States shall achieve, in each urban ecosystem area, an increasing trend of urban tree canopy cover.;TA3.34;-;The implementation of TA6.38 may have a negative impact on TA3.34, as the increase in urban tree canopy cover may lead to increased use of ferrous metals in urban areas, hindering the achievement of the target of recycling at least 70% of ferrous metals by 2025.
TA6.39;Natural connectivity of rivers and natural functions of the related floodplains.;TA3.35;+;The implementation of TA6.39 is likely to have a positive impact on TA3.35, as the restoration of natural connectivity and functions can lead to increased recycling and reuse of materials, contributing to the achievement of the target of recycling at least 50% of aluminum by 2025.
TA6.40;(pollinator) Member States shall, by putting in place in a timely manner appropriate and effective measures, improve pollinator diversity and reverse the decline of pollinator populations.;TA3.23;-;The implementation of TA6.40 may have a negative impact on TA3.23, as the improvement of pollinator diversity may lead to increased use of lithium in the production of pollinator-friendly materials, hindering the achievement of the target of recycling at least 50% of lithium by 2027.
TA6.41;Marine ecosystems. Member States shall put in place the restoration measures [...] to improve [...] areas of habitat types listed in Annex II which are not in good condition.;TA3.28;+;The implementation of TA6.41 is likely to have a positive impact on TA3.28, as the restoration of marine ecosystems can lead to increased recycling and reuse of materials, contributing to the achievement of the target of recycling at least 30% of plastic packaging waste by 2030.
TA6.42;Member States shall put in place the restoration measures that are necessary to re-establish the habitat types of groups 1-6 listed in Annex II in areas not covered by those habitat types.;TA3.27;+;The implementation of TA6.42 is likely to have a positive impact on TA3.27, as the re-establishment of habitat types can lead to increased recycling and reuse of materials, contributing to the achievement of the target of recycling at least 60% of packaging waste by 2030.
TA6.43;Member States shall ensure, by 2030 at the latest, that the condition is known for at least 50% of the area distributed over all habitat types listed in groups 1–6 of Annex II.;TA3.30;+;The implementation of TA6.43 is likely to have a positive impact on TA3.30, as the improved knowledge of habitat conditions can lead to more effective waste management and recycling, contributing to the achievement of the target of reducing packaging waste generated per capita by 5% by 2030.
TA6.44;(agricultural ecosystems) Member States shall put in place measures which shall aim to achieve an increasing trend at national level of at least two out of the three following indicators in agricultural ecosystems.;TA3.25;+;The implementation of TA6.44 is likely to have a positive impact on TA3.25, as the improvement of agricultural ecosystems can lead to reduced food waste generation, contributing to the achievement of the target of reducing food waste by 30% by 2025.
TA6.45;(agricultural ecosystems) Member States shall put in place restoration measures which shall aim to ensure that the common farmland bird index at national level based on the species specified in Annex V reaches the following levels.;TA3.27;-;The implementation of TA6.45 may have a negative impact on TA3.27, as the restoration of farmland bird habitats may lead to increased use of materials in agricultural production, hindering the achievement of the target of recycling at least 60% of packaging waste by 2030.
TA3.23;All recycling shall achieve at least the following targets for recovery of materials, 50% for lithium, no later than 31 December 2027;TA6.29;+;The implementation of TA3.23 is likely to have a positive impact on TA6.29, as the increased recycling of lithium can contribute to the restoration of terrestrial ecosystems, which is a key aspect of TA6.29.
TA3.24;Reduce the generation of food waste in processing and manufacturing by 10% in comparison to the amount generated in 2020;TA6.31;-;The implementation of TA3.24 may have a negative impact on TA6.31, as the reduction of food waste generation may lead to increased pressure on ecosystems, hindering the achievement of the target of improving the condition of areas of habitat types listed in Annex I.
TA3.25;Reduce the generation of food waste per capita, jointly in retail and other distribution of food, in restaurants and food services and in households, by 30% in comparison to the amount generated in 2020;TA6.33;+;The implementation of TA3.25 is likely to have a positive impact on TA6.33, as the reduction of food waste generation can lead to improved habitats for species listed in Annexes II, IV and V to Directive 92/43/EEC.
TA3.27;All packaging shall be recyclable;TA6.36;+;The implementation of TA3.27 is likely to have a positive impact on TA6.36, as the increased recyclability of packaging can contribute to the preservation of urban green spaces, which is a key aspect of TA6.36.
TA3.28;The plastic part in packaging shall contain the following minimum percentage of recycled content recovered from post-consumer plastic waste;TA6.37;+;The implementation of TA3.28 is likely to have a positive impact on TA6.37, as the increased use of recycled content in packaging can contribute to the increase in urban green space, which is a key aspect of TA6.37.
TA3.29;Member States shall take measures to achieve a sustained reduction in the consumption of lightweight plastic carrier bags;TA6.38;-;The implementation of TA3.29 may have a negative impact on TA6.38, as the reduction of lightweight plastic carrier bags may lead to increased use of other materials, hindering the achievement of the target of increasing urban tree canopy cover.
TA3.30;Each Member State shall reduce the packaging waste generated per capita, as compared to the packaging waste generated per capita in 2018 as reported to the Commission in accordance with Decision 2005/270/EC;TA6.39;+;The implementation of TA3.30 is likely to have a positive impact on TA6.39, as the reduction of packaging waste generation can contribute to the restoration of natural connectivity and functions of rivers and floodplains, which is a key aspect of TA6.39.
TA3.31;Member States shall take the necessary measures to attain the recycling targets of 65% by weight of all packaging waste generated by 31 December 2025;TA6.40;-;The implementation of TA3.31 may have a negative impact on TA6.40, as the increased recycling of packaging waste may lead to increased pressure on pollinators, hindering the achievement of the target of improving pollinator diversity.
TA3.32;Member States shall take the necessary measures to attain a recycling target of 50% of plastic by weight of plastic contained in packaging waste generated by 31 December 2025;TA6.41;+;The implementation of TA3.32 is likely to have a positive impact on TA6.41, as the increased recycling of plastic can contribute to the restoration of marine ecosystems, which is a key aspect of TA6.41.
TA3.33;Member States shall take the necessary measures to attain a recycling target of 25% of wood by weight of wood contained in packaging waste generated by 31 December 2025;TA6.42;+;The implementation of TA3.33 is likely to have a positive impact on TA6.42, as the increased recycling of wood can contribute to the re-establishment of habitat types, which is a key aspect of TA6.42.
TA3.34;Member States shall take the necessary measures to attain a recycling target of 70% of ferrous metals by weight of ferrous metals contained in packaging waste generated by 31 December 2025;TA6.43;+;The implementation of TA3.34 is likely to have a positive impact on TA6.43, as the increased recycling of ferrous metals can contribute to the improved knowledge of habitat conditions, which is a key aspect of TA6.43.
TA3.35;Member States shall take the necessary measures to attain a recycling target of 50% of aluminum by weight of aluminum contained in packaging waste generated by 31 December 2025;TA6.44;+;The implementation of TA3.35 is likely to have a positive impact on TA6.44, as the increased recycling of aluminum can contribute to the improvement of agricultural ecosystems, which is a key aspect of TA6.44.
TA3.36;Member States shall take the necessary measures to attain a recycling target of 70% of glass by weight of glass contained in packaging waste generated by 31 December 2025;TA6.45;+;The implementation of TA3.36 is likely to have a positive impact on TA6.45, as the increased recycling of glass can contribute to the restoration of farmland bird habitats, which is a key aspect of TA6.45.
TA3.37;Member States shall take the necessary measures to attain a recycling target of 75% of paper and cardboard by weight of paper and cardboard contained in packaging waste generated by 31 December 2025;TA6.46;-;The implementation of TA3.37 may have a negative impact on TA6.46, as the increased recycling of paper and cardboard may lead to increased pressure on agricultural ecosystems, hindering the achievement of the target of restoring organic soils in agricultural use.
