target_code;target_content;impact_target;impact_type;justification
TA6.29;Terrestrial ecosystems. Member States shall put in place [...] measures [...] to jointly cover, as a Union target, throughout the areas and ecosystems [...] defined in Art. 2, by 2030, at least 20% of land areas in need of restoration and, by 2050, all ecosystems in need of restoration.;TA6.1;+;The restoration of terrestrial ecosystems is likely to have a positive impact on the target of legally protecting a minimum of 30% of the EU's land area, as restored ecosystems can contribute to the protection of biodiversity and ecosystem services.
TA6.30;Marine ecosystems. Member States shall put in place [...] measures [...] to jointly cover, as a Union target, throughout the areas and ecosystems [...] defined in Art. 2, by 2030, at least 20% of sea areas in need of restoration and, by 2050, all ecosystems in need of restoration.;TA6.2;-;The restoration of marine ecosystems may have a negative impact on the target of legally protecting a minimum of 30% of the EU's sea area, as the restoration efforts may focus on specific areas, potentially leaving other areas unprotected.
TA6.31;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures [...] to improve to good condition areas of habitat types listed in Annex I which are not in good condition.;TA6.4;+;The restoration of terrestrial, coastal, and freshwater ecosystems is likely to have a positive impact on the target of strictly protecting all remaining EU primary and old-growth forests, as the restoration efforts can contribute to the protection of these forests and their ecosystem services.
TA6.32;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures [...] to re-establish the habitat types listed in Annex I in areas not covered by those habitat types.;TA6.7;+;The restoration of terrestrial, coastal, and freshwater ecosystems is likely to have a positive impact on the target of achieving significant areas of degraded and carbon-rich ecosystems restored, as the restoration efforts can contribute to the restoration of these ecosystems and their carbon sequestration potential.
TA6.33;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures for the terrestrial, coastal and freshwater habitats of the species listed in Annexes II, IV and V to Directive 92/43/EEC.;TA6.8;+;The restoration of terrestrial, coastal, and freshwater ecosystems is likely to have a positive impact on the target of reversing the decline of pollinators, as the restoration efforts can contribute to the protection of pollinator habitats and the restoration of ecosystem services.
TA6.34;Member States shall ensure that condition is known for at least 90% of the area distributed overall habitat types listed in Annex I by 2030 and 100% by 2040.;TA6.9;+;The monitoring of habitat conditions is likely to have a positive impact on the target of achieving a 50% reduction in the number of Red List species threatened by Invasive Alien Species, as the monitoring efforts can contribute to the early detection and management of invasive species.
TA6.35;Member States shall ensure that there is: (a) an increase of habitat area in good condition for habitat types listed in Annex I until at least 90% is in good condition.;TA6.10;+;The restoration of habitats is likely to have a positive impact on the target of achieving a 50% reduction in the risk and use of chemical pesticides, as the restoration efforts can contribute to the reduction of pesticide use and the promotion of sustainable agriculture practices.
TA6.36;(urban ecosystems) By 2030, Member States shall ensure that there is no net loss in the total national area of urban green space.;TA6.14;+;The protection of urban green spaces is likely to have a positive impact on the target of achieving a 50% reduction in the number of Red List species threatened by Invasive Alien Species, as urban green spaces can contribute to the protection of biodiversity and ecosystem services.
TA6.37;(urban ecosystems) Member States shall achieve thereafter an increasing trend in the total national area of urban green space.;TA6.15;+;The expansion of urban green spaces is likely to have a positive impact on the target of reducing the losses of nutrients from fertilisers, as urban green spaces can contribute to the reduction of nutrient pollution and the promotion of sustainable urban planning practices.
TA6.38;(urban ecosystems) Member States shall achieve, in each urban ecosystem area, an increasing trend of urban tree canopy cover.;TA6.16;+;The expansion of urban tree canopy cover is likely to have a positive impact on the target of achieving a 50% reduction in the number of Red List species threatened by Invasive Alien Species, as urban tree canopy cover can contribute to the protection of biodiversity and ecosystem services.
TA6.39;Natural connectivity of rivers and natural functions of the related floodplains.;TA6.13;+;The restoration of natural connectivity of rivers and floodplains is likely to have a positive impact on the target of achieving 25,000 km of free-flowing rivers, as the restoration efforts can contribute to the protection of river ecosystems and the restoration of natural river functions.
TA6.40;(pollinator) Member States shall, by putting in place in a timely manner appropriate and effective measures, improve pollinator diversity and reverse the decline of pollinator populations.;TA6.8;+;The protection of pollinators is likely to have a positive impact on the target of reversing the decline of pollinators, as the protection efforts can contribute to the restoration of pollinator populations and the promotion of sustainable agriculture practices.
TA6.41;Marine ecosystems. Member States shall put in place the restoration measures [...] to improve [...] areas of habitat types listed in Annex II which are not in good condition.;TA6.2;+;The restoration of marine ecosystems is likely to have a positive impact on the target of legally protecting a minimum of 30% of the EU's sea area, as the restoration efforts can contribute to the protection of marine biodiversity and ecosystem services.
TA6.42;Member States shall put in place the restoration measures that are necessary to re-establish the habitat types of groups 1-6 listed in Annex II in areas not covered by those habitat types.;TA6.14;+;The restoration of habitats is likely to have a positive impact on the target of reducing the losses of nutrients from fertilisers, as the restoration efforts can contribute to the reduction of nutrient pollution and the promotion of sustainable agriculture practices.
TA6.43;Member States shall ensure, by 2030 at the latest, that the condition is known for at least 50% of the area distributed over all habitat types listed in groups 1–6 of Annex II.;TA6.9;+;The monitoring of habitat conditions is likely to have a positive impact on the target of achieving a 50% reduction in the number of Red List species threatened by Invasive Alien Species, as the monitoring efforts can contribute to the early detection and management of invasive species.
TA5.32;Food security: Ensuring food security and access to quality, safe, sustainable, nutritious food for all.;TA6.35;+;The promotion of food security is likely to have a positive impact on the target of achieving a 50% reduction in the risk and use of chemical pesticides, as sustainable agriculture practices can contribute to the reduction of pesticide use and the promotion of sustainable food systems.
TA5.33;Nutrition and healthy, sustainable diets: Move to healthier and more sustainable diets.;TA6.10;+;The promotion of healthy and sustainable diets is likely to have a positive impact on the target of achieving a 50% reduction in the risk and use of chemical pesticides, as sustainable agriculture practices can contribute to the reduction of pesticide use and the promotion of sustainable food systems.
TA5.34;Health impact of diets: Reversing of the rise in overweight and obesity rates across the EU by 2030.;TA6.8;+;The promotion of healthy diets is likely to have a positive impact on the target of reversing the decline of pollinators, as healthy diets can contribute to the reduction of pesticide use and the promotion of sustainable agriculture practices.
TA5.35;Preparedness, shock resilience, adaptation and transformation: Strengthen the resilience of the EU food system.;TA6.14;+;The promotion of food system resilience is likely to have a positive impact on the target of reducing the losses of nutrients from fertilisers, as resilient food systems can contribute to the reduction of nutrient pollution and the promotion of sustainable agriculture practices.
TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area.;TA6.29;+;The protection of land areas is likely to have a positive impact on the target of restoring at least 20% of land areas in need of restoration, as protected areas can contribute to the restoration of ecosystems and biodiversity.
TA6.2;1.b Legally protect a minimum of 30% of the EU's sea area.;TA6.30;+;The protection of sea areas is likely to have a positive impact on the target of restoring at least 20% of sea areas in need of restoration, as protected areas can contribute to the restoration of marine ecosystems and biodiversity.
TA6.3;2.a Strictly protect at least a third of the EU'S protected areas.;TA6.4;+;The strict protection of protected areas is likely to have a positive impact on the target of strictly protecting all remaining EU primary and old-growth forests, as strict protection can contribute to the preservation of these forests and their ecosystem services.
TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;TA6.31;+;The strict protection of primary and old-growth forests is likely to have a positive impact on the target of improving to good condition areas of habitat types listed in Annex I, as these forests can contribute to the protection of biodiversity and ecosystem services.
TA6.7;4. By 2030, significant areas of degraded and carbon-rich ecosystems are restored.;TA6.32;+;The restoration of degraded ecosystems is likely to have a positive impact on the target of re-establishing the habitat types listed in Annex I in areas not covered by those habitat types, as restored ecosystems can contribute to the protection of biodiversity and ecosystem services.
