target_code;target_content;impact_target;impact_type;justification
TA5.2;Reduce overall EU sales of antimicrobials for farmed animals and in aquaculture by 50% by 2030.;TA5.6;+;The reduction of antimicrobials can lead to healthier animals, which in turn can contribute to more sustainable fishing and aquaculture practices, aligning with the objectives of TA5.6 to increase sustainable fishing and aquaculture. This connection is based on the understanding that reducing antimicrobial use can improve animal health and reduce environmental impacts.
TA5.3;Reduce nutrient losses by at least 50%, while ensuring that there is no deterioration in soil fertility.;TA5.6;-;While reducing nutrient losses is crucial for environmental protection, it might require adjustments in agricultural practices that could potentially impact the sustainability of fishing and aquaculture, as these practices might rely on certain levels of nutrient input for optimal production, thus affecting TA5.6.
TA5.4;Reduce by 50% the use of more hazardous pesticides;TA6.9;+;Reducing the use of more hazardous pesticides can contribute to a decrease in the risk and use of chemical pesticides, which is a target of TA6.9, aiming to reduce these risks by 50% and the use of more hazardous pesticides by 50%.
TA5.5;Reduce by 50% the use and risk of chemical pesticides;TA6.9;+;Similar to TA5.4, reducing the use and risk of chemical pesticides directly aligns with the goals of TA6.9, as it aims to decrease the use of these substances, thereby reducing environmental and health risks.
TA5.7;Ensure that agriculture, fisheries and aquaculture, and the food value chain contribute to the target of reducing net greenhouse gas emissions to at least 55% below 1990 levels by 2030;TA5.2;+;The integration of sustainable practices in agriculture, fisheries, and aquaculture can support the reduction of antimicrobial use, as healthier animals and more sustainable production methods reduce the need for these substances, thus supporting TA5.2.
TA5.8;Preserving freshwater, boosting water reuse in agriculture;TA5.3;-;Improving water reuse in agriculture might lead to increased water efficiency but could also lead to higher concentrations of nutrients in the reused water, potentially affecting nutrient losses and soil fertility, thus having a negative impact on TA5.3.
TA5.9;Increase organic farming with the aim to achieve at least 25% of total farmland under organic farming by 2030;TA5.4;+;Organic farming typically involves practices that avoid the use of synthetic pesticides, including more hazardous ones, which aligns with the objectives of TA5.4 to reduce their use.
TA5.10;Increase renewable energy in the agriculture and food sector;TA5.7;+;Increasing renewable energy use in agriculture and the food sector can significantly contribute to reducing greenhouse gas emissions from these sectors, supporting the overall goal of TA5.7 to achieve a 55% reduction in net emissions by 2030.
TA5.11;Biodiversity conservation and restoration of natural resources: Protect the environment and restore natural resources;TA6.1;+;Conserving and restoring natural resources, including biodiversity, can support the protection of at least 30% of the EU’s land area, as outlined in TA6.1, by preserving ecosystems that are crucial for biodiversity.
TA6.1;Legally protect a minimum of 30% of the EU’s land area;TA5.11;+;Protecting a significant portion of the EU's land area can contribute to biodiversity conservation and the restoration of natural resources, supporting the objectives of TA5.11 by preserving ecosystems and promoting ecological balance.
TA6.2;Legally protect a minimum of 30% of the EU's sea area;TA5.6;+;Similar to TA6.1, protecting a significant portion of the EU's sea area can support sustainable fishing and aquaculture practices by preserving marine ecosystems, thus aligning with the goals of TA5.6.
TA6.3;Strictly protect at least a third of the EU'S protected areas;TA6.1;+;Strictly protecting a portion of the EU's protected areas can contribute to achieving the target of protecting at least 30% of the EU's land area, as it ensures a higher level of conservation for these sensitive ecosystems.
TA6.4;Strictly protect all remaining EU primary and old-growth forests;TA5.3;-;The strict protection of primary and old-growth forests might limit the availability of land for certain agricultural practices, potentially affecting nutrient losses and soil fertility, thus having a negative impact on TA5.3.
TA6.7;By 2030, significant areas of degraded and carbon-rich ecosystems are restored;TA5.7;+;Restoring degraded ecosystems can contribute to reducing greenhouse gas emissions, as these ecosystems can act as carbon sinks, supporting the overall goal of TA5.7.
TA6.8;The decline of pollinators is reversed;TA5.4;+;Reversing the decline of pollinators can support the reduction of pesticide use, as healthier ecosystems with abundant pollinators reduce the need for pesticides, thus aligning with the objectives of TA5.4.
TA6.9;The risk and use of chemical pesticides is reduced by 50%, and the use of more hazardous pesticides is reduced by 50%;TA5.4;+;This target directly supports the reduction of more hazardous pesticides, as outlined in TA5.4, by aiming to decrease both the risk and use of these substances.
TA6.10;At least 10% of agricultural area is under high-diversity landscape features;TA5.3;-;Implementing high-diversity landscape features in agricultural areas might require adjustments in farming practices, potentially affecting nutrient losses and soil fertility, thus having a negative impact on TA5.3.
TA6.11;Three billion trees are planted in the EU, in full respect of ecological principles;TA6.7;+;Planting trees can contribute to restoring degraded ecosystems and enhancing carbon-rich ecosystems, supporting the objectives of TA6.7.
TA6.13;At least 25.000 km of free-flowing rivers are restored;TA5.8;+;Restoring free-flowing rivers can support freshwater preservation and boost water reuse in agriculture, as healthier river ecosystems improve water quality and availability, thus aligning with the goals of TA5.8.
TA6.14;There is a 50% reduction in the number of Red List species threatened by Invasive Alien Species (IAS);TA6.1;+;Reducing the impact of IAS can support the protection of the EU's land area, as outlined in TA6.1, by preserving native species and ecosystems.
TA6.15;The losses of nutrients from fertilisers are reduced by 50%, resulting in the reduction of the use of fertilisers by at least 20%;TA5.3;+;This target directly supports the reduction of nutrient losses, as outlined in TA5.3, by aiming to decrease the use of fertilizers and the losses associated with them.
TA4.28;By 31 December 2030, in each safe and secure parking area at least four publicly accessible recharging stations dedicated to heavy-duty electric vehicles;TA5.7;-;The focus on heavy-duty electric vehicles might lead to increased energy demand, potentially affecting the overall greenhouse gas emissions reduction target, as the production and charging of these vehicles could have significant environmental impacts, thus having a negative impact on TA5.7.
TA4.29;By 31 December 2030, in each urban node publicly accessible recharging points dedicated to heavy-duty electric vehicles;TA5.7;-;Similar to TA4.28, the increased demand for energy to support heavy-duty electric vehicles could negatively impact the reduction of greenhouse gas emissions, as outlined in TA5.7.
TA4.30;Member States shall ensure that, by 31 December 2030, at least one publicly accessible hydrogen refuelling station is deployed in each urban node;TA5.7;-;The development of hydrogen refueling infrastructure might lead to increased energy consumption, potentially affecting the overall emissions reduction target, thus having a negative impact on TA5.7.
TA4.31;Member States shall ensure that, by 31 December 2030, publicly accessible hydrogen refuelling stations with a total capacity of at least 1 tonne per day, and equipped with at least a 700 bar dispenser, are deployed at least every 200 km along the TEN-T;TA5.7;-;The increased energy demand for hydrogen production and refueling could negatively impact the greenhouse gas emissions reduction target, as outlined in TA5.7.
TA4.32;States shall ensure that, at all airports of the TEN-T core network and TEN-T comprehensive network, the provision of electricity supply to stationary aircraft is ensured by 31 December 2029;TA5.7;+;Providing electricity supply to stationary aircraft can reduce emissions from aircraft operations, supporting the overall goal of reducing greenhouse gas emissions, as outlined in TA5.7.
TA4.33;Member States shall ensure that at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T core inland waterway ports by 1 January 2025;TA5.7;+;Similar to TA4.32, providing shore-side electricity supply can reduce emissions from vessel operations, thus supporting the emissions reduction target of TA5.7.
TA4.34;Member States shall ensure that a minimum shore-side electricity supply for seagoing container ships and seagoing passenger ships is provided in TEN-T maritime ports;TA5.7;+;Providing shore-side electricity supply to ships can significantly reduce emissions from maritime transport, supporting the overall goal of reducing greenhouse gas emissions, as outlined in TA5.7.
TA4.55;Zero-emission in urban logistics;TA5.7;+;Promoting zero-emission urban logistics can contribute to reducing greenhouse gas emissions from transport, thus supporting the objectives of TA5.7.
TA4.28;By 31 December 2030, in each safe and secure parking area at least four publicly accessible recharging stations dedicated to heavy-duty electric vehicles;TA6.9;-;The increased focus on electric vehicles might lead to a shift away from addressing the use of chemical pesticides in agriculture, potentially having a negative impact on TA6.9.
TA4.29;By 31 December 2030, in each urban node publicly accessible recharging points dedicated to heavy-duty electric vehicles;TA6.9;-;Similar to TA4.28, the emphasis on electric vehicles could divert attention and resources away from reducing chemical pesticide use, thus negatively impacting TA6.9.
TA4.30;Member States shall ensure that, by 31 December 2030, at least one publicly accessible hydrogen refuelling station is deployed in each urban node;TA6.9;-;The development of hydrogen infrastructure might distract from efforts to reduce chemical pesticide use, potentially having a negative impact on TA6.9.
TA4.31;Member States shall ensure that, by 31 December 2030, publicly accessible hydrogen refuelling stations with a total capacity of at least 1 tonne per day, and equipped with at least a 700 bar dispenser, are deployed at least every 200 km along the TEN-T;TA6.9;-;The focus on hydrogen refueling stations could lead to a decrease in attention to reducing chemical pesticide use, thus having a negative impact on TA6.9.
TA4.32;States shall ensure that, at all airports of the TEN-T core network and TEN-T comprehensive network, the provision of electricity supply to stationary aircraft is ensured by 31 December 2029;TA6.9;+;Providing electricity to aircraft can reduce emissions and support more sustainable practices, which might indirectly support the reduction of chemical pesticide use by promoting a shift towards more environmentally friendly technologies and practices, thus positively impacting TA6.9.
TA4.33;Member States shall ensure that at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T core inland waterway ports by 1 January 2025;TA6.9;+;Similar to TA4.32, providing shore-side electricity can support more sustainable transport practices, potentially reducing the reliance on chemical pesticides in agriculture by promoting eco-friendly alternatives, thus positively impacting TA6.9.
TA4.34;Member States shall ensure that a minimum shore-side electricity supply for seagoing container ships and seagoing passenger ships is provided in TEN-T maritime ports;TA6.9;+;Providing shore-side electricity supply to ships can contribute to reducing emissions and promoting sustainable practices, which might indirectly support the reduction of chemical pesticide use, thus positively impacting TA6.9.
TA4.55;Zero-emission in urban logistics;TA6.9;+;Promoting zero-emission logistics can support the reduction of chemical pesticide use by encouraging sustainable practices and reducing the carbon footprint of logistics operations, thus positively impacting TA6.9.
