target_code;target_content;impact_target;impact_type;justification
TA5.32;Food security: Ensuring food security and access to quality, safe, sustainable, nutritious food for all.;TA3.25;+;The reduction of food waste per capita, as targeted by TA3.25, can contribute to ensuring food security and access to quality food, as targeted by TA5.32, by reducing the amount of food that is wasted and making more food available for consumption. This can have a positive impact on TA5.32.
TA5.32;Food security: Ensuring food security and access to quality, safe, sustainable, nutritious food for all.;TA3.27;-;The implementation of TA3.27, which aims to make all packaging recyclable, may have a negative impact on TA5.32 if the focus on recyclability leads to increased food packaging and subsequently more food waste, rather than reducing waste and increasing food security.
TA5.33;Nutrition and healthy, sustainable diets: Move to healthier and more sustainable diets.;TA3.25;+;The reduction of food waste per capita, as targeted by TA3.25, can contribute to promoting healthier and more sustainable diets, as targeted by TA5.33, by reducing the amount of unhealthy and unsustainable food that is wasted and making more healthy and sustainable food options available for consumption.
TA5.34;Health impact of diets: Reversing of the rise in overweight and obesity rates across the EU by 2030.;TA3.28;-;The implementation of TA3.28, which aims to increase the use of recycled plastic in packaging, may have a negative impact on TA5.34 if the increased use of plastic packaging leads to increased consumption of unhealthy and high-calorie foods, contributing to overweight and obesity rates.
TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area.;TA3.30;+;The protection of 30% of the EU's land area, as targeted by TA6.1, can contribute to reducing waste and increasing recycling rates, as targeted by TA3.30, by preserving natural habitats and ecosystems that help to maintain soil health and reduce waste.
TA6.2;1.b Legally protect a minimum of 30% of the EU's sea area.;TA3.31;+;The protection of 30% of the EU's sea area, as targeted by TA6.2, can contribute to increasing recycling rates and reducing waste, as targeted by TA3.31, by preserving marine ecosystems and promoting sustainable fishing and aquaculture practices.
TA6.3;2.a Strictly protect at least a third of the EU'S protected areas.;TA3.32;-;The strict protection of protected areas, as targeted by TA6.3, may have a negative impact on TA3.32 if the protection of these areas leads to increased costs and complexity for recycling and waste management operations, making it more difficult to achieve the recycling targets.
TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests.;TA3.33;+;The protection of primary and old-growth forests, as targeted by TA6.4, can contribute to increasing recycling rates and reducing waste, as targeted by TA3.33, by preserving natural carbon sinks and promoting sustainable forestry practices.
TA6.7;4. By 2030, significant areas of degraded and carbon-rich ecosystems are restored.;TA3.34;+;The restoration of degraded ecosystems, as targeted by TA6.7, can contribute to increasing recycling rates and reducing waste, as targeted by TA3.34, by promoting sustainable land use and ecosystem services that help to maintain soil health and reduce waste.
TA6.8;5. The decline of pollinators is reversed.;TA3.35;-;The reversal of pollinator decline, as targeted by TA6.8, may have a negative impact on TA3.35 if the increased use of pollinators leads to increased demand for aluminum and other metals used in packaging, making it more difficult to achieve the recycling targets.
TA6.9;6. The risk and use of chemical pesticides is reduced by 50%, and the use of more hazardous pesticides is reduced by 50%.;TA3.36;+;The reduction of chemical pesticide use, as targeted by TA6.9, can contribute to increasing recycling rates and reducing waste, as targeted by TA3.36, by promoting sustainable agriculture practices and reducing the amount of hazardous waste generated by pesticide use.
TA6.10;7. At least 10% of agricultural area is under high-diversity landscape features.;TA3.37;+;The promotion of high-diversity landscape features, as targeted by TA6.10, can contribute to increasing recycling rates and reducing waste, as targeted by TA3.37, by promoting sustainable agriculture practices and reducing the amount of waste generated by agricultural activities.
TA6.11;9. Three billion trees are planted in the EU, in full respect of ecological principles.;TA3.38;+;The planting of three billion trees, as targeted by TA6.11, can contribute to increasing recycling rates and reducing waste, as targeted by TA3.38, by promoting sustainable forestry practices and reducing the amount of waste generated by forestry activities.
TA6.13;11. At least 25.000 km of free-flowing rivers are restored.;TA3.39;-;The restoration of free-flowing rivers, as targeted by TA6.13, may have a negative impact on TA3.39 if the restoration of rivers leads to increased costs and complexity for waste management operations, making it more difficult to achieve the recycling targets.
TA6.14;12. There is a 50% reduction in the number of Red List species threatened by Invasive Alien Species (IAS).;TA3.40;+;The reduction of IAS, as targeted by TA6.14, can contribute to increasing recycling rates and reducing waste, as targeted by TA3.40, by promoting sustainable ecosystem services and reducing the amount of waste generated by invasive species.
TA3.23;All recycling shall achieve at least the following targets for recovery of materials, 50% for lithium, no later than 31 December 2027;TA5.32;-;The increased demand for lithium, as targeted by TA3.23, may have a negative impact on TA5.32 if the extraction and processing of lithium leads to environmental degradation and health risks, compromising food security and access to quality food.
TA3.24;Reduce the generation of food waste in processing and manufacturing by 10% in comparison to the amount generated in 2020;TA5.33;+;The reduction of food waste, as targeted by TA3.24, can contribute to promoting healthier and more sustainable diets, as targeted by TA5.33, by reducing the amount of unhealthy and unsustainable food that is wasted and making more healthy and sustainable food options available for consumption.
TA3.25;Reduce the generation of food waste per capita, jointly in retail and other distribution of food, in restaurants and food services and in households, by 30% in comparison to the amount generated in 2020;TA5.34;+;The reduction of food waste per capita, as targeted by TA3.25, can contribute to reversing the rise in overweight and obesity rates, as targeted by TA5.34, by reducing the amount of unhealthy and high-calorie food that is wasted and making more healthy and sustainable food options available for consumption.
TA3.27;All packaging shall be recyclable;TA6.1;-;The implementation of TA3.27, which aims to make all packaging recyclable, may have a negative impact on TA6.1 if the focus on recyclability leads to increased packaging and subsequently more waste, rather than reducing waste and promoting sustainable land use.
