TA4.3;The yearly average GHG intensity of the energy used on board by a ship during a reporting period shall be reduced, compared to the reference value (91.16 gCO2e/MJ) by: 2% from 1 January 2025; 6% from 1 January 2030; 14.5% from 1 January 2035; 31% from 1 January 2040; 62% from 1 January 2045; 80% from 1 January 2050.;TA4.28;+;The implementation of TA4.3 is likely to have a positive impact on TA4.28, as reducing GHG emissions from ships will contribute to the overall goal of reducing emissions from the transportation sector, which in turn will support the development of sustainable and low-carbon transportation infrastructure, including the deployment of alternative fuels and zero-emission vehicles.;The reduction of GHG emissions from ships will also encourage the development of more efficient and sustainable transportation systems, which will have a positive impact on the achievement of TA4.28.

TA4.5;Aviation fuel suppliers shall also ensure that Sustainable Aviation Fuel (SAF) made available to aircraft operators at each Union airport will be at least 2% from 2025, 6% from 2030, 20% from 2035, 34% from 2040, 42% from 2045 and 70% from 2050.;TA4.29;+;The implementation of TA4.5 is likely to have a positive impact on TA4.29, as the increased use of Sustainable Aviation Fuel (SAF) will contribute to the reduction of GHG emissions from aviation, which in turn will support the development of sustainable and low-carbon aviation infrastructure, including the deployment of alternative fuels and zero-emission aircraft.;The use of SAF will also encourage the development of more efficient and sustainable aviation systems, which will have a positive impact on the achievement of TA4.29.

TA4.6;Of the SAF targets reported above, synthetic aviation fuels should represent a minimum share of 1.2% from 2030, 5% from 2035, 10% from 2034, 15% from 2045, and 35% from 2050.;TA4.30;+;The implementation of TA4.6 is likely to have a positive impact on TA4.30, as the development and use of synthetic aviation fuels will contribute to the reduction of GHG emissions from aviation, which in turn will support the development of sustainable and low-carbon aviation infrastructure, including the deployment of alternative fuels and zero-emission aircraft.;The use of synthetic aviation fuels will also encourage the development of more efficient and sustainable aviation systems, which will have a positive impact on the achievement of TA4.30.

TA4.7;Each Member State shall set an obligation on fuel suppliers to ensure that: (B) the combined share of advanced biofuels and biogas produced from the feedstock listed in Part A of Annex IX and of renewable fuels of non-biological origin in the energy supplied to the transport sector is at least 1% in 2025 and 5.5% in 2030, of which a share of at least 1 percentage point is from renewable fuels of non-biological origin in 2030.;TA4.8;+;The implementation of TA4.7 is likely to have a positive impact on TA4.8, as the increased use of advanced biofuels and renewable fuels of non-biological origin will contribute to the reduction of GHG emissions from transportation, which in turn will support the development of sustainable and low-carbon transportation infrastructure, including the deployment of alternative fuels and zero-emission vehicles.;The use of advanced biofuels and renewable fuels of non-biological origin will also encourage the development of more efficient and sustainable transportation systems, which will have a positive impact on the achievement of TA4.8.

TA4.9;Cut the emissions of transport sector by 90% by 2050 relative to 1990.;TA4.10;+;The implementation of TA4.9 is likely to have a positive impact on TA4.10, as reducing emissions from the transport sector will contribute to the overall goal of reducing emissions from the economy, which in turn will support the development of sustainable and low-carbon transportation infrastructure, including the deployment of alternative fuels and zero-emission vehicles.;The reduction of emissions from the transport sector will also encourage the development of more efficient and sustainable transportation systems, which will have a positive impact on the achievement of TA4.10.

TA4.10;EU fisheries are encouraged to continue the positive trend, as observed for the period 2009-2019, towards reducing fuel intensity by reducing the fossil-fuel consumption per kg of landed product for at least an additional 15% for the period 2019-2030.;TA4.11;-;The implementation of TA4.10 may have a negative impact on TA4.11, as reducing fuel intensity in the fisheries sector may lead to increased costs and reduced competitiveness, which could negatively impact the achievement of TA4.11.;However, the reduction of fuel intensity could also lead to increased efficiency and reduced emissions, which could have a positive impact on the environment and the economy in the long run.

