target_code;target_content;impact_target;impact_type;justification
TA5.32;Food security: Ensuring food security and access to quality, safe, sustainable, nutritious food for all.;TA6.1;+;The implementation of TA5.32 is likely to have a positive impact on TA6.1, as ensuring food security and access to nutritious food can contribute to the protection of biodiversity and ecosystems, which is a key aspect of TA6.1. This is because sustainable food systems can help maintain ecosystem services and promote biodiversity.
TA5.33;Nutrition and healthy, sustainable diets: Move to healthier and more sustainable diets.;TA6.7;+;The implementation of TA5.33 is likely to have a positive impact on TA6.7, as moving to healthier and more sustainable diets can help restore degraded ecosystems and promote biodiversity, which is a key aspect of TA6.7. This is because sustainable diets can reduce the environmental impact of food production and promote ecosystem services.
TA5.34;Health impact of diets: Reversing of the rise in overweight and obesity rates across the EU by 2030.;TA6.9;+;The implementation of TA5.34 is likely to have a positive impact on TA6.9, as reversing the rise in overweight and obesity rates can contribute to reducing the risk of pollution and promoting a toxic-free environment, which is a key aspect of TA6.9. This is because a healthy diet can reduce the exposure to harmful pollutants and promote a clean environment.
TA6.1;Legally protect a minimum of 30% of the EU’s land area.;TA5.32;-;The implementation of TA6.1 may have a negative impact on TA5.32, as protecting a large area of land can limit the availability of land for food production, potentially affecting food security. This is because the protection of land can lead to trade-offs with other land uses, such as agriculture.
TA6.2;Legally protect a minimum of 30% of the EU's sea area.;TA6.10;+;The implementation of TA6.2 is likely to have a positive impact on TA6.10, as protecting a large area of sea can contribute to the development of urban green plans and promote biodiversity in urban areas, which is a key aspect of TA6.10. This is because marine protected areas can help maintain ecosystem services and promote biodiversity in coastal cities.
TA6.3;Strictly protect at least a third of the EU'S protected areas.;TA6.4;+;The implementation of TA6.3 is likely to have a positive impact on TA6.4, as strictly protecting a large area of protected areas can contribute to reducing nutrient losses and promoting sustainable agriculture, which is a key aspect of TA6.4. This is because protected areas can help maintain ecosystem services and promote biodiversity, which can reduce nutrient losses and promote sustainable agriculture.
TA6.4;Strictly protect all remaining EU primary and old-growth forests.;TA6.14;+;The implementation of TA6.4 is likely to have a positive impact on TA6.14, as protecting primary and old-growth forests can contribute to reducing the number of Red List species threatened by Invasive Alien Species, which is a key aspect of TA6.14. This is because protected forests can help maintain ecosystem services and promote biodiversity, which can reduce the impact of invasive species.
TA6.7;Three billion trees are planted in the EU, in full respect of ecological principles.;TA6.11;+;The implementation of TA6.7 is likely to have a positive impact on TA6.11, as planting trees can contribute to the restoration of free-flowing rivers and promote biodiversity, which is a key aspect of TA6.11. This is because trees can help maintain ecosystem services and promote biodiversity, which can reduce the impact of human activities on rivers and promote free-flowing rivers.
TA6.9;The risk and use of chemical pesticides is reduced by 50%, and the use of more hazardous pesticides is reduced by 50%.;TA5.33;+;The implementation of TA6.9 is likely to have a positive impact on TA5.33, as reducing the use of chemical pesticides can contribute to promoting healthier and more sustainable diets, which is a key aspect of TA5.33. This is because reducing pesticide use can promote sustainable agriculture and reduce the exposure to harmful pollutants, which can promote a healthy diet.
TA6.10;At least 10% of agricultural area is under high-diversity landscape features.;TA6.3;+;The implementation of TA6.10 is likely to have a positive impact on TA6.3, as promoting high-diversity landscape features can contribute to strictly protecting protected areas, which is a key aspect of TA6.3. This is because high-diversity landscape features can help maintain ecosystem services and promote biodiversity, which can reduce the impact of human activities on protected areas.
TA6.11;Three billion trees are planted in the EU, in full respect of ecological principles.;TA6.7;+;The implementation of TA6.11 is likely to have a positive impact on TA6.7, as planting trees can contribute to the restoration of degraded ecosystems and promote biodiversity, which is a key aspect of TA6.7. This is because trees can help maintain ecosystem services and promote biodiversity, which can reduce the impact of human activities on ecosystems and promote restoration.
TA6.14;There is a 50% reduction in the number of Red List species threatened by Invasive Alien Species.;TA6.4;+;The implementation of TA6.14 is likely to have a positive impact on TA6.4, as reducing the number of Red List species threatened by Invasive Alien Species can contribute to strictly protecting primary and old-growth forests, which is a key aspect of TA6.4. This is because reducing the impact of invasive species can help maintain ecosystem services and promote biodiversity, which can reduce the impact of human activities on forests and promote protection.
TA6.29;Terrestrial ecosystems: Member States shall put in place measures to jointly cover, as a Union target, throughout the areas and ecosystems defined in Art. 2, by 2030, at least 20% of land areas in need of restoration.;TA6.1;+;The implementation of TA6.29 is likely to have a positive impact on TA6.1, as restoring terrestrial ecosystems can contribute to protecting a minimum of 30% of the EU's land area, which is a key aspect of TA6.1. This is because ecosystem restoration can help maintain ecosystem services and promote biodiversity, which can reduce the impact of human activities on land and promote protection.
TA6.30;Marine ecosystems: Member States shall put in place measures to jointly cover, as a Union target, throughout the areas and ecosystems defined in Art. 2, by 2030, at least 20% of sea areas in need of restoration.;TA6.2;+;The implementation of TA6.30 is likely to have a positive impact on TA6.2, as restoring marine ecosystems can contribute to protecting a minimum of 30% of the EU's sea area, which is a key aspect of TA6.2. This is because ecosystem restoration can help maintain ecosystem services and promote biodiversity, which can reduce the impact of human activities on sea and promote protection.
TA6.31;Terrestrial, coastal and freshwater ecosystems: Member States shall put in place the restoration measures to improve to good condition areas of habitat types listed in Annex I.;TA6.3;+;The implementation of TA6.31 is likely to have a positive impact on TA6.3, as restoring ecosystems can contribute to strictly protecting protected areas, which is a key aspect of TA6.3. This is because ecosystem restoration can help maintain ecosystem services and promote biodiversity, which can reduce the impact of human activities on protected areas and promote protection.
TA6.32;Terrestrial, coastal and freshwater ecosystems: Member States shall put in place the restoration measures to re-establish the habitat types listed in Annex I.;TA6.4;+;The implementation of TA6.32 is likely to have a positive impact on TA6.4, as restoring ecosystems can contribute to reducing nutrient losses and promoting sustainable agriculture, which is a key aspect of TA6.4. This is because ecosystem restoration can help maintain ecosystem services and promote biodiversity, which can reduce nutrient losses and promote sustainable agriculture.
TA6.33;Terrestrial, coastal and freshwater ecosystems: Member States shall put in place the restoration measures for the terrestrial, coastal and freshwater habitats of the species listed in Annexes II, IV and V.;TA6.14;+;The implementation of TA6.33 is likely to have a positive impact on TA6.14, as restoring ecosystems can contribute to reducing the number of Red List species threatened by Invasive Alien Species, which is a key aspect of TA6.14. This is because ecosystem restoration can help maintain ecosystem services and promote biodiversity, which can reduce the impact of invasive species and promote conservation.
TA6.34;Member States shall ensure that condition is known for at least 90% of the area distributed overall habitat types listed in Annex I by 2030 and 100% by 2040.;TA6.7;+;The implementation of TA6.34 is likely to have a positive impact on TA6.7, as knowing the condition of habitats can contribute to the restoration of degraded ecosystems and promote biodiversity, which is a key aspect of TA6.7. This is because knowing the condition of habitats can help identify areas that need restoration and promote effective conservation measures.
TA6.35;Member States shall ensure that there is: (a) an increase of habitat area in good condition for habitat types listed in Annex I until at least 90% is in good condition.;TA6.3;+;The implementation of TA6.35 is likely to have a positive impact on TA6.3, as increasing the area of habitats in good condition can contribute to strictly protecting protected areas, which is a key aspect of TA6.3. This is because increasing the area of habitats in good condition can help maintain ecosystem services and promote biodiversity, which can reduce the impact of human activities on protected areas and promote protection.
TA6.36;(urban ecosystems) By 2030, Member States shall ensure that there is no net loss in the total national area of urban green space, and of urban tree canopy cover in urban ecosystem areas.;TA6.2;+;The implementation of TA6.36 is likely to have a positive impact on TA6.2, as maintaining urban green space and tree canopy cover can contribute to protecting a minimum of 30% of the EU's sea area, which is a key aspect of TA6.2. This is because urban green spaces can help maintain ecosystem services and promote biodiversity, which can reduce the impact of human activities on sea and promote protection.
TA6.37;(urban ecosystems) Member States shall achieve thereafter an increasing trend in the total national area of urban green space, including through the integration of urban green space into buildings and infrastructure, in urban ecosystem areas.;TA6.10;+;The implementation of TA6.37 is likely to have a positive impact on TA6.10, as increasing urban green space can contribute to the development of urban green plans and promote biodiversity in urban areas, which is a key aspect of TA6.10. This is because urban green spaces can help maintain ecosystem services and promote biodiversity, which can reduce the impact of human activities on urban areas and promote conservation.
TA6.38;(urban ecosystems) Member States shall achieve, in each urban ecosystem area, an increasing trend of urban tree canopy cover, measured every six years after 31 December 2030, until a satisfactory level identified in accordance with Article 14(5) is reached.;TA6.11;+;The implementation of TA6.38 is likely to have a positive impact on TA6.11, as increasing urban tree canopy cover can contribute to the restoration of free-flowing rivers and promote biodiversity, which is a key aspect of TA6.11. This is because urban tree canopy cover can help maintain ecosystem services and promote biodiversity, which can reduce the impact of human activities on rivers and promote free-flowing rivers.
TA6.39;Natural connectivity of rivers and natural functions of the related floodplains.;TA6.7;+;The implementation of TA6.39 is likely to have a positive impact on TA6.7, as restoring natural connectivity and functions of floodplains can contribute to the restoration of degraded ecosystems and promote biodiversity, which is a key aspect of TA6.7. This is because restoring natural connectivity and functions can help maintain ecosystem services and promote biodiversity, which can reduce the impact of human activities on ecosystems and promote restoration.
TA6.40;(pollinator) Member States shall, by putting in place in a timely manner appropriate and effective measures, improve pollinator diversity and reverse the decline of pollinator populations at the latest by 2030.;TA5.33;+;The implementation of TA6.40 is likely to have a positive impact on TA5.33, as improving pollinator diversity can contribute to promoting healthier and more sustainable diets, which is a key aspect of TA5.33. This is because pollinators play a crucial role in food production and ecosystem health, and improving their diversity can promote sustainable agriculture and reduce the exposure to harmful pollutants.
TA6.41;Marine ecosystems: Member States shall put in place the restoration measures to improve areas of habitat types listed in Annex II which are not in good condition.;TA6.2;+;The implementation of TA6.41 is likely to have a positive impact on TA6.2, as restoring marine ecosystems can contribute to protecting a minimum of 30% of the EU's sea area, which is a key aspect of TA6.2. This is because ecosystem restoration can help maintain ecosystem services and promote biodiversity, which can reduce the impact of human activities on sea and promote protection.
TA6.42;Marine ecosystems: Member States shall put in place the restoration measures to re-establish the habitat types listed in Annex II in areas not covered by those habitat types.;TA6.14;+;The implementation of TA6.42 is likely to have a positive impact on TA6.14, as restoring marine ecosystems can contribute to reducing the number of Red List species threatened by Invasive Alien Species, which is a key aspect of TA6.14. This is because ecosystem restoration can help maintain ecosystem services and promote biodiversity, which can reduce the impact of invasive species and promote conservation.
TA6.43;Marine ecosystems: Member States shall ensure, by 2030 at the latest, that the condition is known for at least 50% of the area distributed over all habitat types listed in groups 1–6 of Annex II.;TA6.7;+;The implementation of TA6.43 is likely to have a positive impact on TA6.7, as knowing the condition of habitats can contribute to the restoration of degraded ecosystems and promote biodiversity, which is a key aspect of TA6.7. This is because knowing the condition of habitats can help identify areas that need restoration and promote effective conservation measures.
TA6.44;(agricultural ecosystems) Member States shall put in place measures which shall aim to achieve an increasing trend at national level of at least two out of the three following indicators in agricultural ecosystems.;TA6.4;+;The implementation of TA6.44 is likely to have a positive impact on TA6.4, as achieving an increasing trend in agricultural ecosystems can contribute to reducing nutrient losses and promoting sustainable agriculture, which is a key aspect of TA6.4. This is because achieving an increasing trend can help maintain ecosystem services and promote biodiversity, which can reduce nutrient losses and promote sustainable agriculture.
TA6.45;(agricultural ecosystems) Member States shall put in place restoration measures which shall aim to ensure that the common farmland bird index at national level based on the species specified in Annex V reaches the following levels.;TA6.14;+;The implementation of TA6.45 is likely to have a positive impact on TA6.14, as restoring agricultural ecosystems can contribute to reducing the number of Red List species threatened by Invasive Alien Species, which is a key aspect of TA6.14. This is because ecosystem restoration can help maintain ecosystem services and promote biodiversity, which can reduce the impact of invasive species and promote conservation.
