target_code;target_content;impact_target;impact_type;justification
TA6.29;Terrestrial ecosystems. Member States shall put in place [...] measures [...] to jointly cover, as a Union target, throughout the areas and ecosystems [...] defined in Art. 2, by 2030, at least 20% of land areas in need of restoration and, by 2050, all ecosystems in need of restoration.;TA4.28;+;The implementation of TA6.29 is likely to have a positive impact on TA4.28, as the restoration of terrestrial ecosystems can lead to increased carbon sequestration, which can contribute to reducing greenhouse gas emissions from transportation.
TA6.30;Marine ecosystems. Member States shall put in place [...] measures [...] to jointly cover, as a Union target, throughout the areas and ecosystems [...] defined in Art. 2, by 2030, at least 20% of sea areas in need of restoration and, by 2050, all ecosystems in need of restoration.;TA4.29;+;The implementation of TA6.30 is likely to have a positive impact on TA4.29, as the restoration of marine ecosystems can lead to increased carbon sequestration, which can contribute to reducing greenhouse gas emissions from transportation.
TA6.31;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures [...] to improve to good condition areas of habitat types listed in Annex I which are not in good condition.;TA5.3;-;The implementation of TA6.31 may have a negative impact on TA5.3, as the restoration of ecosystems may require the use of fertilizers, which can lead to increased nutrient losses.
TA6.32;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures [...] to re-establish the habitat types listed in Annex I in areas not covered by those habitat types.;TA5.4;-;The implementation of TA6.32 may have a negative impact on TA5.4, as the restoration of ecosystems may require the use of pesticides, which can lead to increased use of more hazardous pesticides.
TA6.33;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures for the terrestrial, coastal and freshwater habitats of the species listed in Annexes II, IV and V to Directive 92/43/EEC.;TA5.5;-;The implementation of TA6.33 may have a negative impact on TA5.5, as the restoration of ecosystems may require the use of pesticides, which can lead to increased use and risk of chemical pesticides.
TA6.34;Natural connectivity of rivers and natural functions of the related floodplains. Member States shall make an inventory of artificial barriers and remove them to connectivity of surface waters.;TA5.8;+;The implementation of TA6.34 is likely to have a positive impact on TA5.8, as the removal of artificial barriers can lead to improved water quality and increased water availability, which can contribute to preserving freshwater.
TA6.35;Terrestrial, coastal and freshwater ecosystems. Member States shall ensure that there is: (a) an increase of habitat area in good condition for habitat types listed in Annex I until at least 90% is in good condition.;TA5.9;+;The implementation of TA6.35 is likely to have a positive impact on TA5.9, as the increase of habitat area in good condition can lead to increased biodiversity, which can contribute to achieving the target of increasing organic farming.
TA6.36;Urban ecosystems. By 2030, Member States shall ensure that there is no net loss in the total national area of urban green space.;TA5.10;+;The implementation of TA6.36 is likely to have a positive impact on TA5.10, as the preservation of urban green space can lead to increased energy efficiency, which can contribute to reducing energy consumption in the agriculture and food sector.
TA6.37;Urban ecosystems. Member States shall achieve thereafter an increasing trend in the total national area of urban green space.;TA5.11;+;The implementation of TA6.37 is likely to have a positive impact on TA5.11, as the increase of urban green space can lead to increased energy efficiency, which can contribute to reducing energy consumption in the agriculture and food sector.
TA6.38;Urban ecosystems. Member States shall achieve, in each urban ecosystem area, an increasing trend of urban tree canopy cover.;TA5.11;+;The implementation of TA6.38 is likely to have a positive impact on TA5.11, as the increase of urban tree canopy cover can lead to increased energy efficiency, which can contribute to reducing energy consumption in the agriculture and food sector.
TA6.39;Natural connectivity of rivers and natural functions of the related floodplains. Member States shall make an inventory of artificial barriers and remove them to connectivity of surface waters.;TA4.30;+;The implementation of TA6.39 is likely to have a positive impact on TA4.30, as the removal of artificial barriers can lead to improved water quality and increased water availability, which can contribute to achieving the target of deploying shore-side electricity supply to inland waterway vessels.
TA6.40;Pollinator; Member States shall, by putting in place in a timely manner appropriate and effective measures, improve pollinator diversity and reverse the decline of pollinator populations.;TA5.6;+;The implementation of TA6.40 is likely to have a positive impact on TA5.6, as the improvement of pollinator diversity can lead to increased pollination services, which can contribute to achieving the target of increasing sustainable fishing and aquaculture.
TA6.41;Marine ecosystems. Member States shall put in place the restoration measures [...] to improve [...] areas of habitat types listed in Annex II which are not in good condition.;TA5.6;+;The implementation of TA6.41 is likely to have a positive impact on TA5.6, as the restoration of marine ecosystems can lead to increased biodiversity, which can contribute to achieving the target of increasing sustainable fishing and aquaculture.
TA6.42;Ecosystems. Member States shall put in place the restoration measures that are necessary to re-establish the habitat types of groups 1-6 listed in Annex II in areas not covered by those habitat types.;TA5.7;-;The implementation of TA6.42 may have a negative impact on TA5.7, as the restoration of ecosystems may require the use of resources, which can lead to increased greenhouse gas emissions from agriculture, fisheries, and aquaculture.
TA6.43;Marine ecosystems. Member States shall ensure, by 2030 at the latest, that the condition is known for at least 50% of the area distributed over all habitat types listed in groups 1–6 of Annex II.;TA5.8;+;The implementation of TA6.43 is likely to have a positive impact on TA5.8, as the improvement of knowledge on marine ecosystems can lead to better management and conservation of these ecosystems, which can contribute to preserving freshwater.
TA6.44;Agricultural ecosystems; Member States shall put in place measures which shall aim to achieve an increasing trend at national level of at least two out of the three following indicators in agricultural ecosystems.;TA5.9;+;The implementation of TA6.44 is likely to have a positive impact on TA5.9, as the improvement of indicators in agricultural ecosystems can lead to increased organic farming, which can contribute to achieving the target of increasing organic farming.
TA6.45;Agricultural ecosystems; Member States shall put in place restoration measures which shall aim to ensure that the common farmland bird index at national level based on the species specified in Annex V reaches the following levels.;TA5.10;+;The implementation of TA6.45 is likely to have a positive impact on TA5.10, as the improvement of farmland bird index can lead to increased biodiversity, which can contribute to achieving the target of increasing energy efficiency in the agriculture and food sector.
