target_code;target_content;impact_target;impact_type;justification
TA3.23;All recycling shall achieve at least the following targets for recovery of materials, 50% for lithium, no later than 31 December 2027;TA4.28;+;The implementation of TA3.23 is likely to have a positive impact on TA4.28, as the increased recycling of lithium and other materials can support the development of sustainable and environmentally friendly transportation systems, including the deployment of electric vehicles and related infrastructure.
TA3.23;All recycling shall achieve at least the following targets for recovery of materials, 50% for lithium, no later than 31 December 2027;TA4.30;+;The successful implementation of TA3.23 can also positively impact TA4.30, as the increased availability of recycled materials can contribute to the reduction of packaging waste and support the development of more sustainable packaging solutions.
TA3.24;Reduce the generation of food waste in processing and manufacturing by 10% in comparison to the amount generated in 2020;TA5.2;-;The reduction of food waste in TA3.24 may have a negative impact on TA5.2, as the decreased food waste generation could lead to reduced availability of organic waste for energy production, potentially affecting the overall energy mix and greenhouse gas emissions.
TA3.25;Reduce the generation of food waste per capita, jointly in retail and other distribution of food, in restaurants and food services and in households, by 30% in comparison to the amount generated in 2020;TA5.3;-;Similarly, the implementation of TA3.25 may negatively affect TA5.3, as the reduced food waste generation could lead to decreased nutrient losses, potentially impacting the overall nutrient cycle and affecting the reduction of nutrient losses in the environment.
TA3.27;All packaging shall be recyclable;TA4.32;+;The requirement for all packaging to be recyclable in TA3.27 is likely to have a positive impact on TA4.32, as the increased recyclability of packaging materials can support the development of more sustainable and environmentally friendly packaging solutions for the transportation sector.
TA3.28;The plastic part in packaging shall contain the following minimum percentage of recycled content recovered from post-consumer plastic waste;TA4.33;+;The implementation of TA3.28 can also positively impact TA4.33, as the increased use of recycled content in packaging can support the development of more sustainable and environmentally friendly packaging solutions for the transportation sector, including inland waterway vessels.
TA3.30;Each Member State shall reduce the packaging waste generated per capita, as compared to the packaging waste generated per capita in 2018;TA4.34;+;The reduction of packaging waste in TA3.30 is likely to have a positive impact on TA4.34, as the decreased packaging waste generation can support the development of more sustainable and environmentally friendly packaging solutions for the transportation sector, including seagoing container ships and seagoing passenger ships.
TA3.31;Member States shall take the necessary measures to attain the recycling targets of 65% by weight of all packaging waste generated by 31 December 2025;TA4.55;+;The implementation of TA3.31 can positively impact TA4.55, as the increased recycling of packaging waste can support the development of more sustainable and environmentally friendly transportation systems, including the reduction of emissions from urban logistics.
TA3.32;Member States shall take the necessary measures to attain a recycling target of 50% of plastic by weight of plastic contained in packaging waste generated by 31 December 2025;TA5.4;-;The increased recycling of plastic packaging waste in TA3.32 may have a negative impact on TA5.4, as the focus on recycling plastic waste could potentially divert attention and resources away from reducing the use of more hazardous pesticides and other harmful substances.
TA3.33;Member States shall take the necessary measures to attain a recycling target of 25% of wood by weight of wood contained in packaging waste generated by 31 December 2025;TA5.6;+;The implementation of TA3.33 can positively impact TA5.6, as the increased recycling of wood packaging waste can support the development of more sustainable and environmentally friendly aquaculture and fisheries practices.
TA3.34;Member States shall take the necessary measures to attain a recycling target of 70% of ferrous metals by weight of ferrous metals contained in packaging waste generated by 31 December 2025;TA5.7;-;The increased recycling of ferrous metals in TA3.34 may have a negative impact on TA5.7, as the focus on recycling metal waste could potentially divert attention and resources away from reducing greenhouse gas emissions from agriculture, fisheries, and aquaculture.
