TA1.3; Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030. Assessment: The at least 55% economy-wide net reduction objective is enshrined in the Climate Law as an overall ambition at the EU level;TA5.13; Reduce food waste. Prevent food loss and waste. Halve per capita food waste at retail and consumer levels*;+;The reduction of GHG emissions will likely lead to a decrease in food waste, as more efficient food production and distribution systems are implemented to reduce emissions.;The connection between these two targets is based on the idea that reducing GHG emissions will lead to more efficient food systems, which in turn will reduce food waste.

TA1.9; The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62 % compared to 2005 (increasing the linear emissions reduction factor from 2.2 % per year up to 4.4 %);TA3.11; ESR. Increased national targets in line with an EU- wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);+;The EU ETS target will likely have a positive impact on the ESR target, as the increased emissions reduction factor will lead to a decrease in emissions from sectors covered by the ETS, which will in turn contribute to the overall EU reduction target.;The connection between these two targets is based on the idea that reducing emissions from sectors covered by the ETS will contribute to the overall EU reduction target.

TA2.1; REPowerEU sets a target of 10 million tonnes of domestic renewable hydrogen production and 10 million tonnes of renewable hydrogen imports by 2030;TA1.12; Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030, and Member State-specific targets for 2030 summing up to -42 MtCO2e increase in LULUCF sink between 2016-2018 and 2030.;-;The production of renewable hydrogen may lead to an increase in land use for the production of renewable energy sources, which could negatively impact the LULUCF sector.;The connection between these two targets is based on the idea that the production of renewable hydrogen may lead to an increase in land use, which could negatively impact the LULUCF sector.

TA3.11; ESR. Increased national targets in line with an EU- wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);TA5.16; ncome distribution: Ensure fair income and salaries. Improve income of primary producers to ensure their sustainable livelihood.;+;The ESR target will likely have a positive impact on the income distribution target, as the reduction of emissions from sectors such as agriculture and waste will lead to more sustainable and equitable food systems.;The connection between these two targets is based on the idea that reducing emissions from sectors such as agriculture and waste will lead to more sustainable and equitable food systems, which will in turn improve the income of primary producers.

TA5.13; Reduce food waste. Prevent food loss and waste. Halve per capita food waste at retail and consumer levels*;TA5.15; Consumption footprint: Reduce the environmental and climate footprint of the EU food system, operating within planetary boundaries. Reduce the EU’s contribution to global deforestation and forest degradation.;+;The reduction of food waste will likely lead to a decrease in the environmental and climate footprint of the EU food system, as less food will be produced and distributed.;The connection between these two targets is based on the idea that reducing food waste will lead to more efficient food systems, which will in turn reduce the environmental and climate footprint of the EU food system.

