target_code;target_content;impact_target;impact_type;justification
TA3.23;All recycling shall achieve at least the following targets for recovery of materials, 50% for lithium, no later than 31 December 2027;TA5.13;+;The implementation of TA3.23 is likely to have a positive impact on TA5.13, as reducing food waste and increasing recycling rates can contribute to a more circular economy, which in turn can help reduce the environmental impact of food production and consumption. This can lead to a reduction in greenhouse gas emissions and help achieve the target of halving per capita food waste at retail and consumer levels.
TA3.24;Reduce the generation of food waste in processing and manufacturing by 10% in comparison to the amount generated in 2020;TA5.13;+;The implementation of TA3.24 is likely to have a positive impact on TA5.13, as reducing food waste in processing and manufacturing can contribute to a reduction in overall food waste, which is a key objective of TA5.13. This can help achieve the target of halving per capita food waste at retail and consumer levels.
TA3.25;Reduce the generation of food waste per capita, jointly in retail and other distribution of food, in restaurants and food services and in households, by 30% in comparison to the amount generated in 2020;TA5.13;+;The implementation of TA3.25 is likely to have a positive impact on TA5.13, as reducing food waste per capita can contribute to a reduction in overall food waste, which is a key objective of TA5.13. This can help achieve the target of halving per capita food waste at retail and consumer levels.
TA3.27;All packaging shall be recyclable;TA5.20;+;The implementation of TA3.27 is likely to have a positive impact on TA5.20, as increasing the recyclability of packaging can contribute to a reduction in waste and an increase in recycling rates, which can help improve the competitiveness of the EU's food system. This can lead to an increase in the trade surplus of the EU's agri-food sector.
TA3.28;The plastic part in packaging shall contain the following minimum percentage of recycled content recovered from post-consumer plastic waste;TA5.20;-;The implementation of TA3.28 may have a negative impact on TA5.20, as increasing the minimum percentage of recycled content in packaging can lead to higher production costs, which may negatively impact the competitiveness of the EU's food system. This can lead to a decrease in the trade surplus of the EU's agri-food sector.
TA3.30;Each Member State shall reduce the packaging waste generated per capita, as compared to the packaging waste generated per capita in 2018;TA5.20;+;The implementation of TA3.30 is likely to have a positive impact on TA5.20, as reducing packaging waste per capita can contribute to a reduction in overall waste, which can help improve the competitiveness of the EU's food system. This can lead to an increase in the trade surplus of the EU's agri-food sector.
TA3.31;Member States shall take the necessary measures to attain the recycling targets of 65% by weight of all packaging waste generated by 31 December 2025;TA5.20;+;The implementation of TA3.31 is likely to have a positive impact on TA5.20, as increasing the recycling rate of packaging waste can contribute to a reduction in waste and an increase in recycling rates, which can help improve the competitiveness of the EU's food system. This can lead to an increase in the trade surplus of the EU's agri-food sector.
TA3.32;Member States shall take the necessary measures to attain a recycling target of 50% of plastic by weight of plastic contained in packaging waste generated by 31 December 2025;TA5.20;-;The implementation of TA3.32 may have a negative impact on TA5.20, as increasing the recycling rate of plastic packaging waste can lead to higher production costs, which may negatively impact the competitiveness of the EU's food system. This can lead to a decrease in the trade surplus of the EU's agri-food sector.
TA3.33;Member States shall take the necessary measures to attain a recycling target of 25% of wood by weight of wood contained in packaging waste generated by 31 December 2025;TA5.20;+;The implementation of TA3.33 is likely to have a positive impact on TA5.20, as increasing the recycling rate of wood packaging waste can contribute to a reduction in waste and an increase in recycling rates, which can help improve the competitiveness of the EU's food system. This can lead to an increase in the trade surplus of the EU's agri-food sector.
TA3.34;Member States shall take the necessary measures to attain a recycling target of 70% of ferrous metals by weight of ferrous metals contained in packaging waste generated by 31 December 2025;TA5.20;+;The implementation of TA3.34 is likely to have a positive impact on TA5.20, as increasing the recycling rate of ferrous metals packaging waste can contribute to a reduction in waste and an increase in recycling rates, which can help improve the competitiveness of the EU's food system. This can lead to an increase in the trade surplus of the EU's agri-food sector.
TA3.35;Member States shall take the necessary measures to attain a recycling target of 50% of aluminium by weight of aluminium contained in packaging waste generated by 31 December 2025;TA5.20;-;The implementation of TA3.35 may have a negative impact on TA5.20, as increasing the recycling rate of aluminium packaging waste can lead to higher production costs, which may negatively impact the competitiveness of the EU's food system. This can lead to a decrease in the trade surplus of the EU's agri-food sector.
TA3.36;Member States shall take the necessary measures to attain a recycling target of 70% of glass by weight of glass contained in packaging waste generated by 31 December 2025;TA5.20;+;The implementation of TA3.36 is likely to have a positive impact on TA5.20, as increasing the recycling rate of glass packaging waste can contribute to a reduction in waste and an increase in recycling rates, which can help improve the competitiveness of the EU's food system. This can lead to an increase in the trade surplus of the EU's agri-food sector.
TA3.37;Member States shall take the necessary measures to attain a recycling target of 75% of paper and cardboard by weight of paper and cardboard contained in packaging waste generated by 31 December 2025;TA5.20;+;The implementation of TA3.37 is likely to have a positive impact on TA5.20, as increasing the recycling rate of paper and cardboard packaging waste can contribute to a reduction in waste and an increase in recycling rates, which can help improve the competitiveness of the EU's food system. This can lead to an increase in the trade surplus of the EU's agri-food sector.
TA5.12;Genetic biodiversity of food production systems: Secure and ensure access to a range of quality seeds for plant varieties in order to adapt to the pressures of climate change.;TA3.23;-;The implementation of TA5.12 may have a negative impact on TA3.23, as increasing the use of quality seeds for plant varieties can lead to an increase in the demand for lithium and other critical raw materials, which may negatively impact the recycling rates of these materials.
TA5.13;Reduce food waste;TA3.24;+;The implementation of TA5.13 is likely to have a positive impact on TA3.24, as reducing food waste can contribute to a reduction in the generation of food waste in processing and manufacturing, which is a key objective of TA3.24.
TA5.14;Circular economy: Scale-up and promote sustainable and socially responsible production methods and circular business models in food processing and retail.;TA3.27;+;The implementation of TA5.14 is likely to have a positive impact on TA3.27, as promoting circular economy practices can contribute to an increase in the recyclability of packaging, which is a key objective of TA3.27.
TA5.15;Consumption footprint: Reduce the environmental and climate footprint of the EU food system, operating within planetary boundaries.;TA3.30;-;The implementation of TA5.15 may have a negative impact on TA3.30, as reducing the environmental and climate footprint of the EU food system can lead to an increase in the cost of packaging waste management, which may negatively impact the reduction of packaging waste per capita.
TA5.16;ncome distribution: Ensure fair income and salaries.;TA3.38;-;The implementation of TA5.16 may have a negative impact on TA3.38, as ensuring fair income and salaries can lead to an increase in the cost of production, which may negatively impact the competitiveness of the EU's food system.
TA5.17;Sectorial growth: Help farmers and fishers to strengthen their position in the supply chain and to capture a fair share of the added value of sustainable production.;TA3.38;+;The implementation of TA5.17 is likely to have a positive impact on TA3.38, as helping farmers and fishers to strengthen their position in the supply chain can contribute to an increase in the competitiveness of the EU's food system.
TA5.18;Market power and business structure: Improve agricultural rules that strengthen the position of farmers (e.g. producers of products with geographical indications), their cooperatives and producer organisations in the food supply chain.;TA3.38;+;The implementation of TA5.18 is likely to have a positive impact on TA3.38, as improving agricultural rules can contribute to an increase in the competitiveness of the EU's food system.
TA5.19;Price: Preserve the price affordability of food.;TA3.38;-;The implementation of TA5.19 may have a negative impact on TA3.38, as preserving the price affordability of food can lead to a decrease in the price of food products, which may negatively impact the competitiveness of the EU's food system.
TA5.20;Trade: Foster the competitiveness of the EU supply sector.;TA3.38;+;The implementation of TA5.20 is likely to have a positive impact on TA3.38, as fostering the competitiveness of the EU supply sector can contribute to an increase in the trade surplus of the EU's agri-food sector.
TA5.21;Digitalisation and knowledge transfer. Ensure access to fast broadband to all farmers and all rural areas to achieve the objective of 100% access by 2025;TA3.38;+;The implementation of TA5.21 is likely to have a positive impact on TA3.38, as ensuring access to fast broadband can contribute to an increase in the competitiveness of the EU's food system.
TA5.22;Transport, accessibility and infrastructure: Create shorter supply chains will support reducing dependence on long-haul transportation.;TA3.38;+;The implementation of TA5.22 is likely to have a positive impact on TA3.38, as creating shorter supply chains can contribute to a reduction in transportation costs, which can help improve the competitiveness of the EU's food system.
TA5.23;Employment and working conditions: Create new job opportunities. Improve working conditions, ensure occupation health and safety.;TA3.38;+;The implementation of TA5.23 is likely to have a positive impact on TA3.38, as creating new job opportunities and improving working conditions can contribute to an increase in the competitiveness of the EU's food system.
TA5.24;Social protection and poverty: Ensure fair, inclusive and ethical value chains. Ensure workers’ social protection and housing conditions; promote socially responsible production methods; Mitigate the socio-economic consequences impacting the food chain and ensure that the key principles enshrined in the European Pillar of Social Rights are respected, especially when it comes to precarious, seasonal and undeclared workers.;TA3.38;-;The implementation of TA5.24 may have a negative impact on TA3.38, as ensuring fair, inclusive and ethical value chains can lead to an increase in the cost of production, which may negatively impact the competitiveness of the EU's food system.
