TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030. Assessment: The at least 55% economy-wide net reduction objective is enshrined in the Climate Law as an overall ambition at the EU level.;TA3.23;All recycling shall achieve at least the following targets for recovery of materials, 50% for lithium, no later than 31 December 2027;+;The reduction of GHG emissions will likely lead to an increased demand for lithium, which could positively impact the recycling targets for lithium.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030. Assessment: The at least 55% economy-wide net reduction objective is enshrined in the Climate Law as an overall ambition at the EU level.;TA3.28;The plastic part in packaging shall contain the following minimum percentage of recycled content recovered from post-consumer plastic waste, per unit of packaging;+;The reduction of GHG emissions will likely lead to increased recycling and use of recycled materials in packaging, positively impacting the target of using recycled content in packaging.
TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;TA3.23;-;The reduction of methane emissions could lead to a decrease in the availability of biogas, which is used as a substitute for fossil fuels, potentially negatively impacting the recycling targets for lithium.
TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005;TA3.30;Each Member State shall reduce the packaging waste generated per capita, as compared to the packaging waste generated per capita in 2018;+;The reduction of GHG emissions from the EU ETS sectors will likely lead to increased recycling and reduction of packaging waste, positively impacting the target of reducing packaging waste.
TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;TA3.29;Member States shall take measures to achieve a sustained reduction in the consumption of lightweight plastic carrier bags;+;The reduction of GHG emissions from the buildings and road transport sectors will likely lead to increased energy efficiency and reduced consumption of single-use plastics, positively impacting the target of reducing lightweight plastic carrier bags.
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030;TA3.36;Member States shall take the necessary measures to attain the recycling targets of 70% of glass by weight of glass contained in packaging waste generated by 31 December 2025;+;The increase in carbon sequestration from the LULUCF sector will likely lead to increased availability of biomass, which can be used to produce biogas, potentially positively impacting the recycling targets for glass.
TA2.1;REPowerEU sets a target of 10 million tonnes of domestic renewable hydrogen production and 10 million tonnes of renewable hydrogen imports by 2030;TA3.23;All recycling shall achieve at least the following targets for recovery of materials, 50% for lithium, no later than 31 December 2027;+;The increased production and use of renewable hydrogen will likely lead to an increased demand for lithium, which could positively impact the recycling targets for lithium.
TA2.3;Member States shall ensure that the contribution of renewable fuels of non-biological origin used for final energy and non-energy purposes shall be at least 42% of the hydrogen used for final energy and non-energy purposes in industry by 2030;TA3.28;The plastic part in packaging shall contain the following minimum percentage of recycled content recovered from post-consumer plastic waste, per unit of packaging;+;The increased use of renewable fuels of non-biological origin will likely lead to increased recycling and use of recycled materials in packaging, positively impacting the target of using recycled content in packaging.
TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%;TA3.30;Each Member State shall reduce the packaging waste generated per capita, as compared to the packaging waste generated per capita in 2018;+;The increased share of renewable energy will likely lead to reduced GHG emissions and increased energy efficiency, positively impacting the target of reducing packaging waste.
TA3.23;All recycling shall achieve at least the following targets for recovery of materials, 50% for lithium, no later than 31 December 2027;TA1.3;-;The increased recycling of lithium could lead to a decrease in the availability of primary lithium, potentially negatively impacting the reduction of GHG emissions.
TA3.28;The plastic part in packaging shall contain the following minimum percentage of recycled content recovered from post-consumer plastic waste, per unit of packaging;TA1.10;-;The increased use of recycled content in packaging could lead to a decrease in the demand for primary materials, potentially negatively impacting the reduction of GHG emissions from the buildings and road transport sectors.
TA3.30;Each Member State shall reduce the packaging waste generated per capita, as compared to the packaging waste generated per capita in 2018;TA1.9;+;The reduction of packaging waste will likely lead to increased recycling and reduced GHG emissions from the EU ETS sectors, positively impacting the target of reducing GHG emissions.
TA3.36;Member States shall take the necessary measures to attain the recycling targets of 70% of glass by weight of glass contained in packaging waste generated by 31 December 2025;TA1.12;+;The increased recycling of glass will likely lead to increased availability of recycled materials, potentially positively impacting the target of achieving an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the LULUCF sector.
