target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE level3_extra2;justification;confidence_score
TA3.1;Halve the amount of residual (non-recycled) municipal waste;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;;E38 - Waste collection, treatment and disposal activities, materials recovery;;;;E38.1 - Waste collection;;This target focuses on waste management and reduction, relevant to waste management activities.;9
TA3.10;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's recycling capacity, including for all intermediate recycling steps, is able to produce at least 15% of the Union's annual consumption of strategic raw materials;C - Manufacturing;;;C24 - Manufacture of basic metals;;;;C24.1 - Manufacture of basic iron and steel and of ferro-alloys;;The target involves recycling of strategic raw materials, closely related to the manufacturing of metals.;8
TA3.11;Diversify the Union's imports of strategic raw materials with a view to ensure that the Union's annual consumption of each strategic raw material at any relevant stage of processing can rely on imports from several third countries, none of which provide more than 65% of the Union's annual consumption;C - Manufacturing;B - Mining and Quarrying;;C24 - Manufacture of basic metals;B07 - Mining of metal ores;;C24.1 - Manufacture of basic iron and steel and of ferro-alloys;B07.1 - Mining of iron ores;;This target addresses both manufacturing and mining sectors to diversify material sources.;7
TA3.12;by 2030, manufacturing capacity in the Union of the strategic net-zero technologies listed in the Annex approaches or reaches a benchmark of at least 40% of the Union’s annual deployment needs for the corresponding technologies necessary to achieve the Union’s 2030 climate and energy targets;C - Manufacturing;M - Professional, Scientific and Technical Activities;;C28 - Manufacture of machinery and equipment n.e.c.;M71 - Architectural and engineering activities, technical testing and analysis;;C28.9 - Manufacture of other special-purpose machinery;M71.2 - Technical testing and analysis;;The target is related to manufacturing net-zero technologies and may require engineering and technical support.;8
TA3.13;nan;;;;;;;;;;No content provided.;0
TA3.14;nan;;;;;;;;;;No content provided.;0
TA3.15;Producers of portable batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall ensure that all waste portable batteries, Light Means of Transport (LMT) and SLI batteries, regardless of their nature, chemical composition, condition, brand or origin, are collected separately in the territory of a Member State where they make these batteries available on the market for the first time.;C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;C27 - Manufacture of electrical equipment;E38 - Waste collection, treatment and disposal activities, materials recovery;;C27.2 - Manufacture of batteries and accumulators;E38.1 - Waste collection;;This involves both battery manufacturing and waste management sectors for collection and recycling.;9
TA3.16;Producers of portable batteries or producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets for waste portable batteries: 45 % by 31 December 2023, 63 % by 31 December 2027, 73 % by 31 December 2030.;C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;C27 - Manufacture of electrical equipment;E38 - Waste collection, treatment and disposal activities, materials recovery;;C27.2 - Manufacture of batteries and accumulators;E38.1 - Waste collection;;The target focuses on collection and recycling of batteries, involving manufacturing and waste management.;9
TA3.17;Producers of LMT (Light Means of Transport) batteries or producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets of waste LMT batteries: 51 % by 31 December 2028, 61 % by 31 December 2031.;C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;C27 - Manufacture of electrical equipment;E38 - Waste collection, treatment and disposal activities, materials recovery;;C27.2 - Manufacture of batteries and accumulators;E38.1 - Waste collection;;This target involves manufacturing and waste management sectors for battery collection.;9
TA3.18;Recycled content in industrial batteries, electric vehicle batteries, LMT batteries and SLI batteries: Cobalt: 16 % by 2031 (26% by 2036), Lead: 85% (85%), Nickel: 6% (12%), Lithium 6% (15%);C - Manufacturing;;;C27 - Manufacture of electrical equipment;;;C27.2 - Manufacture of batteries and accumulators;;;The target deals with recycling and manufacturing of batteries.;9
