source_target;source_target_content;impact_target;impact_target_content;impact_type;impact_weight;justification
TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;TA5.11;Biodiversity conservation and restoration of natural resources: Protect the environment and restore natural resources. Preserve biodiversity and reduce biodiversity loss.;+;2;The implementation of TA6.1 will likely reinforce the achievement of TA5.11, as protecting a minimum of 30% of the EU's land area will contribute to preserving biodiversity and reducing biodiversity loss.
TA6.14;12. There is a 50% reduction in the number of Red List species threatened by Invasive Alien Species (IAS);TA5.9;Increase organic farming with the aim to achieve at least 25% of total farmland under organic farming by 2030 Target in Common with Biodiversity Strategy (see Thematic Area 6);+;1;The reduction of Red List species threatened by IAS will be enabled by the increase in organic farming, which will reduce the use of pesticides and fertilizers, thus creating a more favorable environment for species recovery.
TA6.3;2.a Strictly protect at least a third of the EU'S protected areas;TA5.2;Reduce overall EU sales of antimicrobials for farmed animals and in aquaculture by 50% by 2030.;+;2;Strictly protecting at least a third of the EU's protected areas will aid in reducing the use of antimicrobials, as it will promote more sustainable and resilient farming practices, reducing the need for these substances.
TA6.8;5. The decline of pollinators is reversed;TA5.27;Food messaging: Provide food information and labelling to empower consumers to make informed, healthy and sustainable food choices. Strengthen educational messages on the importance of healthy nutrition, sustainable food production and consumption, and reducing food waste;+;1;Reversing the decline of pollinators will be facilitated by food messaging and labelling, as consumers will be empowered to make informed choices, promoting sustainable food production and reducing the use of pesticides, thus creating a more favorable environment for pollinators.
TA6.33;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures for the terrestrial, coastal and freshwater habitats of the species listed in Annexes II, IV and V;TA5.35;Preparedness, shock resilience, adaptation and transformation: Strengthen the resilience of the EU food system. Build up resilience to climate change, possible future diseases and pandemics. Increasing the sustainability of food producers will ultimately increase their resilience.;+;2;The restoration of ecosystems will contribute to the resilience of the EU food system, as it will promote biodiversity, improve soil health, and enhance ecosystem services, thus supporting the adaptation and transformation of the food system.
TA6.40;(pollinator) Member States shall, by putting in place in a timely manner appropriate and effective measures, improve pollinator diversity and reverse the decline of pollinator populations;TA5.29;Food availability: Improve availability of sustainable food. Ensure that the healthy option is always the easiest one. Ensure food supply.;+;1;Improving pollinator diversity and reversing the decline of pollinator populations will contribute to improving food availability, as pollinators play a crucial role in food production, and their decline can impact food security.
TA6.2;1.b Legally protect a minimum of 30% of the EU's sea area;TA5.6;Aquatic living resources: Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture;+;2;Protecting a minimum of 30% of the EU's sea area will support the increase in sustainable fishing and aquaculture, as it will promote the conservation of marine ecosystems and the recovery of fish stocks.
TA6.28;In accordance with the CFP, it is crucial to continue and accelerate the work of rebuilding and keeping fish stocks above MSY levels;TA5.4;Reduce by 50% the use of more hazardous pesticides Target in Common with Biodiversity Strategy (see Thematic Area 6) and Zero Pollution Action Plan (see Thematic Area 7);+;1;The rebuilding and maintenance of fish stocks will be facilitated by the reduction of hazardous pesticides, which will reduce the impact of pollution on aquatic ecosystems, thus promoting the recovery of fish stocks.
TA6.34;Terrestrial, coastal and freshwater ecosystems. Member States shall ensure that condition is known for at least 90% of the area distributed overall habitat types listed in Annex I by 2030 and 100% by 2040.;TA5.16;Income distribution: Ensure fair income and salaries. Improve income of primary producers to ensure their sustainable livelihood.;+;2;Ensuring that the condition of ecosystems is known will support fair income distribution, as it will promote sustainable and resilient farming practices, thus improving the livelihoods of primary producers.
TA6.43;Marine ecosystems. Member States shall ensure, by 2030 at the latest, that the condition is known for at least 50% of the area distributed over all habitat types listed in groups 1–6 of Annex II.;TA5.21;Digitalisation and knowledge transfer. Ensure access to fast broadband to all farmers and all rural areas to achieve the objective of 100% access by 2025 (enabler for jobs, businesses, investments, improvement in quality of life in rural areas and enabler to mainstream precision farming and use of artificial intelligence);+;1;The knowledge of ecosystem condition will be facilitated by digitalization and knowledge transfer, as it will provide farmers and primary producers with the necessary tools and information to promote sustainable and resilient farming practices.
