TA5.11;Biodiversity conservation and restoration of natural resources: Protect the environment and restore natural resources. Preserve biodiversity and reduce biodiversity loss.;TA2.41;Member States are required to achieve cumulative end-use energy savings from 2021 to 2030, equivalent to new annual savings of at least 0.8% of final energy consumption in 2021-2023, at least 1.3% in 2024-2025, 1.5% in 2026-2027 and 1.9% in 2028-2030. Directive (EU) 2023/1791);+;2;The implementation of TA5.11 will likely reinforce TA2.41 as the reduction of energy consumption and the promotion of renewable energy sources can contribute to the protection of biodiversity and the restoration of natural resources, which in turn can support the achievement of energy savings targets.;
TA5.14;Circular economy: Scale-up and promote sustainable and socially responsible production methods and circular business models in food processing and retail.;TA2.25;Reduce buildings’ final energy consumption by 14%;+;1;The implementation of TA5.14 can enable TA2.25 as the adoption of circular economy practices in the food sector can lead to reduced energy consumption in buildings, thereby contributing to the reduction of final energy consumption.;
TA5.17;Sectorial growth: Help farmers and fishers to strengthen their position in the supply chain and to capture a fair share of the added value of sustainable production;TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%;+;2;The implementation of TA5.17 can reinforce TA2.9 as the growth of the agricultural sector can be supported by the increased use of renewable energy sources, which can contribute to the achievement of the renewable energy target.;
TA5.18;Market power and business structure: Improve agricultural rules that strengthen the position of farmers (e.g. producers of products with geographical indications), their cooperatives and producer organisations in the food supply chain.;TA2.21;Member States shall ensure that the total final energy consumption of all public bodies combined is reduced by at least 1.9% each year, when compared to 2021;+;1;The implementation of TA5.18 can enable TA2.21 as the improvement of agricultural rules can lead to increased energy efficiency in public bodies, thereby contributing to the reduction of their energy consumption.;
TA5.20;Trade: Foster the competitiveness of the EU supply sector.;TA2.4;Double the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027 and 30 million units by 2030;+;2;The implementation of TA5.20 can reinforce TA2.4 as the increased competitiveness of the EU supply sector can support the growth of the heat pump market, leading to increased deployment rates.;
TA5.35;Preparedness, shock resilience, adaptation and transformation: Strengthen the resilience of the EU food system. Build up resilience to climate change, possible future diseases and pandemics. Increasing the sustainability of food producers will ultimately increase their resilience.;TA2.37;By 2030, the share of renewable energy in the electricity mix should double to 55-60%;+;3;The implementation of TA5.35 can reinforce TA2.37 as the increased resilience of the food system can support the integration of renewable energy sources, leading to a higher share of renewable energy in the electricity mix.;
TA5.21;Digitalisation and knowledge transfer. Ensure access to fast broadband to all farmers and all rural areas to achieve the objective of 100% access by 2025 (enabler for jobs, businesses, investments, improvement in quality of life in rural areas and enabler to mainstream precision farming and use of artificial intelligence;TA2.1;REPowerEU sets a target of 10 million tonnes of domestic renewable hydrogen production and 10 million tonnes of renewable hydrogen imports by 2030;+;2;The implementation of TA5.21 can enable TA2.1 as the increased access to digital technologies and knowledge transfer can support the development of renewable hydrogen production and imports.;
TA5.19;Price: Preserve the price affordability of food.;TA2.25;Reduce buildings’ final energy consumption by 14%;+;1;The implementation of TA5.19 can enable TA2.25 as the preservation of food price affordability can lead to reduced energy consumption in buildings, thereby contributing to the reduction of final energy consumption.;
TA5.29;Food availability: Improve availability of sustainable food. Ensure that the healthy option is always the easiest one. Ensure food supply.;TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%;+;2;The implementation of TA5.29 can reinforce TA2.9 as the improved availability of sustainable food can support the achievement of the renewable energy target by promoting sustainable food production and consumption practices.;
TA5.30;Food affordability: Ensure affordability to sufficient, nutritious and sustainable food;TA2.21;Member States shall ensure that the total final energy consumption of all public bodies combined is reduced by at least 1.9% each year, when compared to 2021;+;1;The implementation of TA5.30 can enable TA2.21 as the increased affordability of sustainable food can lead to reduced energy consumption in public bodies, thereby contributing to the reduction of their energy consumption.;
TA5.32;Food security: Ensuring food security and access to quality, safe, sustainable, nutritious food for all.;TA2.4;Double the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027 and 30 million units by 2030;+;2;The implementation of TA5.32 can reinforce TA2.4 as the improved food security can support the growth of the heat pump market, leading to increased deployment rates.;
TA5.12;Genetic biodiversity of food production systems: Secure and ensure access to a range of quality seeds for plant varieties in order to adapt to the pressures of climate change.;TA2.37;By 2030, the share of renewable energy in the electricity mix should double to 55-60%;+;3;The implementation of TA5.12 can reinforce TA2.37 as the improved genetic biodiversity can support the integration of renewable energy sources, leading to a higher share of renewable energy in the electricity mix.;
TA5.15;Consumption footprint: Reduce the environmental and climate footprint of the EU food system, operating within planetary boundaries. Reduce the EU’s contribution to global deforestation and forest degradation.;TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%;+;2;The implementation of TA5.15 can reinforce TA2.9 as the reduced consumption footprint can support the achievement of the renewable energy target by promoting sustainable food production and consumption practices.;
TA5.6;Aquatic living resources: Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture;TA2.25;Reduce buildings’ final energy consumption by 14%;+;1;The implementation of TA5.6 can enable TA2.25 as the growth of sustainable fishing and aquaculture can lead to reduced energy consumption in buildings, thereby contributing to the reduction of final energy consumption.;
TA5.9;Increase organic farming with the aim to achieve at least 25% of total farmland under organic farming by 2030 Target in Common with Biodiversity Strategy (see Thematic Area 6);TA2.1;REPowerEU sets a target of 10 million tonnes of domestic renewable hydrogen production and 10 million tonnes of renewable hydrogen imports by 2030;+;2;The implementation of TA5.9 can enable TA2.1 as the increased organic farming can support the development of renewable hydrogen production and imports.;
TA5.2;Reduce overall EU sales of antimicrobials for farmed animals and in aquaculture by 50% by 2030.;TA2.41;Member States are required to achieve cumulative end-use energy savings from 2021 to 2030, equivalent to new annual savings of at least 0.8% of final energy consumption in 2021-2023, at least 1.3% in 2024-2025, 1.5% in 2026-2027 and 1.9% in 2028-2030. Directive (EU) 2023/1791);+;2;The implementation of TA5.2 can reinforce TA2.41 as the reduction of antimicrobial use can contribute to the protection of biodiversity and the restoration of natural resources, which in turn can support the achievement of energy savings targets.;
TA5.25;Animal welfare: Promote better animal welfare to improve animal health and food quality.;TA2.21;Member States shall ensure that the total final energy consumption of all public bodies combined is reduced by at least 1.9% each year, when compared to 2021;+;1;The implementation of TA5.25 can enable TA2.21 as the improved animal welfare can lead to reduced energy consumption in public bodies, thereby contributing to the reduction of their energy consumption.;
TA5.27;Food messaging: Provide food information and labelling to empower consumers to make informed, healthy and sustainable food choices. Strengthen educational messages on the importance of healthy nutrition, sustainable food production and consumption, and reducing food waste;TA2.25;Reduce buildings’ final energy consumption by 14%;+;1;The implementation of TA5.27 can enable TA2.25 as the improved food messaging can lead to reduced energy consumption in buildings, thereby contributing to the reduction of final energy consumption.;
TA5.31;Properties of food: Increase reformulation of food products in line with guidelines for healthy and sustainable diets;TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%;+;2;The implementation of TA5.31 can reinforce TA2.9 as the improved food properties can support the achievement of the renewable energy target by promoting sustainable food production and consumption practices.;
TA5.33;Nutrition and healthy, sustainable diets: Move to healthier and more sustainable diets.;TA2.4;Double the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027 and 30 million units by 2030;+;2;The implementation of TA5.33 can reinforce TA2.4 as the improved nutrition and diets can support the growth of the heat pump market, leading to increased deployment rates.;
TA5.34;Health impact of diets: Reversing of the rise in overweight and obesity rates across the EU by 2030;TA2.37;By 2030, the share of renewable energy in the electricity mix should double to 55-60%;+;3;The implementation of TA5.34 can reinforce TA2.37 as the improved health impact of diets can support the integration of renewable energy sources, leading to a higher share of renewable energy in the electricity mix.;
TA5.7;Ensure that agriculture, fisheries and aquaculture, and the food value chain contribute to the target of reducing net greenhouse gas emissions to at least 55% below 1990 levels by 2030 and to the achievement of the objective for a climate-neutral Union in 2050;TA2.1;REPowerEU sets a target of 10 million tonnes of domestic renewable hydrogen production and 10 million tonnes of renewable hydrogen imports by 2030;+;2;The implementation of TA5.7 can enable TA2.1 as the reduced greenhouse gas emissions can support the development of renewable hydrogen production and imports.;
TA5.3;Reduce nutrient losses by at least 50%, while ensuring that there is no deterioration in soil fertility.;TA2.41;Member States are required to achieve cumulative end-use energy savings from 2021 to 2030, equivalent to new annual savings of at least 0.8% of final energy consumption in 2021-2023, at least 1.3% in 2024-2025, 1.5% in 2026-2027 and 1.9% in 2028-2030. Directive (EU) 2023/1791);+;2;The implementation of TA5.3 can reinforce TA2.41 as the reduced nutrient losses can contribute to the protection of biodiversity and the restoration of natural resources, which in turn can support the achievement of energy savings targets.;
TA5.8;Water: Preserving freshwater, boosting water reuse in agriculture.;TA2.25;Reduce buildings’ final energy consumption by 14%;+;1;The implementation of TA5.8 can enable TA2.25 as the preservation of freshwater can lead to reduced energy consumption in buildings, thereby contributing to the reduction of final energy consumption.;
TA5.4;Reduce by 50% the use of more hazardous pesticides Target in Common with Biodiversity Strategy (see Thematic Area 6) and Zero Pollution Action Plan (see Thematic Area 7);TA2.21;Member States shall ensure that the total final energy consumption of all public bodies combined is reduced by at least 1.9% each year, when compared to 2021;+;1;The implementation of TA5.4 can enable TA2.21 as the reduced use of hazardous pesticides can lead to reduced energy consumption in public bodies, thereby contributing to the reduction of their energy consumption.;
TA5.5;Reduce by 50% the use and risk of chemical pesticides Target in Common with Biodiversity Strategy (see Thematic Area 6) and Zero Pollution Action Plan (see Thematic Area 7);TA2.4;Double the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027 and 30 million units by 2030;+;2;The implementation of TA5.5 can reinforce TA2.4 as the reduced use of chemical pesticides can support the growth of the heat pump market, leading to increased deployment rates.;
TA5.10;Energy: Increase renewable energy in the agriculture and food sector. Adopt energy efficiency solutions in the agriculture and food sector, by reducing energy consumption.;TA2.37;By 2030, the share of renewable energy in the electricity mix should double to 55-60%;+;3;The implementation of TA5.10 can reinforce TA2.37 as the increased renewable energy can support the integration of renewable energy sources, leading to a higher share of renewable energy in the electricity mix.;
TA5.16;Income distribution: Ensure fair income and salaries. Improve income of primary producers to ensure their sustainable livelihood.;TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%;+;2;The implementation of TA5.16 can reinforce TA2.9 as the improved income distribution can support the achievement of the renewable energy target by promoting sustainable food production and consumption practices.;
TA5.23;Employment and working conditions: Create new job opportunities. Improve working conditions, ensure occupation health and safety.;TA2.21;Member States shall ensure that the total final energy consumption of all public bodies combined is reduced by at least 1.9% each year, when compared to 2021;+;1;The implementation of TA5.23 can enable TA2.21 as the improved employment and working conditions can lead to reduced energy consumption in public bodies, thereby contributing to the reduction of their energy consumption.;
TA5.24;Social protection and poverty: Ensure fair, inclusive and ethical value chains. Ensure workers’ social protection and housing conditions, promote socially responsible production methods, Mitigate the socio-economic consequences impacting the food chain and ensure that the key principles enshrined in the European Pillar of Social Rights are respected, especially when it comes to precarious, seasonal and undeclared workers.;TA2.4;Double the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027 and 30 million units by 2030;+;2;The implementation of TA5.24 can reinforce TA2.4 as the improved social protection and poverty reduction can support the growth of the heat pump market, leading to increased deployment rates.;
TA5.22;Transport, accessibility and infrastructure: Create shorter supply chains will support reducing dependence on long-haul transportation.;TA2.25;Reduce buildings’ final energy consumption by 14%;+;1;The implementation of TA5.22 can enable TA2.25 as the reduced transportation needs can lead to reduced energy consumption in buildings, thereby contributing to the reduction of final energy consumption.;
TA5.13;Reduce food waste. Prevent food loss and waste. Halve per capita food waste at retail and consumer levels* *See also Directive (EU) 2018/851 on waste with a target on food waste reduction of 30% by 2025;TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%;+;2;The implementation of TA5.13 can reinforce TA2.9 as the reduced food waste can support the achievement of the renewable energy target by promoting sustainable food production and consumption practices.
