source_target;source_target_content;impact_target;impact_target_content;impact_type;impact_weight;justification
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA4.1;Achieve an annual production of sustainable biomethane of 35 billion cubic meters by 2030;+;2;The reduction of GHG emissions will create a favorable environment for the production of sustainable biomethane, which can be used as a low-carbon energy source.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA4.7;Each Member State shall set an obligation on fuel suppliers to ensure that: (B) the combined share of advanced biofuels and biogas produced from the feedstock listed in Part A of Annex IX and of renewable fuels of non-biological origin in the energy supplied to the transport sector is at least 1% in 2025 and 5.5% in 2030, of which a share of at least 1 percentage point is from renewable fuels of non-biological origin in 2030. Directive (EU) 2023/2413;+;2;The reduction of GHG emissions will lead to an increased demand for low-carbon energy sources, such as advanced biofuels and renewable fuels of non-biological origin, which will drive the growth of the sustainable biomethane market.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA4.5;Aviation fuel suppliers shall also ensure that Sustainable Aviation Fuel (SAF) made available to aircraft operators at each Union airport will be at least 2% from 2025, 6% from 2030, 20% from 2035, 34% from 2040, 42% from 2045 and 70% from 2050. Regulation (EU) 2023/2405;+;2;The reduction of GHG emissions will create a favorable environment for the production and use of Sustainable Aviation Fuels, which can help achieve the EU's climate goals.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA4.9;Cut the emissions of transport sector by 90% by 2050 relative to 1990. Sustainable and Smart Mobility Strategy;+;3;The reduction of GHG emissions will have a significant impact on the transport sector, leading to a substantial decrease in emissions and driving the transition to low-carbon transportation.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA4.30;Member States shall ensure that, by 31 December 2030, at least one publicly accessible hydrogen refuelling station is deployed in each urban node. Regulation (EU) 2023/1804;+;2;The reduction of GHG emissions will create a favorable environment for the deployment of hydrogen refuelling stations, which can help achieve the EU's climate goals.
TA1.8;Reach energy neutrality in the wastewater treatment sector by 2045.;TA4.32;States shall ensure that, at all airports of the TEN-T core network and TEN-T comprehensive network, the provision of electricity supply to stationary aircraft is ensured by 31 December 2029, at all aircraft remote stands used for commercial air transport operations to embark or disembark passengers or to load or unload goods Regulation (EU) 2023/1804;+;1;The achievement of energy neutrality in the wastewater treatment sector will lead to increased energy efficiency and reduced energy consumption, which can be supported by the provision of electricity supply to stationary aircraft.
TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005;TA4.1;Achieve an annual production of sustainable biomethane of 35 billion cubic meters by 2030;+;2;The EU ETS will drive the growth of the sustainable biomethane market by creating a carbon pricing mechanism that incentivizes the production of low-carbon energy sources.
TA1.11;ESR. Increased national targets in line with an EU- wide reduction of 40% in the ESR sectors compared to 2005;TA4.7;Each Member State shall set an obligation on fuel suppliers to ensure that: (B) the combined share of advanced biofuels and biogas produced from the feedstock listed in Part A of Annex IX and of renewable fuels of non-biological origin in the energy supplied to the transport sector is at least 1% in 2025 and 5.5% in 2030, of which a share of at least 1 percentage point is from renewable fuels of non-biological origin in 2030. Directive (EU) 2023/2413;+;2;The ESR will drive the growth of the sustainable biomethane market by creating a framework for the reduction of GHG emissions in the transport sector.
TA1.13;No debit rule. For the period from 2021 to 2025, each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals;TA4.5;Aviation fuel suppliers shall also ensure that Sustainable Aviation Fuel (SAF) made available to aircraft operators at each Union airport will be at least 2% from 2025, 6% from 2030, 20% from 2035, 34% from 2040, 42% from 2045 and 70% from 2050. Regulation (EU) 2023/2405;+;1;The no-debit rule will create a favorable environment for the production and use of Sustainable Aviation Fuels, which can help achieve the EU's climate goals.
TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, by 2030;TA4.25;Member States shall ensure that, at the end of each year, the following power output targets are met cumulatively: (a) for each light-duty battery electric vehicle registered in their territory, a total power output of at least 1.3 kW is provided through publicly accessible recharging stations, and (b) for each light-duty plug-in hybrid vehicle registered in their territory, a total power output of at least 0.80 kW is provided through publicly accessible recharging stations. Regulation (EU) 2023/1804;+;1;The reduction of buildings' greenhouse gas emissions will lead to increased energy efficiency and reduced energy consumption, which can be supported by the deployment of publicly accessible recharging stations.
TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;TA4.1;Achieve an annual production of sustainable biomethane of 35 billion cubic meters by 2030;+;2;The ETS2 will drive the growth of the sustainable biomethane market by creating a carbon pricing mechanism that incentivizes the production of low-carbon energy sources.
TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;TA4.7;Each Member State shall set an obligation on fuel suppliers to ensure that: (B) the combined share of advanced biofuels and biogas produced from the feedstock listed in Part A of Annex IX and of renewable fuels of non-biological origin in the energy supplied to the transport sector is at least 1% in 2025 and 5.5% in 2030, of which a share of at least 1 percentage point is from renewable fuels of non-biological origin in 2030. Directive (EU) 2023/2413;+;2;The ETS2 will drive the growth of the sustainable biomethane market by creating a framework for the reduction of GHG emissions in the transport sector.
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030;TA4.5;Aviation fuel suppliers shall also ensure that Sustainable Aviation Fuel (SAF) made available to aircraft operators at each Union airport will be at least 2% from 2025, 6% from 2030, 20% from 2035, 34% from 2040, 42% from 2045 and 70% from 2050. Regulation (EU) 2023/2405;+;1;The achievement of net greenhouse gas removal in the LULUCF sector will create a favorable environment for the production and use of Sustainable Aviation Fuels, which can help achieve the EU's climate goals.
TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;TA4.1;Achieve an annual production of sustainable biomethane of 35 billion cubic meters by 2030;+;2;The reduction of methane emissions will create a favorable environment for the production of sustainable biomethane, which can be used as a low-carbon energy source.
TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;TA4.7;Each Member State shall set an obligation on fuel suppliers to ensure that: (B) the combined share of advanced biofuels and biogas produced from the feedstock listed in Part A of Annex IX and of renewable fuels of non-biological origin in the energy supplied to the transport sector is at least 1% in 2025 and 5.5% in 2030, of which a share of at least 1 percentage point is from renewable fuels of non-biological origin in 2030. Directive (EU) 2023/2413;+;2;The reduction of methane emissions will lead to an increased demand for low-carbon energy sources, such as advanced biofuels and renewable fuels of non-biological origin, which will drive the growth of the sustainable biomethane market.
