TA2.41;Member States are required to achieve cumulative end-use energy savings from 2021 to 2030, equivalent to new annual savings of at least 0.8% of final energy consumption in 2021-2023, at least 1.3% in 2024-2025, 1.5% in 2026-2027 and 1.9% in 2028-2030. Directive (EU) 2023/1791;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The implementation of TA2.41 will aid in the achievement of TA1.3 by reducing energy consumption and thus lowering GHG emissions.
TA2.21;Member States shall ensure that the total final energy consumption of all public bodies combined is reduced by at least 1.9% each year, when compared to 2021;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;1;The implementation of TA2.21 will contribute to the achievement of TA1.3 by reducing the energy consumption of public bodies.
TA2.22;Member States shall collectively ensure a reduction of energy consumption of at least 11.7% in 2030 compared to the projections of the 2020 EU Reference Scenario;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The implementation of TA2.22 will aid in the achievement of TA1.3 by reducing energy consumption and thus lowering GHG emissions.
TA2.23;Member States shall make efforts to collectively contribute to the indicative Union primary energy consumption target amounting to no more than 992.5 Mtoe in 2030;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;1;The implementation of TA2.23 will contribute to the achievement of TA1.3 by reducing primary energy consumption.
TA2.25;Reduce buildings’ final energy consumption by 14%;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;1;The implementation of TA2.25 will contribute to the achievement of TA1.3 by reducing buildings' energy consumption.
TA2.26;At least double the annual energy renovation rate of residential and non-residential buildings by 2030;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The implementation of TA2.26 will aid in the achievement of TA1.3 by increasing the energy renovation rate of buildings.
TA2.24;Each Member State shall ensure that at least 3% of the total floor area of heated and/or cooled buildings is renovated each year to be transformed into at least nearly zero-energy buildings;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;1;The implementation of TA2.24 will contribute to the achievement of TA1.3 by increasing the renovation of buildings.
TA2.33;The national measures will have to ensure that at least 55% of the decrease of the average primary energy use is achieved through the renovation of the worst-performing buildings;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The implementation of TA2.33 will aid in the achievement of TA1.3 by increasing the renovation of worst-performing buildings.
TA2.34;Member States shall ensure that the average primary energy use of the entire residential building stock decreases by at least 16% compared to 2020 by 2030;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;1;The implementation of TA2.34 will contribute to the achievement of TA1.3 by reducing the primary energy use of residential buildings.
TA2.28;Reduce buildings’ energy consumption for heating and cooling by 18% compared to 2015 levels by 2030;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;1;The implementation of TA2.28 will contribute to the achievement of TA1.3 by reducing buildings' energy consumption for heating and cooling.
