source_target;source_target_content;impact_target;impact_target_content;impact_type;impact_weight;justification
TA4.1;Achieve an annual production of sustainable biomethane of 35 billion cubic meters by 2030;TA7.9;Improve air quality to reduce the number of premature deaths caused by air pollution by 55% by 2030;+;2;The production of sustainable biomethane can lead to a reduction in air pollution, as it can replace fossil fuels and reduce emissions from industrial processes, thus contributing to improved air quality and a decrease in premature deaths caused by air pollution.
TA4.7;Each Member State shall set an obligation on fuel suppliers to ensure that: (B) the combined share of advanced biofuels and biogas produced from the feedstock listed in Part A of Annex IX and of renewable fuels of non-biological origin in the energy supplied to the transport sector is at least 1% in 2025 and 5.5% in 2030, of which a share of at least 1 percentage point is from renewable fuels of non-biological origin in 2030. Directive (EU) 2023/2413;TA7.13;Reduce by 25% the EU ecosystems where air pollution threatens biodiversity, by 2030;-;1;The implementation of TA4.7 may lead to an increase in the use of biofuels, which could result in increased air pollution from agricultural activities, potentially threatening biodiversity and ecosystems.
TA4.18;The share of biofuels and biogas produced from the feedstock listed in Part B of Annex IX in the energy content of fuels and electricity supplied to the transport sector shall, except in Cyprus and Malta, be limited to 1.7%. Directive (EU) 2023/2413;TA7.6;Improve soil quality by reducing chemical pesticides’ use by 50%, by 2030;+;1;Limiting the share of biofuels and biogas produced from the feedstock listed in Part B of Annex IX can help reduce the use of chemical pesticides, thus improving soil quality.
TA4.5;Aviation fuel suppliers shall also ensure that Sustainable Aviation Fuel (SAF) made available to aircraft operators at each Union airport will be at least 2% from 2025, 6% from 2030, 20% from 2035, 34% from 2040, 42% from 2045 and 70% from 2050. Regulation (EU) 2023/2405;TA7.8;Improve soil quality by reducing nutrient losses use by 50%, by 2030;-;1;The increased demand for SAF may lead to an increase in the use of fertilizers, potentially resulting in increased nutrient losses and soil degradation.
TA4.32;States shall ensure that, at all airports of the TEN-T core network and TEN-T comprehensive network, the provision of electricity supply to stationary aircraft is ensured by 31 December 2029, at all aircraft remote stands used for commercial air transport operations to embark or disembark passengers or to load or unload goods Regulation (EU) 2023/1804;TA7.10;Improve water quality by reducing waste, plastic litter at sea (by 50%);+;1;The provision of electricity supply to stationary aircraft can help reduce waste and emissions from aircraft operations, thus contributing to improved water quality.
TA4.33;Member States shall ensure that at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T core inland waterway ports by 1 January 2025, at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T comprehensive inland waterway ports by 1 January 2030. Regulation (EU) 2023/1804;TA7.11;Improve water quality by reducing microplastics released into the environment (by 30%);+;1;The deployment of shore-side electricity supply installations for inland waterway vessels can help reduce microplastics released into the environment, as it promotes the use of electric propulsion and reduces the need for fossil fuels.
TA4.34;Member States shall ensure that a minimum shore-side electricity supply for seagoing container ships and seagoing passenger ships is provided in TEN-T maritime ports. To that end, by 31 December 2029 TEN-T core and comprehensive maritime ports [...] are equipped to provide each year shore-side electricity supply for at least 90 % of the total number of port calls of seagoing container ships above 5.000 gross tonnes that are moored at the quayside at the maritime port concerned and 90% of the total number of port calls of seagoing ro-ro passenger ships above 5.000 gross tonnes and seagoing high-speed passenger craft above 5.000 gross tonnes that are moored at the quayside at the maritime port concerned Regulation (EU) 2023/1804;TA7.14;Reduce the share of people chronically disturbed by transport noise by 30%, by 2030;+;1;The provision of shore-side electricity supply for seagoing container ships and passenger ships can help reduce noise pollution from transport operations, thus reducing the number of people chronically disturbed by transport noise.
TA4.10;EU fisheries are encouraged to continue the positive trend, as observed for the period 2009-2019, towards reducing fuel intensity by reducing the fossil-fuel consumption per kg of landed product for at least an additional 15% for the period 2019-2030. Energy Transition of the EU Fisheries and Aquaculture sector;TA7.5;The revised Urban Wastewater Treatment Directive (UWWTD) extends the scope of the 1991 UWWTD;+;1;The reduction of fuel intensity in the EU fisheries sector can lead to a decrease in wastewater and pollution from fishing activities, thus contributing to improved water quality and reduced pollution.
TA4.25;Member States shall ensure that, at the end of each year, the following power output targets are met cumulatively: (a) for each light-duty battery electric vehicle registered in their territory, a total power output of at least 1.3 kW is provided through publicly accessible recharging stations, and (b) for each light-duty plug-in hybrid vehicle registered in their territory, a total power output of at least 0.80 kW is provided through publicly accessible recharging stations. Regulation (EU) 2023/1804;TA7.16;By means of an updated and harmonised list of pollutants affecting surface and groundwater, updated existing quality standards, new monitoring requirements, improved and more accessible data, and a more flexible framework for addressing pollutants of emerging concerns;+;1;The deployment of publicly accessible recharging stations can help reduce pollution from transport operations, thus contributing to improved water quality and reduced pollution.
TA4.26;Member States shall ensure that along the TEN-T core and comprehensive network, publicly accessible recharging pools dedicated to light-duty vehicles deployed in each direction of travel with a maximum distance of 60 km in-between them offering a power output of at least 600kW and including at least one recharging point with an individual power output of at least 150 kW. Regulation (EU) 2023/1804;TA7.4;The Industrial Emissions Directive (IED) aims at preventing or reducing emissions from large industrial installations and intensive farming into the environment.;+;1;The deployment of publicly accessible recharging pools can help reduce emissions from industrial processes and transport operations, thus contributing to improved air and water quality.
