TA5.11;Biodiversity conservation and restoration of natural resources: Protect the environment and restore natural resources. Preserve biodiversity and reduce biodiversity loss.;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The reduction of GHG emissions will have a positive impact on biodiversity conservation and restoration of natural resources, as it will reduce pollution and promote sustainable land use.
TA5.14;Circular economy: Scale-up and promote sustainable and socially responsible production methods and circular business models in food processing and retail.;TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005;+;1;The implementation of a circular economy in the food sector will be facilitated by the EU ETS, which will promote sustainable production methods and reduce waste.
TA5.17;Sectorial growth: Help farmers and fishers to strengthen their position in the supply chain and to capture a fair share of the added value of sustainable production;TA1.11;ESR. Increased national targets in line with an EU- wide reduction of 40% in the ESR sectors compared to 2005;+;1;The ESR will support the growth of the agricultural sector by promoting sustainable production methods and reducing emissions, which will in turn help farmers and fishers to strengthen their position in the supply chain.
TA5.18;Market power and business structure: Improve agricultural rules that strengthen the position of farmers (e.g. producers of products with geographical indications), their cooperatives and producer organisations in the food supply chain.;TA1.13;No debit rule. For the period from 2021 to 2025, each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals;+;1;The no debit rule will promote sustainable agricultural practices, which will in turn strengthen the position of farmers and their cooperatives in the food supply chain.
TA5.20;Trade: Foster the competitiveness of the EU supply sector.;TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;+;1;The ETS2 will promote the competitiveness of the EU supply sector by reducing emissions and promoting sustainable production methods.
TA5.35;Preparedness, shock resilience, adaptation and transformation: Strengthen the resilience of the EU food system. Build up resilience to climate change, possible future diseases and pandemics. Increasing the sustainability of food producers will ultimately increase their resilience.;TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;+;1;Reducing methane emissions will have a positive impact on the resilience of the EU food system, as it will reduce the environmental impact of agriculture and promote sustainable production methods.
TA5.21;Digitalisation and knowledge transfer. Ensure access to fast broadband to all farmers and all rural areas to achieve the objective of 100% access by 2025 (enabler for jobs, businesses, investments, improvement in quality of life in rural areas and enabler to mainstream precision farming and use of artificial intelligence;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The digitalisation of the agricultural sector will be facilitated by the reduction of GHG emissions, which will promote sustainable production methods and reduce the environmental impact of agriculture.
TA5.19;Price: Preserve the price affordability of food.;TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005;-;1;The EU ETS may have a negative impact on food prices, as it may increase production costs, which could affect the affordability of food.
TA5.29;Food availability: Improve availability of sustainable food. Ensure that the healthy option is always the easiest one. Ensure food supply.;TA1.11;ESR. Increased national targets in line with an EU- wide reduction of 40% in the ESR sectors compared to 2005;+;1;The ESR will promote sustainable food production methods, which will improve the availability of sustainable food and ensure that healthy options are easily accessible.
TA5.30;Food affordability: Ensure affordability to sufficient, nutritious and sustainable food;TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;-;1;The ETS2 may have a negative impact on food affordability, as it may increase production costs, which could affect the price of food.
TA5.32;Food security: Ensuring food security and access to quality, safe, sustainable, nutritious food for all.;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The reduction of GHG emissions will have a positive impact on food security, as it will reduce pollution and promote sustainable land use, ensuring access to quality and nutritious food.
TA5.12;Genetic biodiversity of food production systems: Secure and ensure access to a range of quality seeds for plant varieties in order to adapt to the pressures of climate change.;TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;+;1;Reducing methane emissions will promote the conservation of genetic biodiversity, as it will reduce the environmental impact of agriculture and promote sustainable production methods.
TA5.15;Consumption footprint: Reduce the environmental and climate footprint of the EU food system, operating within planetary boundaries. Reduce the EU‚Äôs contribution to global deforestation and forest degradation.;TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005;+;1;The EU ETS will promote sustainable production methods, which will reduce the consumption footprint of the EU food system and promote sustainable land use.
TA5.6;Aquatic living resources: Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture;TA1.11;ESR. Increased national targets in line with an EU- wide reduction of 40% in the ESR sectors compared to 2005;+;1;The ESR will support the growth of sustainable fishing and aquaculture, promoting sustainable production methods and reducing emissions.
TA5.9;Increase organic farming with the aim to achieve at least 25% of total farmland under organic farming by 2030 Target in Common with Biodiversity Strategy (see Thematic Area 6);TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The reduction of GHG emissions will promote organic farming, as it will reduce pollution and promote sustainable land use, ensuring the conservation of biodiversity.
TA5.2;Reduce overall EU sales of antimicrobials for farmed animals and in aquaculture by 50% by 2030.;TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005;-;1;The EU ETS may have a negative impact on the reduction of antimicrobials, as it may increase production costs, which could affect the use of antimicrobials.
TA5.25;Animal welfare: Promote better animal welfare to improve animal health and food quality.;TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;+;1;The ETS2 will promote sustainable production methods, which will improve animal welfare, as it will reduce emissions and promote sustainable land use.
TA5.27;Food messaging: Provide food information and labelling to empower consumers to make informed, healthy and sustainable food choices. Strengthen educational messages on the importance of healthy nutrition, sustainable food production and consumption, and reducing food waste;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The reduction of GHG emissions will promote sustainable food production methods, which will improve food quality and promote sustainable consumption patterns.
TA5.31;Properties of food: Increase reformulation of food products in line with guidelines for healthy and sustainable diets;TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005;+;1;The EU ETS will promote sustainable food production methods, which will improve the properties of food, as it will reduce emissions and promote sustainable land use.
TA5.33;Nutrition and healthy, sustainable diets: Move to healthier and more sustainable diets.;TA1.11;ESR. Increased national targets in line with an EU- wide reduction of 40% in the ESR sectors compared to 2005;+;1;The ESR will promote sustainable food production methods, which will improve nutrition and promote sustainable consumption patterns.
TA5.34;Health impact of diets: Reversing of the rise in overweight and obesity rates across the EU by 2030;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The reduction of GHG emissions will promote healthy and sustainable diets, as it will reduce pollution and promote sustainable land use, ensuring access to nutritious food.
TA5.7;Ensure that agriculture, fisheries and aquaculture, and the food value chain contribute to the target of reducing net greenhouse gas emissions to at least 55% below 1990 levels by 2030 and to the achievement of the objective for a climate-neutral Union in 2050.;TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005;+;1;The EU ETS will promote sustainable production methods, which will reduce emissions and promote sustainable land use, ensuring the contribution of the agricultural sector to climate neutrality.
TA5.3;Reduce nutrient losses by at least 50%, while ensuring that there is no deterioration in soil fertility.;TA1.11;ESR. Increased national targets in line with an EU- wide reduction of 40% in the ESR sectors compared to 2005;+;1;The ESR will support the reduction of nutrient losses, as it will promote sustainable production methods and reduce emissions, ensuring soil fertility.
TA5.8;Water: Preserving freshwater, boosting water reuse in agriculture.;TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;+;1;The ETS2 will promote water conservation, as it will reduce emissions and promote sustainable land use, ensuring the preservation of freshwater.
TA5.4;Reduce by 50% the use of more hazardous pesticides Target in Common with Biodiversity Strategy (see Thematic Area 6) and Zero Pollution Action Plan (see Thematic Area 7);TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005;-;1;The EU ETS may have a negative impact on the reduction of hazardous pesticides, as it may increase production costs, which could affect the use of pesticides.
TA5.5;Reduce by 50% the use and risk of chemical pesticides Target in Common with Biodiversity Strategy (see Thematic Area 6) and Zero Pollution Action Plan (see Thematic Area 7);TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;-;1;The ETS2 may have a negative impact on the reduction of chemical pesticides, as it may increase production costs, which could affect the use of pesticides.
TA5.10;Energy: Increase renewable energy in the agriculture and food sector. Adopt energy efficiency solutions in the agriculture and food sector, by reducing energy consumption.;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The reduction of GHG emissions will promote the use of renewable energy, as it will reduce pollution and promote sustainable land use, ensuring access to renewable energy.
TA5.16;Income distribution: Ensure fair income and salaries. Improve income of primary producers to ensure their sustainable livelihood.;TA1.11;ESR. Increased national targets in line with an EU- wide reduction of 40% in the ESR sectors compared to 2005;+;1;The ESR will support the improvement of income distribution, as it will promote sustainable production methods and reduce emissions, ensuring fair income for primary producers.
TA5.23;Employment and working conditions: Create new job opportunities. Improve working conditions, ensure occupation health and safety.;TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;+;1;The ETS2 will promote sustainable production methods, which will improve working conditions, as it will reduce emissions and promote sustainable land use.
TA5.24;Social protection and poverty: Ensure fair, inclusive and ethical value chains. Ensure workers‚ social protection and housing conditions, promote socially responsible production methods, Mitigate the socio- economic consequences impacting the food chain and ensure that the key principles enshrined in the European Pillar of Social Rights are respected, especially when it comes to precarious, seasonal and undeclared workers.;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The reduction of GHG emissions will promote fair and inclusive value chains, as it will reduce pollution and promote sustainable land use, ensuring access to quality and nutritious food.
TA5.22;Transport, accessibility and infrastructure: Create shorter supply chains will support reducing dependence on long-haul transportation.;TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005;+;1;The EU ETS will promote sustainable transport methods, which will reduce emissions and promote sustainable land use, ensuring access to sustainable food.
TA5.13;Reduce food waste. Prevent food loss and waste. Halve per capita food waste at retail and consumer levels* *See also Directive (EU) 2018/851 on waste with a target on food waste reduction of 30% by 2025;TA1.11;ESR. Increased national targets in line with an EU- wide reduction of 40% in the ESR sectors compared to 2005;+;1;The ESR will support the reduction of food waste, as it will promote sustainable production methods and reduce emissions, ensuring access to quality and nutritious food.
