source_target;source_target_content;impact_target;impact_target_content;impact_type;impact_weight;justification
TA5.11;Biodiversity conservation and restoration of natural resources: Protect the environment and restore natural resources. Preserve biodiversity and reduce biodiversity loss.;TA4.1;Achieve an annual production of sustainable biomethane of 35 billion cubic meters by 2030;+;2;The implementation of TA5.11 could reinforce the achievement of TA4.1 by promoting sustainable land use and reducing GHG emissions from agriculture, which in turn could increase the availability of sustainable biomethane.
TA5.14;Circular economy: Scale-up and promote sustainable and socially responsible production methods and circular business models in food processing and retail.;TA4.7;Each Member State shall set an obligation on fuel suppliers to ensure that: (B) the combined share of advanced biofuels and biogas produced from the feedstock listed in Part A of Annex IX and of renewable fuels of non-biological origin in the energy supplied to the transport sector is at least 1% in 2025 and 5.5% in 2030, of which a share of at least 1 percentage point is from renewable fuels of non-biological origin in 2030. Directive (EU) 2023/2413;+;1;The implementation of TA5.14 could enable the achievement of TA4.7 by promoting the use of renewable fuels and reducing waste in the transport sector.
TA5.17;Sectorial growth: Help farmers and fishers to strengthen their position in the supply chain and to capture a fair share of the added value of sustainable production;TA4.25;Member States shall ensure that, at the end of each year, the following power output targets are met cumulatively: (a) for each light-duty battery electric vehicle registered in their territory, a total power output of at least 1.3 kW is provided through publicly accessible recharging stations, and (b) for each light-duty plug-in hybrid vehicle registered in their territory, a total power output of at least 0.80 kW is provided through publicly accessible recharging stations. Regulation (EU) 2023/1804;+;1;The implementation of TA5.17 could support the achievement of TA4.25 by promoting the development of sustainable agriculture and reducing the environmental impact of farming practices.
TA5.18;Market power and business structure: Improve agricultural rules that strengthen the position of farmers (e.g. producers of products with geographical indications), their cooperatives and producer organisations in the food supply chain.;TA4.30;Member States shall ensure that, by 31 December 2030, at least one publicly accessible hydrogen refuelling station is deployed in each urban node. Regulation (EU) 2023/1804;-;1;The implementation of TA5.18 could constrain the achievement of TA4.30 by limiting the options for energy access and increasing the costs for farmers and food producers.
TA5.20;Trade: Foster the competitiveness of the EU supply sector.;TA4.5;Aviation fuel suppliers shall also ensure that Sustainable Aviation Fuel (SAF) made available to aircraft operators at each Union airport will be at least 2% from 2025, 6% from 2030, 20% from 2035, 34% from 2040, 42% from 2045 and 70% from 2050. Regulation (EU) 2023/2405;+;2;The implementation of TA5.20 could reinforce the achievement of TA4.5 by promoting the competitiveness of the EU supply sector and increasing the demand for sustainable aviation fuels.
TA5.35;Preparedness, shock resilience, adaptation and transformation: Strengthen the resilience of the EU food system. Build up resilience to climate change, possible future diseases and pandemics. Increasing the sustainability of food producers will ultimately increase their resilience.;TA4.9;Cut the emissions of transport sector by 90% by 2050 relative to 1990. Sustainable and Smart Mobility Strategy;+;3;The implementation of TA5.35 could enable the achievement of TA4.9 by promoting the development of resilient and sustainable food systems, reducing GHG emissions from agriculture and increasing the use of renewable energy in transport.
TA5.21;Digitalisation and knowledge transfer. Ensure access to fast broadband to all farmers and all rural areas to achieve the objective of 100% access by 2025 (enabler for jobs, businesses, investments, improvement in quality of life in rural areas and enabler to mainstream precision farming and use of artificial intelligence;TA4.15;The average CO2 emissions of the Union fleet of new heavy-duty motor vehicles [...], off-road vehicles and off-road special purpose vehicles shall be reduced by the following percentages compared to the average CO2 emissions of the reporting period of the year 2019: (a) 15% for vehicle sub-groups 4-UD, 4-RD, 4-LH, 5-RD, 5-LH, 9-RD, 9-LH, 10-RD and 10-LH for the reporting periods of the years 2025 to 2029, (b) 45% for all vehicle sub-groups other than vocational vehicles for the reporting periods of the years 2030 to 2034, (c) 65% for all vehicle sub-groups for the reporting periods of the years 2035 to 2039, (d) 90% for all vehicle sub-groups for the reporting periods of the year 2040 onwards Regulation (EU) 2024/1610;+;2;The implementation of TA5.21 could support the achievement of TA4.15 by promoting the use of digital technologies and data-driven solutions in agriculture, reducing GHG emissions and increasing energy efficiency.
TA5.19;Price: Preserve the price affordability of food.;TA4.28;By 31 December 2030, in each safe and secure parking area at least four publicly accessible recharging stations dedicated to heavy-duty electric vehicles with an individual power output of at least 100 kW are deployed. Regulation (EU) 2023/1804;-;1;The implementation of TA5.19 could constrain the achievement of TA4.28 by increasing the costs for heavy-duty electric vehicles and reducing their competitiveness.
TA5.29;Food availability: Improve availability of sustainable food. Ensure that the healthy option is always the easiest one. Ensure food supply.;TA4.29;By 31 December 2030, in each urban node publicly accessible recharging points dedicated to heavy-duty electric vehicles with an aggregated power output of at least 1 800 kW are deployed, provided by recharging stations with an individual power output of at least 150 kW. Regulation (EU) 2023/180;+;1;The implementation of TA5.29 could enable the achievement of TA4.29 by promoting the development of sustainable food systems and reducing food waste, increasing the availability of sustainable food and promoting the use of renewable energy in transport.
TA5.30;Food affordability: Ensure affordability to sufficient, nutritious and sustainable food;TA4.13;For [...] “urban buses” manufacturers shall comply with the 90% (in the reporting period 2030-2034) and 100% (as from 2035) minimum shares in their fleet of new heavy-duty vehicles Regulation (EU) 2024/1610;-;1;The implementation of TA5.30 could constrain the achievement of TA4.13 by limiting the options for urban bus manufacturers and increasing the costs for sustainable vehicles.
TA5.32;Food security: Ensuring food security and access to quality, safe, sustainable, nutritious food for all.;TA4.6;Of the SAF targets reported above, synthetic aviation fuels should represent a minimum share of 1.2% from 2030, 5% from 2035, 10% from 2034, 15% from 2045, and 35% from 2050. Regulation (EU) 2023/2405;+;2;The implementation of TA5.32 could reinforce the achievement of TA4.6 by promoting food security and sustainable food systems, reducing GHG emissions from agriculture and increasing the use of renewable energy in aviation.
TA5.12;Genetic biodiversity of food production systems: Secure and ensure access to a range of quality seeds for plant varieties in order to adapt to the pressures of climate change.;TA4.20;In the first phase, from 2020 up to 2024, the strategic objective is to install at least 6 GW of renewable hydrogen electrolysers in the EU. In the second phase, from 2025 up to 2030, the strategic objective is to install at least 40 GW of renewable hydrogen electrolysers. A Hydrogen Strategy for a climate-neutral Europe;+;3;The implementation of TA5.12 could enable the achievement of TA4.20 by promoting the development of sustainable agriculture and reducing GHG emissions from farming practices, increasing the availability of renewable energy and promoting the use of hydrogen as a clean energy source.
TA5.15;Consumption footprint: Reduce the environmental and climate footprint of the EU food system, operating within planetary boundaries. Reduce the EU’s contribution to global deforestation and forest degradation.;TA4.8;Member States with maritime ports shall endeavour to ensure that as of 2030 the share of renewable fuels of non-biological origin (RFNBOs) in the total amount of energy supplied to the maritime transport sector is at least 1.2%. Directive (EU) 2023/2413;+;2;The implementation of TA5.15 could support the achievement of TA4.8 by promoting sustainable food systems and reducing the environmental impact of the EU food system, increasing the use of renewable energy in maritime transport.
TA5.6;Aquatic living resources: Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture;TA4.33;Member States shall ensure that at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T core inland waterway ports by 1 January 2025, at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T comprehensive inland waterway ports by 1 January 2030. Regulation (EU) 2023/1804;+;1;The implementation of TA5.6 could enable the achievement of TA4.33 by promoting sustainable fishing and aquaculture practices, reducing GHG emissions from transport and increasing the use of renewable energy in inland waterway transport.
TA5.9;Increase organic farming with the aim to achieve at least 25% of total farmland under organic farming by 2030 Target in Common with Biodiversity Strategy (see Thematic Area 6);TA4.34;Member States shall ensure that a minimum shore-side electricity supply for seagoing container ships and seagoing passenger ships is provided in TEN-T maritime ports. To that end, by 31 December 2029 TEN-T core and comprehensive maritime ports [...] are equipped to provide each year shore-side electricity supply for at least 90 % of the total number of port calls of seagoing container ships above 5.000 gross tonnes that are moored at the quayside at the maritime port concerned and 90% of the total number of port calls of seagoing ro-ro passenger ships above 5.000 gross tonnes and seagoing high-speed passenger craft above 5.000 gross tonnes that are moored at the quayside at the maritime port concerned Regulation (EU) 2023/1804;+;2;The implementation of TA5.9 could support the achievement of TA4.34 by promoting sustainable agriculture and reducing GHG emissions from farming practices, increasing the use of renewable energy in maritime transport.
TA5.2;Reduce overall EU sales of antimicrobials for farmed animals and in aquaculture by 50% by 2030.;TA4.26;Member States shall ensure that along the TEN-T core and comprehensive network, publicly accessible recharging pools dedicated to light-duty vehicles deployed in each direction of travel with a maximum distance of 60 km in-between them offering a power output of at least 600kW and including at least one recharging point with an individual power output of at least 150 kW. Regulation (EU) 2023/1804;-;1;The implementation of TA5.2 could constrain the achievement of TA4.26 by limiting the options for light-duty vehicle manufacturers and increasing the costs for sustainable vehicles.
