source_target;source_target_content;impact_target;impact_target_content;impact_type;impact_weight;justification
TA7.9;Improve air quality to reduce the number of premature deaths caused by air pollution by 55% by 2030;TA6.52;The Ambient Air Quality Directives set EU air quality standards for 12 air pollutants;+;2;The implementation of TA7.9 will reinforce the EU air quality standards set by TA6.52, as reducing air pollution will contribute to achieving the air quality standards.
TA7.4;The Industrial Emissions Directive (IED) aims at preventing or reducing emissions from large industrial installations and intensive farming into the environment.;TA6.9;The risk and use of chemical pesticides is reduced by 50%, and the use of more hazardous pesticides is reduced by 50%;-;2;The implementation of TA7.4 may counteract the reduction of chemical pesticides use set by TA6.9, as the IED may allow for some emissions from industrial installations.
TA7.13;Reduce by 25% the EU ecosystems where air pollution threatens biodiversity, by 2030;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;+;1;The implementation of TA7.13 will enable the protection of at least 30% of the EU's land area set by TA6.1, as reducing air pollution will contribute to preserving biodiversity in protected areas.
TA7.6;Improve soil quality by reducing chemical pesticides’ use by 50%, by 2030;TA6.50;Reach no net land take;+;1;The implementation of TA7.6 will contribute to reaching the target of no net land take set by TA6.50, as reducing chemical pesticides use will help maintain soil health and prevent land degradation.
TA7.8;Improve soil quality by reducing nutrient losses use by 50%, by 2030;TA6.50;Reach no net land take;-;1;The implementation of TA7.8 may constrain the achievement of the no net land take target set by TA6.50, as reducing nutrient losses may lead to changes in land use, potentially resulting in land take.
TA7.15;Having all soils in healthy condition by 2050;TA6.30;Marine ecosystems. Member States shall put in place [...] measures [...] to jointly cover, as a Union target, throughout the areas and ecosystems [...] defined in Art. 2, by 2030, at least 20% of sea areas in need of restoration and, by 2050, all ecosystems in need of restoration.;+;2;The implementation of TA7.15 will reinforce the restoration of marine ecosystems set by TA6.30, as having all soils in healthy condition will contribute to improving the overall health of marine ecosystems.
TA7.5;The revised Urban Wastewater Treatment Directive (UWWTD) extends the scope of the 1991 UWWTD;TA6.41;Marine ecosystems. Member States shall put in place the restoration measures [...] to improve [...] areas of habitat types listed in Annex II which are not in good condition.;+;1;The implementation of TA7.5 will enable the restoration of marine ecosystems set by TA6.41, as the revised UWWTD will contribute to reducing pollution in marine ecosystems.
TA7.10;Improve water quality by reducing waste, plastic litter at sea (by 50%);TA6.15;13. The losses of nutrients from fertilisers are reduced by 50%, resulting in the reduction of the use of fertilisers by at least 20%;-;2;The implementation of TA7.10 may counteract the reduction of nutrient losses set by TA6.15, as reducing waste and plastic litter at sea may not directly address the issue of nutrient losses from fertilisers.
TA7.11;Improve water quality by reducing microplastics released into the environment (by 30%);TA6.14;12. There is a 50% reduction in the number of Red List species threatened by Invasive Alien Species (IAS);+;1;The implementation of TA7.11 will contribute to reducing the number of Red List species threatened by IAS set by TA6.14, as reducing microplastics will help protect species from pollution.
TA7.16;By means of an updated and harmonised list of pollutants affecting surface and groundwater, updated existing quality standards, new monitoring requirements, improved and more accessible data, and a more flexible framework for addressing pollutants of emerging concerns;TA6.3;2.a Strictly protect at least a third of the EU'S protected areas;+;2;The implementation of TA7.16 will reinforce the protection of at least a third of the EU's protected areas set by TA6.3, as the updated list of pollutants and quality standards will contribute to preserving biodiversity in protected areas.
TA7.14;Reduce the share of people chronically disturbed by transport noise by 30%, by 2030;TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;+;1;The implementation of TA7.14 will contribute to protecting primary and old-growth forests set by TA6.4, as reducing transport noise will help maintain the natural habitats of these forests.
TA7.6;Improve soil quality by reducing chemical pesticides’ use by 50%, by 2030;TA6.47;(trees) When identifying and implementing the restoration measures to meet the objectives and obligations set out in Articles 4, 6, 7, 8, 9 and 10, Member States shall aim to contribute to the commitment of planting at least three billion additional trees by 2030;-;2;The implementation of TA7.6 may counteract the planting of additional trees set by TA6.47, as reducing chemical pesticides use may lead to changes in land use, potentially resulting in deforestation for tree planting.
