source_target;source_target_content;impact_target;impact_target_content;impact_type;impact_weight;justification
TA4.1;Achieve an annual production of sustainable biomethane of 35 billion cubic meters by 2030;TA7.9;Improve air quality to reduce the number of premature deaths caused by air pollution by 55% by 2030;+;2;The improvement of air quality can be reinforced by the production of sustainable biomethane, which can be used as a low-carbon fuel, thus reducing emissions from transportation and industry.
TA4.5;Aviation fuel suppliers shall also ensure that Sustainable Aviation Fuel (SAF) made available to aircraft operators at each Union airport will be at least 2% from 2025, 6% from 2030, 20% from 2035, 34% from 2040, 42% from 2045 and 70% from 2050. Regulation (EU) 2023/2405;TA7.4;The Industrial Emissions Directive (IED) aims at preventing or reducing emissions from large industrial installations and intensive farming into the environment.;+;2;The IED can support the development of SAF by reducing emissions from industrial installations, thus creating a more favorable environment for the production and use of SAF.
TA4.18;The share of biofuels and biogas produced from the feedstock listed in Part B of Annex IX in the energy content of fuels and electricity supplied to the transport sector shall, except in Cyprus and Malta, be limited to 1.7%. Directive (EU) 2023/2413;TA7.13;Reduce by 25% the EU ecosystems where air pollution threatens biodiversity, by 2030;-;2;The reduction of air pollution threatening biodiversity can be constrained by the limited share of biofuels and biogas from Part B of Annex IX, which may lead to increased emissions from other sources.
TA4.25;Member States shall ensure that, at the end of each year, the following power output targets are met cumulatively: (a) for each light-duty battery electric vehicle registered in their territory, a total power output of at least 1.3 kW is provided through publicly accessible recharging stations, and (b) for each light-duty plug-in hybrid vehicle registered in their territory, a total power output of at least 0.80 kW is provided through publicly accessible recharging stations. Regulation (EU) 2023/1804;TA7.6;Improve soil quality by reducing chemical pesticides‚ use by 50%, by 2030;+;1;The reduction of chemical pesticides can be enabled by the increased use of electric vehicles, which can reduce the need for pesticides in agricultural practices.
TA4.30;Member States shall ensure that, by 31 December 2030, at least one publicly accessible hydrogen refuelling station is deployed in each urban node. Regulation (EU) 2023/1804;TA7.8;Improve soil quality by reducing nutrient losses use by 50%, by 2030;+;1;The reduction of nutrient losses can be supported by the development of hydrogen refuelling stations, which can promote the use of low-carbon fuels in transportation.
TA4.33;Member States shall ensure that at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T core inland waterway ports by 1 January 2025, at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T comprehensive inland waterway ports by 1 January 2030. Regulation (EU) 2023/1804;TA7.15;Having all soils in healthy condition by 2050;+;1;The goal of having all soils in healthy condition can be reinforced by the development of shore-side electricity supply for inland waterway vessels, which can reduce emissions from waterway transport.
TA4.10;EU fisheries are encouraged to continue the positive trend, as observed for the period 2009-2019, towards reducing fuel intensity by reducing the fossil-fuel consumption per kg of landed product for at least an additional 15% for the period 2019-2030. Energy Transition of the EU Fisheries and Aquaculture sector;TA7.5;The revised Urban Wastewater Treatment Directive (UWWTD) extends the scope of the 1991 UWWTD;+;1;The revised UWWTD can support the energy transition in the fisheries and aquaculture sector by reducing emissions from wastewater treatment, thus creating a more favorable environment for the reduction of fuel intensity.
TA4.6;Of the SAF targets reported above, synthetic aviation fuels should represent a minimum share of 1.2% from 2030, 5% from 2035, 10% from 2034, 15% from 2045, and 35% from 2050. Regulation (EU) 2023/2405;TA7.10;Improve water quality by reducing waste, plastic litter at sea (by 50%);-;2;The reduction of waste and plastic litter at sea can be constrained by the increased use of synthetic aviation fuels, which may lead to increased emissions from aviation.
TA4.20;In the first phase, from 2020 up to 2024, the strategic objective is to install at least 6 GW of renewable hydrogen electrolysers in the EU. In the second phase, from 2025 up to 2030, the strategic objective is to install at least 40 GW of renewable hydrogen electrolysers. A Hydrogen Strategy for a climate-neutral Europe;TA7.11;Improve water quality by reducing microplastics released into the environment (by 30%);+;2;The reduction of microplastics can be supported by the development of renewable hydrogen electrolysers, which can reduce emissions from industrial processes and promote the use of low-carbon fuels.
TA4.3;The yearly average GHG intensity of the energy used on board by a ship during a reporting period shall be reduced, compared to the reference value (91.16 gCO2e/MJ) by: 2% from 1 January 2025, 6% from 1 January 2030, 14.5% from 1 January 2035, 31% from 1 January 2040, 62% from 1 January 2045, 80% from 1 January 2050. Regulation (EU) 2023/1805;TA7.16;By means of an updated and harmonised list of pollutants affecting surface and groundwater, updated existing quality standards, new monitoring requirements, improved and more accessible data, and a more flexible framework for addressing pollutants of emerging concerns;+;2;The updated list of pollutants and quality standards can support the reduction of GHG emissions from shipping by promoting the use of low-carbon fuels and reducing emissions from industrial processes.
TA4.9;Cut the emissions of transport sector by 90% by 2050 relative to 1990. Sustainable and Smart Mobility Strategy;TA7.14;Reduce the share of people chronically disturbed by transport noise by 30%, by 2030;+;2;The reduction of transport noise can be supported by the development of low-carbon fuels and the reduction of emissions from the transport sector, thus creating a more favorable environment for the reduction of noise pollution.
TA4.55;Zero-emission in urban logistics The new EU Urban Mobility Framework;TA7.6;Improve soil quality by reducing chemical pesticides‚ use by 50%, by 2030;+;1;The reduction of chemical pesticides can be enabled by the development of zero-emission logistics, which can reduce the need for pesticides in agricultural practices and promote the use of low-carbon fuels in transportation.
