TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%;+;2;The implementation of TA1.3 will likely reinforce the achievement of TA2.9, as reducing GHG emissions will require an increase in renewable energy sources, which in turn will contribute to reaching the 42.5% target.;The EU’s climate ambition and renewable energy targets are closely linked, and achieving one will facilitate the achievement of the other.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA2.37;By 2030, the share of renewable energy in the electricity mix should double to 55-60%;+;2;The implementation of TA1.3 will likely reinforce the achievement of TA2.37, as reducing GHG emissions will require an increase in renewable energy sources, which in turn will contribute to reaching the 55-60% target.;The EU’s climate ambition and renewable energy targets in the electricity mix are closely linked, and achieving one will facilitate the achievement of the other.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA2.1;REPowerEU sets a target of 10 million tonnes of domestic renewable hydrogen production and 10 million tonnes of renewable hydrogen imports by 2030;+;2;The implementation of TA1.3 will likely reinforce the achievement of TA2.1, as reducing GHG emissions will require an increase in renewable energy sources, which in turn will contribute to reaching the renewable hydrogen production and import targets.;The EU’s climate ambition and renewable hydrogen targets are closely linked, and achieving one will facilitate the achievement of the other.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA2.40;Around 30% of EU primary steel production is expected to be decarbonised on the basis of renewable hydrogen;+;2;The implementation of TA1.3 will likely reinforce the achievement of TA2.40, as reducing GHG emissions will require an increase in renewable energy sources, which in turn will contribute to reaching the decarbonisation target in the steel sector.;The EU’s climate ambition and decarbonisation of the steel sector targets are closely linked, and achieving one will facilitate the achievement of the other.
TA1.8;Reach energy neutrality in the wastewater treatment sector by 2045;TA2.25;Reduce buildings’ final energy consumption by 14%;+;1;The implementation of TA1.8 will likely enable the achievement of TA2.25, as energy neutrality in the wastewater treatment sector will require energy-efficient buildings and renewable energy sources, which in turn will contribute to reducing final energy consumption in buildings.;The EU’s energy neutrality and energy efficiency targets are closely linked, and achieving one will facilitate the achievement of the other.
TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005;TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%;+;2;The implementation of TA1.9 will likely reinforce the achievement of TA2.9, as reducing emissions from the ETS sector will require an increase in renewable energy sources, which in turn will contribute to reaching the 42.5% target.;The EU’s ETS and renewable energy targets are closely linked, and achieving one will facilitate the achievement of the other.
TA1.11;ESR. Increased national targets in line with an EU- wide reduction of 40% in the ESR sectors compared to 2005;TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%;+;2;The implementation of TA1.11 will likely reinforce the achievement of TA2.9, as reducing emissions from the ESR sector will require an increase in renewable energy sources, which in turn will contribute to reaching the 42.5% target.;The EU’s ESR and renewable energy targets are closely linked, and achieving one will facilitate the achievement of the other.
TA1.13;No debit rule. For the period from 2021 to 2025, each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals;TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%;+;1;The implementation of TA1.13 will likely enable the achievement of TA2.9, as the no-debit rule will require an increase in renewable energy sources, which in turn will contribute to reaching the 42.5% target.;The EU’s no-debit rule and renewable energy targets are closely linked, and achieving one will facilitate the achievement of the other.
TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, by 2030;TA2.25;Reduce buildings’ final energy consumption by 14%;+;1;The implementation of TA1.15 will likely enable the achievement of TA2.25, as reducing greenhouse gas emissions from buildings will require energy-efficient buildings, which in turn will contribute to reducing final energy consumption.;The EU’s greenhouse gas emissions reduction and energy efficiency targets in buildings are closely linked, and achieving one will facilitate the achievement of the other.
TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%;+;2;The implementation of TA1.10 will likely reinforce the achievement of TA2.9, as reducing emissions from the ETS2 sector will require an increase in renewable energy sources, which in turn will contribute to reaching the 42.5% target.;The EU’s ETS2 and renewable energy targets are closely linked, and achieving one will facilitate the achievement of the other.
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030;TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%;+;1;The implementation of TA1.12 will likely enable the achievement of TA2.9, as the LULUCF sector will require an increase in renewable energy sources, which in turn will contribute to reaching the 42.5% target.;The EU’s LULUCF and renewable energy targets are closely linked, and achieving one will facilitate the achievement of the other.
