source_target;source_target_content;impact_target;impact_target_content;impact_type;impact_weight;justification
TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;TA3.3;Double EU’s circular material use rate in the coming decade;+;2;The implementation of TA6.1 could reinforce the achievement of TA3.3 by ensuring that a significant portion of the EU's land area is protected, which could lead to the preservation of natural resources and the promotion of sustainable land use practices, ultimately contributing to the increase of the circular material use rate.
TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;TA3.8;By 2030, Union extraction capacity should be able of extracting the ores, minerals or concentrates needed to produce at least 10% of the Union’s annual consumption of strategic raw materials;+;1;The implementation of TA6.1 could enable the extraction of strategic raw materials by protecting areas with potential mineral deposits, thus supporting the increase of the Union's extraction capacity.
TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;TA3.9;By 2030, Union processing capacity, including for all intermediate processing steps, should be able of producing at least 40% of the Union’s annual consumption of strategic raw materials;+;1;The implementation of TA6.1 could support the development of processing capacities for strategic raw materials by protecting areas with potential for processing and recycling, thus contributing to the increase of the Union's processing capacity.
TA6.14;12. There is a 50% reduction in the number of Red List species threatened by Invasive Alien Species (IAS);TA3.20;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025- 75% by average weight of lead-acid batteries- 80% by average weight of nickel-cadmium batteries - 50% by average weight of other waste batteries;+;2;The implementation of TA6.14 could reinforce the achievement of TA3.20 by reducing the number of threatened species, which could lead to the preservation of biodiversity and the promotion of sustainable waste management practices, ultimately contributing to the increase of recycling efficiency.
TA6.14;12. There is a 50% reduction in the number of Red List species threatened by Invasive Alien Species (IAS);TA3.21;Recycling shall achieve at least the following targets for recycling efficiency:- No later than 31 December 2025, 65% by average weight of lithium-based batteries- No later than 31 December 2030, 70% by average weight of lithium-based batteries.;+;2;The implementation of TA6.14 could reinforce the achievement of TA3.21 by reducing the number of threatened species, which could lead to the preservation of biodiversity and the promotion of sustainable waste management practices, ultimately contributing to the increase of recycling efficiency of lithium-based batteries.
TA6.3;2.a Strictly protect at least a third of the EU'S protected areas;TA3.30;Each Member State shall reduce the packaging waste generated per capita, as compared to the packaging waste generated per capita in 2018 as reported to the Commission in accordance with Decision 2005/270/EC by 5% by 2030, 10% by 2035, 15% by 2040 Proposal on packaging and packaging waste;+;1;The implementation of TA6.3 could support the reduction of packaging waste by protecting areas with potential for sustainable packaging practices, thus contributing to the decrease of packaging waste generation.
TA6.8;5. The decline of pollinators is reversed;TA3.33;Member States shall take the necessary measures to attain a recycling target of 25% of wood by weight of wood contained in packaging waste generated by 31 December 2025 and of 30% by 31 December 2030. Proposal on packaging and packaging waste;+;1;The implementation of TA6.8 could support the increase of wood recycling by promoting sustainable forestry practices, which could lead to an increase in wood availability for recycling, thus contributing to the attainment of the recycling target.
TA6.33;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures for the terrestrial, coastal and freshwater habitats of the species listed in Annexes II, IV and V;TA3.1;Halve the amount of residual (non-recycled) municipal waste by 2030;+;2;The implementation of TA6.33 could reinforce the achievement of TA3.1 by restoring ecosystems and promoting sustainable waste management practices, ultimately contributing to the reduction of residual municipal waste.
TA6.40;(pollinator) Member States shall, by putting in place in a timely manner appropriate and effective measures, improve pollinator diversity and reverse the decline of pollinator populations;TA3.52;At least 20% of the carbon used in the chemical and plastic products should be from sustainable non-fossil sources by 2030, in full consideration of the EU's biodiversity and circular economy objectives and of the upcoming policy framework for bio-based, biodegradable and compostable plastics. Communication on Sustainable Carbon Cycles;+;1;The implementation of TA6.40 could support the increase of sustainable non-fossil carbon sources by promoting pollinator-friendly practices, which could lead to an increase in the production of bio-based products, thus contributing to the attainment of the target.
TA6.2;1.b Legally protect a minimum of 30% of the EU's sea area;TA3.8;By 2030, Union extraction capacity should be able of extracting the ores, minerals or concentrates needed to produce at least 10% of the Union’s annual consumption of strategic raw materials;+;1;The implementation of TA6.2 could enable the extraction of strategic raw materials by protecting marine areas with potential mineral deposits, thus supporting the increase of the Union's extraction capacity.
