TA7.9;Improve air quality to reduce the number of premature deaths caused by air pollution by 55% by 2030;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The reduction of GHG emissions will lead to a decrease in air pollution, which in turn will improve air quality and reduce premature deaths.
TA7.4;The Industrial Emissions Directive (IED) aims at preventing or reducing emissions from large industrial installations and intensive farming into the environment.;TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005;+;1;The IED and EU ETS are complementary policies that aim to reduce emissions from industrial sources, with the IED focusing on prevention and reduction of emissions and the EU ETS providing a market-based mechanism to reduce emissions.
TA7.13;Reduce by 25% the EU ecosystems where air pollution threatens biodiversity, by 2030;TA1.11;ESR. Increased national targets in line with an EU- wide reduction of 40% in the ESR sectors compared to 2005;+;1;The reduction of air pollution will have a positive impact on biodiversity, and the ESR will contribute to this reduction by setting national targets for emission reductions.
TA7.6;Improve soil quality by reducing chemical pesticides‚ use by 50%, by 2030;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The reduction of GHG emissions will lead to a decrease in the use of chemical pesticides, which will improve soil quality.
TA7.8;Improve soil quality by reducing nutrient losses use by 50%, by 2030;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The reduction of GHG emissions will lead to a decrease in nutrient losses, which will improve soil quality.
TA7.15;Having all soils in healthy condition by 2050;TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030;+;3;The achievement of net greenhouse gas removal in the LULUCF sector will contribute to having all soils in healthy condition by 2050.
TA7.5;The revised Urban Wastewater Treatment Directive (UWWTD) extends the scope of the 1991 UWWTD;TA1.8;Reach energy neutrality in the wastewater treatment sector by 2045;+;1;The revised UWWTD will contribute to reaching energy neutrality in the wastewater treatment sector by 2045.
TA7.10;Improve water quality by reducing waste, plastic litter at sea (by 50%);TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;1;The reduction of GHG emissions will lead to a decrease in waste and plastic litter, which will improve water quality.
TA7.11;Improve water quality by reducing microplastics released into the environment (by 30%);TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;1;The reduction of GHG emissions will lead to a decrease in microplastics released into the environment, which will improve water quality.
TA7.16;By means of an updated and harmonised list of pollutants affecting surface and groundwater, updated existing quality standards, new monitoring requirements, improved and more accessible data, and a more flexible framework for addressing pollutants of emerging concerns;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;1;The updated list of pollutants and quality standards will contribute to reducing GHG emissions and improving water quality.
TA7.14;Reduce the share of people chronically disturbed by transport noise by 30%, by 2030;TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;+;1;The reduction of emissions from the transport sector will contribute to reducing transport noise and improving air quality.
