TA2.41;TA2.41;TA6.1;TA6.1;2;2;The implementation of TA2.41, which aims to achieve cumulative end-use energy savings, may reinforce TA6.1 by promoting the protection of at least 30% of the EU's land area, as the reduction of energy consumption can lead to lower land-use pressures and help preserve natural habitats.
TA2.21;TA2.21;TA6.1;TA6.1;1;1;The implementation of TA2.21, which aims to reduce the total final energy consumption of public bodies, may enable TA6.1 by reducing energy consumption and promoting sustainable land use, thus contributing to the protection of at least 30% of the EU's land area.
TA2.22;TA2.22;TA6.1;TA6.1;1;1;The implementation of TA2.22, which aims to reduce energy consumption by at least 11.7% compared to the 2020 EU Reference Scenario, may enable TA6.1 by reducing the pressure on land use and promoting sustainable land management, thus contributing to the protection of at least 30% of the EU's land area.
TA2.23;TA2.23;TA6.1;TA6.1;1;1;The implementation of TA2.23, which aims to limit primary energy consumption to 992.5 Mtoe by 2030, may enable TA6.1 by promoting sustainable land use and reducing land-use pressures, thus contributing to the protection of at least 30% of the EU's land area.
TA2.25;TA2.25;TA6.1;TA6.1;1;1;The implementation of TA2.25, which aims to reduce buildings' final energy consumption by 14%, may enable TA6.1 by promoting sustainable building design and reducing energy consumption, thus contributing to the protection of at least 30% of the EU's land area.
TA2.26;TA2.26;TA6.1;TA6.1;1;1;The implementation of TA2.26, which aims to double the annual energy renovation rate of buildings, may enable TA6.1 by promoting sustainable building design and reducing energy consumption, thus contributing to the protection of at least 30% of the EU's land area.
TA2.24;TA2.24;TA6.1;TA6.1;1;1;The implementation of TA2.24, which aims to renovate at least 3% of the total floor area of heated and/or cooled buildings each year, may enable TA6.1 by promoting sustainable building design and reducing energy consumption, thus contributing to the protection of at least 30% of the EU's land area.
TA2.33;TA2.33;TA6.1;TA6.1;1;1;The implementation of TA2.33, which aims to ensure that at least 55% of the decrease in average primary energy use is achieved through the renovation of worst-performing buildings, may enable TA6.1 by promoting sustainable building design and reducing energy consumption, thus contributing to the protection of at least 30% of the EU's land area.
TA2.34;TA2.34;TA6.1;TA6.1;1;1;The implementation of TA2.34, which aims to reduce the average primary energy use of the entire residential building stock by at least 16% compared to 2020, may enable TA6.1 by promoting sustainable building design and reducing energy consumption, thus contributing to the protection of at least 30% of the EU's land area.
TA2.28;TA2.28;TA6.1;TA6.1;1;1;The implementation of TA2.28, which aims to reduce buildings' energy consumption for heating and cooling by 18% compared to 2015 levels, may enable TA6.1 by promoting sustainable building design and reducing energy consumption, thus contributing to the protection of at least 30% of the EU's land area.
TA2.29;TA2.29;TA6.1;TA6.1;1;1;The implementation of TA2.29, which aims to renovate 16% of worst-performing non-residential buildings by 2030, may enable TA6.1 by promoting sustainable building design and reducing energy consumption, thus contributing to the protection of at least 30% of the EU's land area.
TA2.4;TA2.4;TA6.1;TA6.1;1;1;The implementation of TA2.4, which aims to double the current deployment rate of individual heat pumps, may enable TA6.1 by promoting sustainable heating solutions and reducing energy consumption, thus contributing to the protection of at least 30% of the EU's land area.
TA2.17;TA2.17;TA6.1;TA6.1;1;1;The implementation of TA2.17, which aims to achieve a target of 15% electricity interconnection by 2030, may enable TA6.1 by promoting sustainable energy solutions and reducing energy consumption, thus contributing to the protection of at least 30% of the EU's land area.
TA2.10;TA2.10;TA6.1;TA6.1;1;1;The implementation of TA2.10, which aims to set an indicative target for innovative renewable energy technology, may enable TA6.1 by promoting sustainable energy solutions and reducing energy consumption, thus contributing to the protection of at least 30% of the EU's land area.
TA2.11;TA2.11;TA6.1;TA6.1;1;1;The implementation of TA2.11, which aims to establish a framework for cooperation on joint projects for renewable energy production, may enable TA6.1 by promoting sustainable energy solutions and reducing energy consumption, thus contributing to the protection of at least 30% of the EU's land area.
TA2.13;TA2.13;TA6.1;TA6.1;1;1;The implementation of TA2.13, which aims to increase the share of renewable energy in the transport sector, may enable TA6.1 by promoting sustainable transport solutions and reducing energy consumption, thus contributing to the protection of at least 30% of the EU's land area.
TA2.15;TA2.15;TA6.1;TA6.1;1;1;The implementation of TA2.15, which aims to achieve 18% of the total increase in the share of energy from renewable sources, may enable TA6.1 by promoting sustainable energy solutions and reducing energy consumption, thus contributing to the protection of at least 30% of the EU's land area.
TA2.16;TA2.16;TA6.1;TA6.1;1;1;The implementation of TA2.16, which aims to increase the share of renewable energy in the industry sector, may enable TA6.1 by promoting sustainable energy solutions and reducing energy consumption, thus contributing to the protection of at least 30% of the EU's land area.
TA2.9;TA2.9;TA6.1;TA6.1;1;1;The implementation of TA2.9, which aims to increase the share of renewable energy in the EU's gross final energy consumption, may enable TA6.1 by promoting sustainable energy solutions and reducing energy consumption, thus contributing to the protection of at least 30% of the EU's land area.
TA2.2;TA2.2;TA6.1;TA6.1;1;1;The implementation of TA2.2, which aims to set up renewables-based energy communities, may enable TA6.1 by promoting sustainable energy solutions and reducing energy consumption, thus contributing to the protection of at least 30% of the EU's land area.
TA2.37;TA2.37;TA6.1;TA6.1;1;1;The implementation of TA2.37, which aims to double the share of renewable energy in the electricity mix, may enable TA6.1 by promoting sustainable energy solutions and reducing energy consumption, thus contributing to the protection of at least 30% of the EU's land area.
TA2.14;TA2.14;TA6.1;TA6.1;1;1;The implementation of TA2.14, which aims to increase the share of renewable energy in the heating and cooling sector, may enable TA6.1 by promoting sustainable energy solutions and reducing energy consumption, thus contributing to the protection of at least 30% of the EU's land area.
TA2.18;TA2.18;TA6.1;TA6.1;1;1;The implementation of TA2.18, which aims to achieve an indicative target of at least 49% of energy from renewable sources in the building sector, may enable TA6.1 by promoting sustainable energy solutions and reducing energy consumption, thus contributing to the protection of at least 30% of the EU's land area.
TA2.6;TA2.6;TA6.1;TA6.1;1;1;The implementation of TA2.6, which aims to triple energy demand covered by solar heat and geothermal, may enable TA6.1 by promoting sustainable energy solutions and reducing energy consumption, thus contributing to the protection of at least 30% of the EU's land area.
TA2.3;TA2.3;TA6.1;TA6.1;1;1;The implementation of TA2.3, which aims to ensure that at least 42% of hydrogen used in industry comes from renewable fuels of non-biological origin, may enable TA6.1 by promoting sustainable energy solutions and reducing energy consumption, thus contributing to the protection of at least 30% of the EU's land area.
