source_target;source_target_content;impact_target;impact_target_content;impact_type;impact_weight;justification
TA3.3;Double EU’s circular material use rate in the coming decade;TA7.9;Improve air quality to reduce the number of premature deaths caused by air pollution by 55% by 2030;+;2;The improvement of air quality can be achieved through the reduction of emissions from industrial activities, which can be facilitated by the increase in circular material use rate, as it promotes the use of recycled materials and reduces waste generation.
TA3.13;By 2030, Union recycling capacity, including for all intermediate recycling steps, should be able of producing at least 25% of the Union’s annual consumption of strategic raw materials;TA7.4;The Industrial Emissions Directive (IED) aims at preventing or reducing emissions from large industrial installations and intensive farming into the environment.;+;2;The IED can contribute to the increase in recycling capacity by reducing emissions from industrial activities, which can lead to an increase in the availability of recyclable materials, thus supporting the achievement of the recycling target.
TA3.15;Producers of starting, lighting and ignition batteries, industrial batteries and electric vehicle batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall take back, free of charge and without an obligation on the end-user to buy a new battery;TA7.13;Reduce by 25% the EU ecosystems where air pollution threatens biodiversity, by 2030;+;1;The reduction of air pollution threatening biodiversity can be facilitated by the implementation of producer responsibility organisations, which can lead to an increase in the recycling of batteries and a reduction in the amount of waste generated.
TA3.20;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025- 75% by average weight of lead-acid batteries- 80% by average weight of nickel-cadmium batteries - 50% by average weight of other waste batteries;TA7.6;Improve soil quality by reducing chemical pesticides’ use by 50%, by 2030;+;1;The reduction of chemical pesticides’ use can lead to an increase in the use of recycled materials in the production of new pesticides, thus supporting the achievement of the recycling targets.
TA3.21;Recycling shall achieve at least the following targets for recycling efficiency:- No later than 31 December 2025, 65% by average weight of lithium-based batteries- No later than 31 December 2030, 70% by average weight of lithium-based batteries.;TA7.8;Improve soil quality by reducing nutrient losses use by 50%, by 2030;+;1;The reduction of nutrient losses can lead to an increase in the use of recycled materials in the production of new fertilizers, thus supporting the achievement of the recycling targets.
TA3.30;Each Member State shall reduce the packaging waste generated per capita, as compared to the packaging waste generated per capita in 2018 as reported to the Commission in accordance with Decision 2005/270/EC by 5% by 2030, 10% by 2035, 15% by 2040;TA7.15;Having all soils in healthy condition by 2050;+;1;The achievement of healthy soil conditions can be facilitated by the reduction of packaging waste, which can lead to a reduction in the amount of waste generated and an increase in the use of recycled materials.
TA3.31;Member States shall take the necessary measures to attain the recycling targets of 65% by weight of all packaging waste generated by 31 December 2025, and of 70% by weight of all packaging waste generated by 31 December 2030.;TA7.5;The revised Urban Wastewater Treatment Directive (UWWTD) extends the scope of the 1991 UWWTD;+;2;The revised UWWTD can contribute to the increase in recycling rates by improving wastewater treatment and reducing emissions from urban waste water, thus supporting the achievement of the recycling targets.
TA3.38;Each vehicle belonging to a vehicle type that is type-approved as of [the first day of the month following 72 months after the date of entry into force of this Regulation] under Regulation (EU) 2018/858 shall be constructed so that it is: (a) reusable/recyclable to a minimum of 85% by mass, (b) reusable/recoverable to a minimum of 95 % by mass.;TA7.10;Improve water quality by reducing waste, plastic litter at sea (by 50%);+;2;The improvement of water quality can be achieved through the reduction of waste and plastic litter, which can be facilitated by the implementation of circular economy measures in the automotive sector, such as the design of reusable and recyclable vehicles.
TA3.48;The plastic contained in each vehicle type that is type-approved as of [the first day of the month following 72 months after the date of entry into force of the Regulation] under Regulation (EU) 2018/858 shall contain a minimum of 25 % of plastic recycled by weight from post-consumer plastic waste;TA7.11;Improve water quality by reducing microplastics released into the environment (by 30%);+;2;The reduction of microplastics can be facilitated by the implementation of recycled plastic content in vehicles, which can lead to a reduction in the amount of microplastics released into the environment.
TA3.49;At least 25% of the target set out in the first subparagraph shall be achieved by including plastics recycled from end-of-life vehicles in the vehicle type concerned.;TA7.16;By means of an updated and harmonised list of pollutants affecting surface and groundwater, updated existing quality standards, new monitoring requirements, improved and more accessible data, and a more flexible framework for addressing pollutants of emerging concerns;+;1;The implementation of a harmonised list of pollutants and quality standards can lead to an increase in the recycling of plastics from end-of-life vehicles, thus supporting the achievement of the recycling targets.
TA3.50;Member States shall ensure that the following targets are met by the waste management operators: (a) the reuse and recovery, as calculated together, shall be a minimum of 95 %, by average weight per vehicle, excluding batteries, and year, (b) the reuse and recycling, as calculated together, shall be a minimum of 85 %, by average weight per vehicle, excluding batteries, and year.;TA7.14;Reduce the share of people chronically disturbed by transport noise by 30%, by 2030;+;2;The reduction of transport noise can be facilitated by the implementation of waste management measures, such as the reuse and recycling of vehicles, which can lead to a reduction in the amount of waste generated and an increase in the use of recycled materials.
