TA5.11;Biodiversity conservation and restoration of natural resources: Protect the environment and restore natural resources. Preserve biodiversity and reduce biodiversity loss.;TA7.9;Improve air quality to reduce the number of premature deaths caused by air pollution by 55% by 2030;+;2;The implementation of TA5.11 will likely reinforce TA7.9, as biodiversity conservation and restoration can contribute to improved air quality by reducing pollution from industrial activities and promoting sustainable land use.;
TA5.14;Circular economy: Scale-up and promote sustainable and socially responsible production methods and circular business models in food processing and retail.;TA7.4;The Industrial Emissions Directive (IED) aims at preventing or reducing emissions from large industrial installations and intensive farming into the environment.;+;1;The implementation of TA5.14 may enable TA7.4, as circular economy practices can reduce waste and emissions from industrial activities, supporting the IED's objectives.;
TA5.17;Sectorial growth: Help farmers and fishers to strengthen their position in the supply chain and to capture a fair share of the added value of sustainable production;TA7.13;Reduce by 25% the EU ecosystems where air pollution threatens biodiversity, by 2030;+;1;The implementation of TA5.17 may aid TA7.13, as sectorial growth can lead to more sustainable production practices, reducing air pollution and protecting biodiversity.;
TA5.18;Market power and business structure: Improve agricultural rules that strengthen the position of farmers (e.g. producers of products with geographical indications), their cooperatives and producer organisations in the food supply chain.;TA7.6;Improve soil quality by reducing chemical pesticides’ use by 50%, by 2030;+;1;The implementation of TA5.18 may support TA7.6, as improved market power and business structures can facilitate the adoption of sustainable agricultural practices, reducing chemical pesticide use.;
TA5.20;Trade: Foster the competitiveness of the EU supply sector.;TA7.10;Improve water quality by reducing waste, plastic litter at sea (by 50%);+;1;The implementation of TA5.20 may aid TA7.10, as a competitive EU supply sector can promote sustainable trade practices, reducing waste and plastic litter.;
TA5.35;Preparedness, shock resilience, adaptation and transformation: Strengthen the resilience of the EU food system. Build up resilience to climate change, possible future diseases and pandemics. Increasing the sustainability of food producers will ultimately increase their resilience.;TA7.5;The revised Urban Wastewater Treatment Directive (UWWTD) extends the scope of the 1991 UWWTD;+;1;The implementation of TA5.35 may enable TA7.5, as a resilient food system can support the effective implementation of the UWWTD, reducing pollution and improving water quality.;
TA5.21;Digitalisation and knowledge transfer. Ensure access to fast broadband to all farmers and all rural areas to achieve the objective of 100% access by 2025 (enabler for jobs, businesses, investments, improvement in quality of life in rural areas and enabler to mainstream precision farming and use of artificial intelligence;TA7.16;By means of an updated and harmonised list of pollutants affecting surface and groundwater, updated existing quality standards, new monitoring requirements, improved and more accessible data, and a more flexible framework for addressing pollutants of emerging concerns;+;1;The implementation of TA5.21 may support TA7.16, as digitalisation and knowledge transfer can facilitate the development of innovative solutions for water pollution monitoring and reduction.;
TA5.19;Price: Preserve the price affordability of food.;TA7.11;Improve water quality by reducing microplastics released into the environment (by 30%);+;1;The implementation of TA5.19 may aid TA7.11, as affordable food prices can support sustainable consumption patterns, reducing microplastic use and pollution.;
TA5.29;Food availability: Improve availability of sustainable food. Ensure that the healthy option is always the easiest one. Ensure food supply.;TA7.14;Reduce the share of people chronically disturbed by transport noise by 30%, by 2030;+;1;The implementation of TA5.29 may enable TA7.14, as improved food availability and sustainable food systems can reduce the need for transportation, lowering noise pollution.;
TA5.30;Food affordability: Ensure affordability to sufficient, nutritious and sustainable food;TA7.8;Improve soil quality by reducing nutrient losses use by 50%, by 2030;+;1;The implementation of TA5.30 may support TA7.8, as affordable and sustainable food can promote sustainable agricultural practices, reducing nutrient losses and improving soil quality.;
TA5.32;Food security: Ensuring food security and access to quality, safe, sustainable, nutritious food for all.;TA7.15;Having all soils in healthy condition by 2050;+;2;The implementation of TA5.32 may reinforce TA7.15, as food security and sustainable food systems can contribute to maintaining healthy soils, supporting the long-term objective of having all soils in healthy condition.;
TA5.12;Genetic biodiversity of food production systems: Secure and ensure access to a range of quality seeds for plant varieties in order to adapt to the pressures of climate change.;TA7.4;The Industrial Emissions Directive (IED) aims at preventing or reducing emissions from large industrial installations and intensive farming into the environment.;+;1;The implementation of TA5.12 may enable TA7.4, as genetic biodiversity can support the development of climate-resilient crop and animal varieties, reducing emissions from industrial activities.;
TA5.15;Consumption footprint: Reduce the environmental and climate footprint of the EU food system, operating within planetary boundaries. Reduce the EU’s contribution to global deforestation and forest degradation.;TA7.9;Improve air quality to reduce the number of premature deaths caused by air pollution by 55% by 2030;+;2;The implementation of TA5.15 may reinforce TA7.9, as reducing the consumption footprint can lead to improved air quality, supporting the objective of reducing premature deaths caused by air pollution.;
TA5.6;Aquatic living resources: Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture;TA7.13;Reduce by 25% the EU ecosystems where air pollution threatens biodiversity, by 2030;+;1;The implementation of TA5.6 may aid TA7.13, as sustainable fishing and aquaculture practices can reduce air pollution, protecting biodiversity.;
TA5.9;Increase organic farming with the aim to achieve at least 25% of total farmland under organic farming by 2030 Target in Common with Biodiversity Strategy (see Thematic Area 6);TA7.6;Improve soil quality by reducing chemical pesticides’ use by 50%, by 2030;+;2;The implementation of TA5.9 may reinforce TA7.6, as organic farming can reduce chemical pesticide use, improving soil quality.;
TA5.2;Reduce overall EU sales of antimicrobials for farmed animals and in aquaculture by 50% by 2030.;TA7.10;Improve water quality by reducing waste, plastic litter at sea (by 50%);+;1;The implementation of TA5.2 may support TA7.10, as reducing antimicrobial use can lead to improved water quality, reducing waste and plastic litter.;
TA5.25;Animal welfare: Promote better animal welfare to improve animal health and food quality.;TA7.5;The revised Urban Wastewater Treatment Directive (UWWTD) extends the scope of the 1991 UWWTD;+;1;The implementation of TA5.25 may enable TA7.5, as improved animal welfare can support the effective implementation of the UWWTD, reducing pollution and improving water quality.;
TA5.27;Food messaging: Provide food information and labelling to empower consumers to make informed, healthy and sustainable food choices. Strengthen educational messages on the importance of healthy nutrition, sustainable food production and consumption, and reducing food waste;TA7.16;By means of an updated and harmonised list of pollutants affecting surface and groundwater, updated existing quality standards, new monitoring requirements, improved and more accessible data, and a more flexible framework for addressing pollutants of emerging concerns;+;1;The implementation of TA5.27 may support TA7.16, as food messaging and labelling can facilitate the development of innovative solutions for water pollution monitoring and reduction.;
TA5.31;Properties of food: Increase reformulation of food products in line with guidelines for healthy and sustainable diets;TA7.11;Improve water quality by reducing microplastics released into the environment (by 30%);+;1;The implementation of TA5.31 may aid TA7.11, as reformulated food products can reduce microplastic use and pollution.;
TA5.33;Nutrition and healthy, sustainable diets: Move to healthier and more sustainable diets.;TA7.14;Reduce the share of people chronically disturbed by transport noise by 30%, by 2030;+;1;The implementation of TA5.33 may enable TA7.14, as healthier and more sustainable diets can reduce the need for transportation, lowering noise pollution.;
TA5.34;Health impact of diets: Reversing of the rise in overweight and obesity rates across the EU by 2030;TA7.8;Improve soil quality by reducing nutrient losses use by 50%, by 2030;+;1;The implementation of TA5.34 may support TA7.8, as healthier diets can promote sustainable agricultural practices, reducing nutrient losses and improving soil quality.;
TA5.7;Ensure that agriculture, fisheries and aquaculture, and the food value chain contribute to the target of reducing net greenhouse gas emissions to at least 55% below 1990 levels by 2030 and to the achievement of the objective for a climate-neutral Union in 2050;TA7.15;Having all soils in healthy condition by 2050;+;2;The implementation of TA5.7 may reinforce TA7.15, as climate-neutral agriculture and food systems can contribute to maintaining healthy soils, supporting the long-term objective of having all soils in healthy condition.;
TA5.3;Reduce nutrient losses by at least 50%, while ensuring that there is no deterioration in soil fertility.;TA7.4;The Industrial Emissions Directive (IED) aims at preventing or reducing emissions from large industrial installations and intensive farming into the environment.;+;1;The implementation of TA5.3 may enable TA7.4, as reduced nutrient losses can support the IED's objectives, reducing emissions from industrial activities.;
TA5.8;Water: Preserving freshwater, boosting water reuse in agriculture.;TA7.10;Improve water quality by reducing waste, plastic litter at sea (by 50%);+;1;The implementation of TA5.8 may aid TA7.10, as water preservation and reuse can reduce waste and plastic litter, improving water quality.;
TA5.4;Reduce by 50% the use of more hazardous pesticides Target in Common with Biodiversity Strategy (see Thematic Area 6) and Zero Pollution Action Plan (see Thematic Area 7);TA7.6;Improve soil quality by reducing chemical pesticides’ use by 50%, by 2030;+;2;The implementation of TA5.4 may reinforce TA7.6, as reducing hazardous pesticide use can improve soil quality, supporting the objective of reducing chemical pesticide use.;
TA5.5;Reduce by 50% the use and risk of chemical pesticides Target in Common with Biodiversity Strategy (see Thematic Area 6) and Zero Pollution Action Plan (see Thematic Area 7);TA7.9;Improve air quality to reduce the number of premature deaths caused by air pollution by 55% by 2030;+;2;The implementation of TA5.5 may reinforce TA7.9, as reducing chemical pesticide use can improve air quality, supporting the objective of reducing premature deaths caused by air pollution.;
TA5.10;Energy: Increase renewable energy in the agriculture and food sector. Adopt energy efficiency solutions in the agriculture and food sector, by reducing energy consumption.;TA7.5;The revised Urban Wastewater Treatment Directive (UWWTD) extends the scope of the 1991 UWWTD;+;1;The implementation of TA5.10 may enable TA7.5, as renewable energy and energy efficiency can support the effective implementation of the UWWTD, reducing pollution and improving water quality.;
TA5.16;Income distribution: Ensure fair income and salaries. Improve income of primary producers to ensure their sustainable livelihood.;TA7.16;By means of an updated and harmonised list of pollutants affecting surface and groundwater, updated existing quality standards, new monitoring requirements, improved and more accessible data, and a more flexible framework for addressing pollutants of emerging concerns;+;1;The implementation of TA5.16 may support TA7.16, as fair income distribution can facilitate the development of innovative solutions for water pollution monitoring and reduction.;
TA5.23;Employment and working conditions: Create new job opportunities. Improve working conditions, ensure occupation health and safety.;TA7.13;Reduce by 25% the EU ecosystems where air pollution threatens biodiversity, by 2030;+;1;The implementation of TA5.23 may aid TA7.13, as improved employment and working conditions can support sustainable practices, reducing air pollution and protecting biodiversity.;
TA5.24;Social protection and poverty: Ensure fair, inclusive and ethical value chains. Ensure workers’ social protection and housing conditions, promote socially responsible production methods, Mitigate the socio-economic consequences impacting the food chain and ensure that the key principles enshrined in the European Pillar of Social Rights are respected, especially when it comes to precarious, seasonal and undeclared workers.;TA7.14;Reduce the share of people chronically disturbed by transport noise by 30%, by 2030;+;1;The implementation of TA5.24 may enable TA7.14, as social protection and fair value chains can reduce the need for transportation, lowering noise pollution.;
TA5.22;Transport, accessibility and infrastructure: Create shorter supply chains will support reducing dependence on long-haul transportation.;TA7.8;Improve soil quality by reducing nutrient losses use by 50%, by 2030;+;1;The implementation of TA5.22 may aid TA7.8, as shorter supply chains can reduce transportation-related emissions, supporting sustainable soil management practices.;
TA5.13;Reduce food waste. Prevent food loss and waste. Halve per capita food waste at retail and consumer levels* *See also Directive (EU) 2018/851 on waste with a target on food waste reduction of 30% by 2025;TA7.15;Having all soils in healthy condition by 2050;+;2;The implementation of TA5.13 may reinforce TA7.15, as reducing food waste can support sustainable soil management practices, maintaining healthy soils.;
TA5.7;Ensure that agriculture, fisheries and aquaculture, and the food value chain contribute to the target of reducing net greenhouse gas emissions to at least 55% below 1990 levels by 2030 and to the achievement of the objective for a climate-neutral Union in 2050;TA7.4;The Industrial Emissions Directive (IED) aims at preventing or reducing emissions from large industrial installations and intensive farming into the environment.;+;1;The implementation of TA5.7 may enable TA7.4, as climate-neutral agriculture and food systems can reduce emissions from industrial activities, supporting the IED's objectives.
