source_target;source_target_content;impact_target;impact_target_content;impact_type;impact_weight;justification
TA4.1;Achieve an annual production of sustainable biomethane of 35 billion cubic meters by 2030;TA2.41;Member States are required to achieve cumulative end-use energy savings from 2021 to 2030, equivalent to new annual savings of at least 0.8% of final energy consumption in 2021-2023, at least 1.3% in 2024-2025, 1.5% in 2026-2027 and 1.9% in 2028-2030. Directive (EU) 2023/1791;+;2;The implementation of TA4.1 could reinforce the achievement of TA2.41 by increasing the share of renewable energy in the energy mix, thus contributing to the reduction of energy consumption.
TA4.7;Each Member State shall set an obligation on fuel suppliers to ensure that: (B) the combined share of advanced biofuels and biogas produced from the feedstock listed in Part A of Annex IX and of renewable fuels of non-biological origin in the energy supplied to the transport sector is at least 1% in 2025 and 5.5% in 2030, of which a share of at least 1 percentage point is from renewable fuels of non-biological origin in 2030. Directive (EU) 2023/2413;TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%;+;2;The implementation of TA4.7 could support the achievement of TA2.9 by promoting the use of renewable fuels in the transport sector, thus contributing to the increase of the share of renewable energy in the energy mix.
TA4.18;The share of biofuels and biogas produced from the feedstock listed in Part B of Annex IX in the energy content of fuels and electricity supplied to the transport sector shall, except in Cyprus and Malta, be limited to 1.7%. Directive (EU) 2023/2413;TA2.17;A target of 15% electricity interconnection for 2030;+;1;The implementation of TA4.18 could enable the achievement of TA2.17 by limiting the share of biofuels and biogas produced from the feedstock listed in Part B of Annex IX, thus allowing for a greater share of renewable energy from other sources.
TA4.5;Aviation fuel suppliers shall also ensure that Sustainable Aviation Fuel (SAF) made available to aircraft operators at each Union airport will be at least 2% from 2025, 6% from 2030, 20% from 2035, 34% from 2040, 42% from 2045 and 70% from 2050. Regulation (EU) 2023/2405;TA2.37;By 2030, the share of renewable energy in the electricity mix should double to 55-60%;+;2;The implementation of TA4.5 could support the achievement of TA2.37 by promoting the use of Sustainable Aviation Fuels, thus contributing to the increase of the share of renewable energy in the electricity mix.
TA4.19;The yearly quantity of aviation fuel uplifted by a given aircraft operator at a given Union airport shall be at least 90% of the yearly aviation fuel required, to avoid tankering practices which would bring additional emissions from extra weight. Regulation (EU) 2023/2405;TA2.14;Each Member State shall increase the share of renewable energy in the heating and cooling sector by at least 0.8 percentage points as an annual average calculated for the period 2021 to 2025;+;1;The implementation of TA4.19 could enable the achievement of TA2.14 by reducing energy consumption in the aviation sector, thus allowing for a greater share of renewable energy in the heating and cooling sector.
TA4.32;States shall ensure that, at all airports of the TEN-T core network and TEN-T comprehensive network, the provision of electricity supply to stationary aircraft is ensured by 31 December 2029, at all aircraft remote stands used for commercial air transport operations to embark or disembark passengers or to load or unload goods Regulation (EU) 2023/1804;TA2.4;Double the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027 and 30 million units by 2030;+;2;The implementation of TA4.32 could reinforce the achievement of TA2.4 by increasing the share of renewable energy in the energy mix, thus contributing to the reduction of energy consumption and the increase of the share of renewable energy.
TA4.33;Member States shall ensure that at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T core inland waterway ports by 1 January 2025, at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T comprehensive inland waterway ports by 1 January 2030. Regulation (EU) 2023/1804;TA2.22;Member States shall collectively ensure a reduction of energy consumption of at least 11.7% in 2030 compared to the projections of the 2020 EU Reference Scenario;+;1;The implementation of TA4.33 could enable the achievement of TA2.22 by reducing energy consumption in the inland waterway sector, thus allowing for a greater share of renewable energy in the energy mix.
TA4.34;Member States shall ensure that a minimum shore-side electricity supply for seagoing container ships and seagoing passenger ships is provided in TEN-T maritime ports. To that end, by 31 December 2029 TEN-T core and comprehensive maritime ports [...] are equipped to provide each year shore-side electricity supply for at least 90 % of the total number of port calls of seagoing container ships above 5.000 gross tonnes that are moored at the quayside at the maritime port concerned and 90% of the total number of port calls of seagoing ro-ro passenger ships above 5.000 gross tonnes and seagoing high-speed passenger craft above 5.000 gross tonnes that are moored at the quayside at the maritime port concerned Regulation (EU) 2023/1804;TA2.25;Reduce buildings’ final energy consumption by 14%;+;1;The implementation of TA4.34 could enable the achievement of TA2.25 by reducing energy consumption in the maritime sector, thus allowing for a greater share of renewable energy in the building sector.
TA4.10;EU fisheries are encouraged to continue the positive trend, as observed for the period 2009-2019, towards reducing fuel intensity by reducing the fossil-fuel consumption per kg of landed product for at least an additional 15% for the period 2019-2030. Energy Transition of the EU Fisheries and Aquaculture sector;TA2.23;Member States shall make efforts to collectively contribute to the indicative Union primary energy consumption target amounting to no more than 992.5 Mtoe in 2030;+;1;The implementation of TA4.10 could support the achievement of TA2.23 by reducing energy consumption in the fisheries sector, thus allowing for a greater share of renewable energy in the energy mix.
TA4.25;Member States shall ensure that, at the end of each year, the following power output targets are met cumulatively: (a) for each light-duty battery electric vehicle registered in their territory, a total power output of at least 1.3 kW is provided through publicly accessible recharging stations, and (b) for each light-duty plug-in hybrid vehicle registered in their territory, a total power output of at least 0.80 kW is provided through publicly accessible recharging stations. Regulation (EU) 2023/1804;TA2.13;The amount of renewable fuels and renewable electricity supplied to the transport sector leads to a: (i) share of renewable energy within the final consumption of energy in the transport sector of at least 29 % by 2030;+;2;The implementation of TA4.25 could reinforce the achievement of TA2.13 by increasing the share of renewable energy in the transport sector, thus contributing to the reduction of energy consumption and the increase of the share of renewable energy.
TA4.26;Member States shall ensure that along the TEN-T core and comprehensive network, publicly accessible recharging pools dedicated to light-duty vehicles deployed in each direction of travel with a maximum distance of 60 km in-between them offering a power output of at least 600kW and including at least one recharging point with an individual power output of at least 150 kW. Regulation (EU) 2023/1804;TA2.16;Member States shall endeavour to increase the share of renewable sources in the amount of energy sources used for final energy and non-energy purposes in the industry sector by an indicative increase of at least 1.6 percentage points;+;1;The implementation of TA4.26 could enable the achievement of TA2.16 by increasing the share of renewable energy in the industry sector, thus allowing for a greater share of renewable energy in the energy mix.
TA4.27;Member States shall ensure that, by 31 December 2030 (with intermediate 2025 and 2027 targets), along the TEN-T core road network, publicly accessible recharging pools dedicated to heavy-duty electric vehicles are deployed in each direction of travel with a maximum distance of 60 km between them [...]. Along the TEN-T comprehensive road network, recharging pools dedicated to heavy-duty electric vehicles are deployed in each direction of travel with a maximum distance of 100 km between them and each recharging pool offers a power output of at least 1.500 kW and includes at least one recharging point with an individual power output of at least 350 kW. Regulation (EU) 2023/1804;TA2.28;Reduce buildings’ energy consumption for heating and cooling by 18% compared to 2015 levels by 2030;+;1;The implementation of TA4.27 could enable the achievement of TA2.28 by reducing energy consumption in the transport sector, thus allowing for a greater share of renewable energy in the building sector.
TA4.28;By 31 December 2030, in each safe and secure parking area at least four publicly accessible recharging stations dedicated to heavy-duty electric vehicles with an individual power output of at least 100 kW are deployed. Regulation (EU) 2023/1804;TA2.29;Member states will have to renovate 16% of worst-performing non-residential buildings by 2030;+;1;The implementation of TA4.28 could support the achievement of TA2.29 by reducing energy consumption in the transport sector, thus allowing for a greater share of renewable energy in the building sector.
TA4.29;By 31 December 2030, in each urban node publicly accessible recharging points dedicated to heavy-duty electric vehicles with an aggregated power output of at least 1 800 kW are deployed, provided by recharging stations with an individual power output of at least 150 kW. Regulation (EU) 2023/1804;TA2.6;Energy demand to be covered by solar heat and geothermal should at least triple;+;1;The implementation of TA4.29 could enable the achievement of TA2.6 by increasing the share of renewable energy in the energy mix, thus allowing for a greater share of renewable energy in the heating and cooling sector.
TA4.15;The average CO2 emissions of the Union fleet of new heavy-duty motor vehicles [...], off-road vehicles and off-road special purpose vehicles shall be reduced by the following percentages compared to the average CO2 emissions of the reporting period of the year 2019: (a) 15% for vehicle sub-groups 4-UD, 4-RD, 4-LH, 5-RD, 5-LH, 9-RD, 9-LH, 10-RD and 10-LH for the reporting periods of the years 2025 to 2029, (b) 45% for all vehicle sub-groups other than vocational vehicles for the reporting periods of the years 2030 to 2034, (c) 65% for all vehicle sub-groups for the reporting periods of the years 2035 to 2039, (d) 90% for all vehicle sub-groups for the reporting periods of the year 2040 onwards Regulation (EU) 2024/1610;TA2.3;Member States shall ensure that the contribution of renewable fuels of non-biological origin used for final energy and non-energy purposes shall be at least 42% of the hydrogen used for final energy and non-energy purposes in industry by 2030;+;2;The implementation of TA4.15 could reinforce the achievement of TA2.3 by reducing CO2 emissions from heavy-duty vehicles, thus allowing for a greater share of renewable energy in the industry sector.
TA4.3;The yearly average GHG intensity of the energy used on board by a ship during a reporting period shall be reduced, compared to the reference value (91.16 gCO2e/MJ) by: 2% from 1 January 2025, 6% from 1 January 2030, 14.5% from 1 January 2035, 31% from 1 January 2040, 62% from 1 January 2045, 80% from 1 January 2050. Regulation (EU) 2023/1805;TA2.1;REPowerEU sets a target of 10 million tonnes of domestic renewable hydrogen production and 10 million tonnes of renewable hydrogen imports by 2030;+;2;The implementation of TA4.3 could support the achievement of TA2.1 by reducing GHG emissions from shipping, thus allowing for a greater share of renewable energy in the energy mix.
TA4.9;Cut the emissions of transport sector by 90% by 2050 relative to 1990. Sustainable and Smart Mobility Strategy;TA2.40;Around 30% of EU primary steel production is expected to be decarbonised on the basis of renewable hydrogen;+;1;The implementation of TA4.9 could enable the achievement of TA2.40 by reducing energy consumption in the transport sector, thus allowing for a greater share of renewable energy in the steel production sector.
TA4.30;Member States shall ensure that, by 31 December 2030, at least one publicly accessible hydrogen refuelling station is deployed in each urban node. Regulation (EU) 2023/1804;TA2.38;Cumulative EU offshore goals of installed capacity: 60 GW by 2030 and 300 GW by 2050;+;1;The implementation of TA4.30 could support the achievement of TA2.38 by increasing the share of renewable energy in the energy mix, thus allowing for a greater share of renewable energy in the offshore sector.
TA4.31;Member States shall ensure that, by 31 December 2030, publicly accessible hydrogen refuelling stations with a total capacity of at least 1 tonne per day, and equipped with at least a 700 bar dispenser, are deployed at least every 200 km along the TEN-T (Trans-European Transport Network) core network Regulation (EU) 2023/1804;TA2.39;The strategy sets targets for an installed capacity of at least 1 GW of ocean energy by 2030 and 40 GW by 2050;+;1;The implementation of TA4.31 could enable the achievement of TA2.39 by increasing the share of renewable energy in the energy mix, thus allowing for a greater share of renewable energy in the ocean energy sector.
TA4.13;For [...] ‚Äúurban buses‚Äù manufacturers shall comply with the 90% (in the reporting period 2030-2034) and 100% (as from 2035) minimum shares in their fleet of new heavy-duty vehicles Regulation (EU) 2024/1610;TA2.5;Bring online over 320 GW of solar photovoltaic by 2025 and almost 600 GW by 2030;+;2;The implementation of TA4.13 could reinforce the achievement of TA2.5 by increasing the share of renewable energy in the energy mix, thus contributing to the reduction of energy consumption and the increase of the share of renewable energy.
TA4.8;Member States with maritime ports shall endeavour to ensure that as of 2030 the share of renewable fuels of non-biological origin (RFNBOs) in the total amount of energy supplied to the maritime transport sector is at least 1.2%. Directive (EU) 2023/2413;TA2.37;By 2030, the share of renewable energy in the electricity mix should double to 55-60%;+;2;The implementation of TA4.8 could support the achievement of TA2.37 by promoting the use of renewable fuels in the maritime sector, thus contributing to the increase of the share of renewable energy in the electricity mix.
TA4.6;Of the SAF targets reported above, synthetic aviation fuels should represent a minimum share of 1.2% from 2030, 5% from 2035, 10% from 2034, 15% from 2045, and 35% from 2050. Regulation (EU) 2023/2405;TA2.17;A target of 15% electricity interconnection for 2030;+;1;The implementation of TA4.6 could enable the achievement of TA2.17 by increasing the share of renewable energy in the energy mix, thus allowing for a greater share of renewable energy in the electricity sector.
TA4.20;In the first phase, from 2020 up to 2024, the strategic objective is to install at least 6 GW of renewable hydrogen electrolysers in the EU. In the second phase, from 2025 up to 2030, the strategic objective is to install at least 40 GW of renewable hydrogen electrolysers. A Hydrogen Strategy for a climate-neutral Europe;TA2.41;Member States are required to achieve cumulative end-use energy savings from 2021 to 2030, equivalent to new annual savings of at least 0.8% of final energy consumption in 2021-2023, at least 1.3% in 2024-2025, 1.5% in 2026-2027 and 1.9% in 2028-2030. Directive (EU) 2023/1791;+;2;The implementation of TA4.20 could reinforce the achievement of TA2.41 by increasing the share of renewable energy in the energy mix, thus contributing to the reduction of energy consumption and the increase of the share of renewable energy.
TA4.11;Reduce the average door-to-door cost of combined transport operations by at least 10% within 7 years Proposal for a Directive to support framework for intermodal transport of goods;TA2.25;Reduce buildings’ final energy consumption by 14%;+;1;The implementation of TA4.11 could enable the achievement of TA2.25 by reducing energy consumption in the transport sector, thus allowing for a greater share of renewable energy in the building sector.
TA4.55;Zero-emission in urban logistics The new EU Urban Mobility Framework.;TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%;+;1;The implementation of TA4.55 could support the achievement of TA2.9 by promoting zero-emission logistics, thus contributing to the increase of the share of renewable energy in the energy mix.
