TA3.3;Double EU’s circular material use rate in the coming decade;TA2.41;Member States are required to achieve cumulative end-use energy savings from 2021 to 2030, equivalent to new annual savings of at least 0.8% of final energy consumption in 2021-2023, at least 1.3% in 2024-2025, 1.5% in 2026-2027 and 1.9% in 2028-2030. Directive (EU) 2023/1791;+2;The implementation of TA3.3 could reinforce TA2.41 by promoting energy efficiency and reducing energy consumption, which in turn could lead to increased energy savings and a higher share of renewable energy in the energy mix.;The increased energy savings from TA2.41 could enable the EU to reach its circular material use rate target of doubling by 2030, as set out in TA3.3, by reducing energy consumption and promoting the use of renewable energy sources.
TA3.13;By 2030, Union recycling capacity, including for all intermediate recycling steps, should be able of producing at least 25% of the Union's annual consumption of strategic raw materials;TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union's gross final consumption of energy in 2030 is at least 42.5%;+2;The implementation of TA3.13 could support TA2.9 by increasing the recycling capacity for strategic raw materials, which could lead to a higher share of renewable energy in the energy mix and help achieve the 42.5% target.;The increased share of renewable energy in the energy mix from TA2.9 could enable the EU to reach its recycling capacity target of at least 25% by 2030, as set out in TA3.13.
TA3.15;Producers of starting, lighting and ignition batteries, industrial batteries and electric vehicle batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall take back, free of charge and without an obligation on the end-user to buy a new battery;TA2.37;By 2030, the share of renewable energy in the electricity mix should double to 55-60%;+2;The implementation of TA3.15 could support TA2.37 by promoting the recycling and reuse of batteries, which could lead to increased renewable energy production and a higher share of renewable energy in the electricity mix.;The increased share of renewable energy in the electricity mix from TA2.37 could enable the EU to reach its battery recycling target, as set out in TA3.15.
TA3.16;Producers of portable batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets for waste portable batteries;TA2.14;Each Member State shall increase the share of renewable energy in the heating and cooling sector by at least 0.8 percentage points as an annual average calculated for the period 2021 to 2025;+2;The implementation of TA3.16 could support TA2.14 by promoting the recycling and reuse of portable batteries, which could lead to increased renewable energy production in the heating and cooling sector.;The increased share of renewable energy in the heating and cooling sector from TA2.14 could enable the EU to reach its portable battery collection targets, as set out in TA3.16.
TA3.17;Producers of LMT batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets of waste LMT batteries;TA2.18;Indicative target of at least a 49% share of energy from renewable sources in the building sector in the Union's final energy consumption in buildings in 2030;+2;The implementation of TA3.17 could support TA2.18 by promoting the recycling and reuse of LMT batteries, which could lead to increased renewable energy production in the building sector.;The increased share of renewable energy in the building sector from TA2.18 could enable the EU to reach its LMT battery collection targets, as set out in TA3.17.
TA3.18;For industrial batteries with a capacity greater than 2kWh, except those with exclusively external storage, electric vehicle batteries and starting, lighting and ignition batteries that contain cobalt, lead, lithium or nickel in active materials, the minimum recycled content percentage for each battery model per year and per manufacturing plant shall be;TA2.4;Double the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027 and 30 million units by 2030;+2;The implementation of TA3.18 could support TA2.4 by promoting the recycling and reuse of industrial batteries, which could lead to increased heat pump deployment and renewable energy production.;The increased heat pump deployment from TA2.4 could enable the EU to reach its industrial battery recycling targets, as set out in TA3.18.
TA3.19;Any natural or legal person that places on the market products incorporating portable batteries shall ensure that those batteries are readily removable and replaceable by the end-user at any time during the lifetime of the product;TA2.1;REPowerEU sets a target of 10 million tonnes of domestic renewable hydrogen production and 10 million tonnes of renewable hydrogen imports by 2030;+2;The implementation of TA3.19 could support TA2.1 by promoting the design and production of products with removable and replaceable batteries, which could lead to increased renewable hydrogen production.;The increased renewable hydrogen production from TA2.1 could enable the EU to reach its battery design and production targets, as set out in TA3.19.
TA3.20;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025- 75% by average weight of lead-acid batteries- 80% by average weight of nickel-cadmium batteries - 50% by average weight of other waste batteriesNo later than 31 December 2030- 80% by average weight of lead-acid batteries Regulation (EU) 2023/1542;TA2.38;Cumulative EU offshore goals of installed capacity: 60 GW by 2030 and 300 GW by 2050;+2;The implementation of TA3.20 could support TA2.38 by promoting the recycling of waste batteries, which could lead to increased offshore wind energy production.;The increased offshore wind energy production from TA2.38 could enable the EU to reach its recycling efficiency targets, as set out in TA3.20.
TA3.21;Recycling shall achieve at least the following targets for recycling efficiency:- No later than 31 December 2025, 65% by average weight of lithium-based batteries- No later than 31 December 2030, 70% by average weight of lithium-based batteriesRegulation (EU) 2023/1542;TA2.39;The strategy sets targets for an installed capacity of at least 1 GW of ocean energy by 2030 and 40 GW by 2050;+2;The implementation of TA3.21 could support TA2.39 by promoting the recycling of lithium-based batteries, which could lead to increased ocean energy production.;The increased ocean energy production from TA2.39 could enable the EU to reach its recycling efficiency targets, as set out in TA3.21.
TA3.22;All recycling shall achieve at least the following targets for recovery of materials:- No later than 31 December 2027, 90% for cobalt, copper, lead, nickel- No later than 31 December 2031, 95% for cobalt, copper, lead, nickelRegulation (EU) 2023/1542;TA2.5;Bring online over 320 GW of solar photovoltaic by 2025 and almost 600 GW by 2030;+2;The implementation of TA3.22 could support TA2.5 by promoting the recovery of materials from waste, which could lead to increased solar photovoltaic production.;The increased solar photovoltaic production from TA2.5 could enable the EU to reach its material recovery targets, as set out in TA3.22.
TA3.23;All recycling shall achieve at least the following targets for recovery of materials, 50% for lithium, no later than 31 December 2027 and 80% for lithium no later than 31 December 2031Regulation (EU) 2023/1542;TA2.7;Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables;+2;The implementation of TA3.23 could support TA2.7 by promoting the recovery of lithium, which could lead to increased solar photovoltaic production.;The increased solar photovoltaic production from TA2.7 could enable the EU to reach its lithium recovery targets, as set out in TA3.23.
TA3.30;Each Member State shall reduce the packaging waste generated per capita, as compared to the packaging waste generated per capita in 2018 as reported to the Commission in accordance with Decision 2005/270/EC by 5% by 2030, 10% by 2035, 15% by 2040 Proposal on packaging and packaging waste;TA2.17;A target of 15% electricity interconnection for 2030;+2;The implementation of TA3.30 could support TA2.17 by reducing packaging waste, which could lead to increased electricity interconnection and a more integrated energy market.;The increased electricity interconnection from TA2.17 could enable the EU to reach its packaging waste reduction targets, as set out in TA3.30.
TA3.31;Member States shall take the necessary measures to attain the recycling targets of 65% by weight of all packaging waste generated by 31 December 2025, and of 70% by weight of all packaging waste generated by 31 December 2030 Proposal on packaging and packaging waste;TA2.10;Member States shall set an indicative target for innovative renewable energy technology of at least 5% of newly installed renewable energy capacity by 2030;+2;The implementation of TA3.31 could support TA2.10 by promoting the recycling of packaging waste, which could lead to increased innovative renewable energy production.;The increased innovative renewable energy production from TA2.10 could enable the EU to reach its packaging waste recycling targets, as set out in TA3.31.
TA3.33;Member States shall take the necessary measures to attain a recycling target of 25% of wood by weight of wood contained in packaging waste generated by 31 December 2025 and of 30% by 31 December 2030 Proposal on packaging and packaging waste;TA2.3;Member States shall ensure that the contribution of renewable fuels of non-biological origin used for final energy and non-energy purposes shall be at least 42% of the hydrogen used for final energy and non-energy purposes in industry by 2030;+2;The implementation of TA3.33 could support TA2.3 by promoting the recycling of wood, which could lead to increased renewable hydrogen production.;The increased renewable hydrogen production from TA2.3 could enable the EU to reach its wood recycling targets, as set out in TA3.33.
TA3.34;Member States shall take the necessary measures to attain a recycling target of 70% of ferrous metals by weight of ferrous metals contained in packaging waste generated by 31 December 2025 and of 80% by 31 December 2030 Proposal on packaging and packaging waste;TA2.40;Around 30% of EU primary steel production is expected to be decarbonised on the basis of renewable hydrogen;+2;The implementation of TA3.34 could support TA2.40 by promoting the recycling of ferrous metals, which could lead to increased decarbonisation of steel production.;The increased decarbonisation of steel production from TA2.40 could enable the EU to reach its ferrous metal recycling targets, as set out in TA3.34.
TA3.35;Member States shall take the necessary measures to attain a recycling target of 50% of aluminium by weight of aluminium contained in packaging waste generated by 31 December 2025 and of 60% by 31 December 2030 Proposal on packaging and packaging waste;TA2.1;REPowerEU sets a target of 10 million tonnes of domestic renewable hydrogen production and 10 million tonnes of renewable hydrogen imports by 2030;+2;The implementation of TA3.35 could support TA2.1 by promoting the recycling of aluminium, which could lead to increased renewable hydrogen production.;The increased renewable hydrogen production from TA2.1 could enable the EU to reach its aluminium recycling targets, as set out in TA3.35.
TA3.36;Member States shall take the necessary measures to attain a recycling target of 70% of glass by weight of glass contained in packaging waste generated by 31 December 2025 and of 75% by 31 December 2030 Proposal on packaging and packaging waste;TA2.39;The strategy sets targets for an installed capacity of at least 1 GW of ocean energy by 2030 and 40 GW by 2050;+2;The implementation of TA3.36 could support TA2.39 by promoting the recycling of glass, which could lead to increased ocean energy production.;The increased ocean energy production from TA2.39 could enable the EU to reach its glass recycling targets, as set out in TA3.36.
TA3.37;Member States shall take the necessary measures to attain a recycling target of 75% of paper and cardboard by weight of paper and cardboard contained in packaging waste generated by 31 December 2025 and of 85% by 31 December 2030 Proposal on packaging and packaging waste;TA2.5;Bring online over 320 GW of solar photovoltaic by 2025 and almost 600 GW by 2030;+2;The implementation of TA3.37 could support TA2.5 by promoting the recycling of paper and cardboard, which could lead to increased solar photovoltaic production.;The increased solar photovoltaic production from TA2.5 could enable the EU to reach its paper and cardboard recycling targets, as set out in TA3.37.
TA3.52;At least 20% of the carbon used in the chemical and plastic products should be from sustainable non-fossil sources by 2030, in full consideration of the EU's biodiversity and circular economy objectives and of the upcoming policy framework for bio-based, biodegradable and compostable plastics Communication on Sustainable Carbon Cycles;TA2.41;Member States are required to achieve cumulative end-use energy savings from 2021 to 2030, equivalent to new annual savings of at least 0.8% of final energy consumption in 2021-2023, at least 1.3% in 2024-2025, 1.5% in 2026-2027 and 1.9% in 2028-2030 Directive (EU) 2023/1791;+2;The implementation of TA3.52 could support TA2.41 by promoting the use of sustainable non-fossil carbon sources, which could lead to increased energy savings.;The increased energy savings from TA2.41 could enable the EU to reach its sustainable carbon targets, as set out in TA3.52.
TA3.29;Member States shall take measures to achieve a sustained reduction in the consumption of lightweight plastic carrier bags on their territory A sustained reduction is achieved if the annual consumption does not exceed 40 lightweight plastic carrier bags per person, or the equivalent target in weight, by 31 December 2025, and subsequently by 31 December in each year thereafter Proposal on packaging and packaging waste;TA2.17;A target of 15% electricity interconnection for 2030;+2;The implementation of TA3.29 could support TA2.17 by reducing the consumption of lightweight plastic carrier bags, which could lead to increased electricity interconnection and a more integrated energy market.;The increased electricity interconnection from TA2.17 could enable the EU to reach its lightweight plastic carrier bag reduction targets, as set out in TA3.29.
TA3.32;Member States shall take the necessary measures to attain a recycling target of 50% of plastic by weight of plastic contained in packaging waste generated by 31 December 2025, and of 55% by weight of plastic in packaging waste generated by 31 December 2030 Proposal on packaging and packaging waste;TA2.37;By 2030, the share of renewable energy in the electricity mix should double to 55-60%;+2;The implementation of TA3.32 could support TA2.37 by promoting the recycling of plastic, which could lead to increased renewable energy production.;The increased renewable energy production from TA2.37 could enable the EU to reach its plastic recycling targets, as set out in TA3.32.
