source_target;source_target_content;impact_target;impact_target_content;impact_type;impact_weight;justification
TA3.3;Double EU’s circular material use rate in the coming decade;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;+;2;The implementation of TA3.3 could lead to an increase in the demand for recyclable materials, which in turn could lead to an increase in the protection of land areas, as set out in TA6.1, to ensure the availability of these materials.
TA3.13;By 2030, Union recycling capacity, including for all intermediate recycling steps, should be able of producing at least 25% of the Union’s annual consumption of strategic raw materials;TA6.50;Reach no net land take;+;2;The implementation of TA3.13 could lead to a reduction in the need for primary raw materials, which in turn could lead to a reduction in land take, as set out in TA6.50.
TA3.15;Producers of starting, lighting and ignition batteries, industrial batteries and electric vehicle batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall take back, free of charge and without an obligation on the end-user to buy a new battery;TA6.28;In accordance with the CFP, it is crucial to continue and accelerate the work of rebuilding and keeping fish stocks above MSY levels;+;1;The implementation of TA3.15 could lead to an increase in the recycling of batteries, which in turn could lead to a reduction in the amount of waste in the environment, and subsequently, a positive impact on the fish stocks, as set out in TA6.28.
TA3.16;Producers of portable batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets for waste portable batteries;TA6.34;Terrestrial, coastal and freshwater ecosystems. Member States shall ensure that condition is known for at least 90% of the area distributed overall habitat types listed in Annex I by 2030 and 100% by 2040.;+;1;The implementation of TA3.16 could lead to an increase in the collection and recycling of portable batteries, which in turn could lead to a reduction in the amount of waste in the environment, and subsequently, a positive impact on the condition of the ecosystems, as set out in TA6.34.
TA3.17;Producers of LMT batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets of waste LMT batteries;TA6.43;Marine ecosystems. Member States shall ensure, by 2030 at the latest, that the condition is known for at least 50% of the area distributed over all habitat types listed in groups 1–6 of Annex II.;+;1;The implementation of TA3.17 could lead to an increase in the collection and recycling of LMT batteries, which in turn could lead to a reduction in the amount of waste in the environment, and subsequently, a positive impact on the condition of the marine ecosystems, as set out in TA6.43.
TA3.18;For industrial batteries with a capacity greater than 2kWh, except those with exclusively external storage, electric vehicle batteries and starting, lighting and ignition batteries that contain cobalt, lead, lithium or nickel in active materials, the minimum recycled content percentage for each battery model per year and per manufacturing plant shall be;TA6.7;4. By 2030, significant areas of degraded and carbon-rich ecosystems are restored. Habitats and species show no deterioration in conservation trends and status, and at least 30% reach favourable conservation status or at least show a positive trend.;+;2;The implementation of TA3.18 could lead to an increase in the use of recycled materials in the production of industrial batteries, which in turn could lead to a reduction in the degradation of ecosystems, and subsequently, a positive impact on the conservation trends and status of habitats and species, as set out in TA6.7.
TA3.19;Any natural or legal person that places on the market products incorporating portable batteries shall ensure that those batteries are readily removable and replaceable by the end-user at any time during the lifetime of the product;TA6.10;7. At least 10% of agricultural area is under high-diversity landscape features;+;1;The implementation of TA3.19 could lead to an increase in the design of products with removable and replaceable batteries, which in turn could lead to a reduction in electronic waste, and subsequently, a positive impact on the agricultural area, as set out in TA6.10.
TA3.20;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025- 75% by average weight of lead-acid batteries- 80% by average weight of nickel-cadmium batteries - 50% by average weight of other waste batteriesNo later than 31 December 2030- 80% by average weight of lead-acid batteries Regulation (EU) 2023/1542;TA6.44;(agricultural ecosystems) Member States shall put in place measures which shall aim to achieve an increasing trend at national level of at least two out of the three following indicators in agricultural ecosystems;+;2;The implementation of TA3.20 could lead to an increase in the recycling efficiency of batteries, which in turn could lead to a reduction in the amount of waste in the environment, and subsequently, a positive impact on the agricultural ecosystems, as set out in TA6.44.
TA3.21;Recycling shall achieve at least the following targets for recycling efficiency:- No later than 31 December 2025, 65% by average weight of lithium-based batteries- No later than 31 December 2030, 70% by average weight of lithium-based batteries.Regulation (EU) 2023/1542;TA6.45;(agricultural ecosystems) Member States shall put in place restoration measures which shall aim to ensure that the common farmland bird index at national level based on the species specified in Annex V reaches the following levels;+;2;The implementation of TA3.21 could lead to an increase in the recycling efficiency of lithium-based batteries, which in turn could lead to a reduction in the amount of waste in the environment, and subsequently, a positive impact on the farmland bird index, as set out in TA6.45.
TA3.22;All recycling shall achieve at least the following targets for recovery of materials:- No later than 31 December 2027, 90% for cobalt, copper, lead, nickel- No later than 31 December 2031, 95% for cobalt, copper, lead, nickelRegulation (EU) 2023/1542;TA6.46;(agricultural ecosystems) Member States shall put in place measures which shall aim to restore organic soils in agricultural use constituting drained peatlands.;+;3;The implementation of TA3.22 could lead to an increase in the recovery of materials from recycling, which in turn could lead to a reduction in the degradation of organic soils, and subsequently, a positive impact on the restoration of organic soils in agricultural use, as set out in TA6.46.
TA3.23;All recycling shall achieve at least the following targets for recovery of materials, 50% for lithium, no later than 31 December 2027 and 80% for lithium no later than 31 December 2031.Regulation (EU) 2023/1542;TA6.50;Reach no net land take;+;2;The implementation of TA3.23 could lead to an increase in the recovery of lithium, which in turn could lead to a reduction in the need for primary lithium, and subsequently, a positive impact on the protection of land, as set out in TA6.50.
TA3.30;Each Member State shall reduce the packaging waste generated per capita, as compared to the packaging waste generated per capita in 2018 as reported to the Commission in accordance with Decision 2005/270/EC by 5% by 2030, 10% by 2035, 15% by 2040 Proposal on packaging and packaging waste;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;+;2;The implementation of TA3.30 could lead to a reduction in packaging waste, which in turn could lead to a reduction in the amount of waste in the environment, and subsequently, a positive impact on the protection of land areas, as set out in TA6.1.
TA3.31;Member States shall take the necessary measures to attain the recycling targets of 65% by weight of all packaging waste generated by 31 December 2025, and of 70% by weight of all packaging waste generated by 31 December 2030. Proposal on packaging and packaging waste;TA6.50;Reach no net land take;+;2;The implementation of TA3.31 could lead to an increase in the recycling of packaging waste, which in turn could lead to a reduction in the amount of waste in the environment, and subsequently, a positive impact on the protection of land, as set out in TA6.50.
TA3.33;Member States shall take the necessary measures to attain a recycling target of 25% of wood by weight of wood contained in packaging waste generated by 31 December 2025 and of 30% by 31 December 2030. Proposal on packaging and packaging waste;TA6.7;4. By 2030, significant areas of degraded and carbon-rich ecosystems are restored. Habitats and species show no deterioration in conservation trends and status, and at least 30% reach favourable conservation status or at least show a positive trend.;+;1;The implementation of TA3.33 could lead to an increase in the recycling of wood, which in turn could lead to a reduction in the amount of waste in the environment, and subsequently, a positive impact on the restoration of ecosystems, as set out in TA6.7.
TA3.34;Member States shall take the necessary measures to attain a recycling target of 70% of ferrous metals by weight of ferrous metals contained in packaging waste generated by 31 December 2025 and of 80% by 31 December 2030 Proposal on packaging and packaging waste;TA6.44;(agricultural ecosystems) Member States shall put in place measures which shall aim to achieve an increasing trend at national level of at least two out of the three following indicators in agricultural ecosystems;+;2;The implementation of TA3.34 could lead to an increase in the recycling of ferrous metals, which in turn could lead to a reduction in the amount of waste in the environment, and subsequently, a positive impact on the agricultural ecosystems, as set out in TA6.44.
TA3.35;Member States shall take the necessary measures to attain a recycling target of 50% of aluminium by weight of aluminium contained in packaging waste generated by 31 December 2025 and of 60% by 31 December 2030 Proposal on packaging and packaging waste;TA6.45;(agricultural ecosystems) Member States shall put in place restoration measures which shall aim to ensure that the common farmland bird index at national level based on the species specified in Annex V reaches the following levels;+;2;The implementation of TA3.35 could lead to an increase in the recycling of aluminium, which in turn could lead to a reduction in the amount of waste in the environment, and subsequently, a positive impact on the farmland bird index, as set out in TA6.45.
TA3.36;Member States shall take the necessary measures to attain a recycling target of 70% of glass by weight of glass contained in packaging waste generated by 31 December 2025 and of 75% by 31 December 2030 Proposal on packaging and packaging waste;TA6.46;(agricultural ecosystems) Member States shall put in place measures which shall aim to restore organic soils in agricultural use constituting drained peatlands.;+;2;The implementation of TA3.36 could lead to an increase in the recycling of glass, which in turn could lead to a reduction in the amount of waste in the environment, and subsequently, a positive impact on the restoration of organic soils, as set out in TA6.46.
TA3.37;Member States shall take the necessary measures to attain a recycling target of 75% of paper and cardboard by weight of paper and cardboard contained in packaging waste generated by 31 December 2025 and of 85% by 31 December 2030 Proposal on packaging and packaging waste;TA6.50;Reach no net land take;+;2;The implementation of TA3.37 could lead to an increase in the recycling of paper and cardboard, which in turn could lead to a reduction in the amount of waste in the environment, and subsequently, a positive impact on the protection of land, as set out in TA6.50.
TA3.52;At least 20% of the carbon used in the chemical and plastic products should be from sustainable non-fossil sources by 2030, in full consideration of the EU's biodiversity and circular economy objectives and of the upcoming policy framework for bio-based, biodegradable and compostable plastics. Communication on Sustainable Carbon Cycles;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;+;2;The implementation of TA3.52 could lead to an increase in the use of sustainable non-fossil carbon sources, which in turn could lead to a reduction in the amount of waste in the environment, and subsequently, a positive impact on the protection of land areas, as set out in TA6.1.
TA3.29;Member States shall take measures to achieve a sustained reduction in the consumption of lightweight plastic carrier bags on their territory. A sustained reduction is achieved if the annual consumption does not exceed 40 lightweight plastic carrier bags per person, or the equivalent target in weight, by 31 December 2025, and subsequently by 31 December in each year thereafter. Proposal on packaging and packaging waste;TA6.50;Reach no net land take;+;1;The implementation of TA3.29 could lead to a reduction in the consumption of lightweight plastic carrier bags, which in turn could lead to a reduction in the amount of waste in the environment, and subsequently, a positive impact on the protection of land, as set out in TA6.50.
TA3.32;Member States shall take the necessary measures to attain a recycling target of 50% of plastic by weight of plastic contained in packaging waste generated by 31 December 2025, and of 55% by weight of plastic in packaging waste generated by 31 December 2030. Proposal on packaging and packaging waste;TA6.7;4. By 2030, significant areas of degraded and carbon-rich ecosystems are restored. Habitats and species show no deterioration in conservation trends and status, and at least 30% reach favourable conservation status or at least show a positive trend.;+;2;The implementation of TA3.32 could lead to an increase in the recycling of plastic, which in turn could lead to a reduction in the amount of waste in the environment, and subsequently, a positive impact on the restoration of ecosystems, as set out in TA6.7.
TA3.38;Each vehicle belonging to a vehicle type that is type-approved as of [the first day of the month following 72 months after the date of entry into force of this Regulation] under Regulation (EU) 2018/858 shall be constructed so that it is: (a) reusable/recyclable to a minimum of 85% by mass, (b) reusable/recoverable to a minimum of 95 % by mass. Proposal for a Regulation on circularity requirements for vehicle design and on management of end-of-life vehicles;TA6.50;Reach no net land take;+;2;The implementation of TA3.38 could lead to an increase in the recyclability and reusability of vehicles, which in turn could lead to a reduction in the amount of waste in the environment, and subsequently, a positive impact on the protection of land, as set out in TA6.50.
