TA7.9;Improve air quality to reduce the number of premature deaths caused by air pollution by 55% by 2030;TA5.11;Biodiversity conservation and restoration of natural resources: Protect the environment and restore natural resources. Preserve biodiversity and reduce biodiversity loss.;+2;The implementation of TA7.9 will likely reinforce the achievement of TA5.11, as improving air quality can contribute to preserving biodiversity and reducing biodiversity loss.
TA7.4;The Industrial Emissions Directive (IED) aims at preventing or reducing emissions from large industrial installations and intensive farming into the environment.;TA5.14;Circular economy: Scale-up and promote sustainable and socially responsible production methods and circular business models in food processing and retail.;+1;The IED can enable the achievement of TA5.14 by reducing emissions and promoting sustainable production methods.
TA7.13;Reduce by 25% the EU ecosystems where air pollution threatens biodiversity, by 2030;TA5.17;Sectorial growth: Help farmers and fishers to strengthen their position in the supply chain and to capture a fair share of the added value of sustainable production;+1;Reducing air pollution can contribute to the growth of the agricultural sector and the strengthening of farmers' and fishers' positions in the supply chain.
TA7.6;Improve soil quality by reducing chemical pesticides’ use by 50%, by 2030;TA5.20;Trade: Foster the competitiveness of the EU supply sector.;+1;Improving soil quality can contribute to increasing the competitiveness of the EU supply sector by promoting sustainable agricultural practices.
TA7.8;Improve soil quality by reducing nutrient losses use by 50%, by 2030;TA5.35;Preparedness, shock resilience, adaptation and transformation: Strengthen the resilience of the EU food system. Build up resilience to climate change, possible future diseases and pandemics. Increasing the sustainability of food producers will ultimately increase their resilience.;+2;Reducing nutrient losses can reinforce the resilience of the EU food system and contribute to the preparedness and adaptation to climate change.
TA7.15;Having all soils in healthy condition by 2050;TA5.21;Digitalisation and knowledge transfer. Ensure access to fast broadband to all farmers and all rural areas to achieve the objective of 100% access by 2025 (enabler for jobs, businesses, investments, improvement in quality of life in rural areas and enabler to mainstream precision farming and use of artificial intelligence);+1;Having healthy soils can enable the achievement of TA5.21 by promoting digitalisation and knowledge transfer in rural areas.
TA7.5;The revised Urban Wastewater Treatment Directive (UWWTD) extends the scope of the 1991 UWWTD;TA5.29;Food availability: Improve availability of sustainable food. Ensure that the healthy option is always the easiest one. Ensure food supply.;+1;The UWWTD can contribute to improving food availability by promoting sustainable food production and reducing water pollution.
TA7.10;Improve water quality by reducing waste, plastic litter at sea (by 50%);TA5.30;Food affordability: Ensure affordability to sufficient, nutritious and sustainable food;+1;Improving water quality can contribute to ensuring food affordability by promoting sustainable food production and reducing the environmental impact of food production.
TA7.11;Improve water quality by reducing microplastics released into the environment (by 30%);TA5.32;Food security: Ensuring food security and access to quality, safe, sustainable, nutritious food for all.;+1;Reducing microplastics can contribute to ensuring food security by promoting sustainable food production and reducing the environmental impact of food production.
TA7.16;By means of an updated and harmonised list of pollutants affecting surface and groundwater, updated existing quality standards, new monitoring requirements, improved and more accessible data, and a more flexible framework for addressing pollutants of emerging concerns;TA5.6;Aquatic living resources: Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture;+2;The updated list of pollutants and quality standards can reinforce the achievement of TA5.6 by promoting sustainable fishing and aquaculture practices.
TA7.14;Reduce the share of people chronically disturbed by transport noise by 30%, by 2030;TA5.13;Reduce food waste. Prevent food loss and waste. Halve per capita food waste at retail and consumer levels* *See also Directive (EU) 2018/851 on waste with a target on food waste reduction of 30% by 2025;+1;Reducing transport noise can contribute to reducing food waste by promoting sustainable food production and reducing the environmental impact of food production.
TA7.4;The Industrial Emissions Directive (IED) aims at preventing or reducing emissions from large industrial installations and intensive farming into the environment.;TA5.4;Reduce by 50% the use of more hazardous pesticides Target in Common with Biodiversity Strategy (see Thematic Area 6) and Zero Pollution Action Plan (see Thematic Area 7);+2;The IED can reinforce the achievement of TA5.4 by reducing emissions and promoting sustainable production methods, which can contribute to reducing the use of hazardous pesticides.
TA7.9;Improve air quality to reduce the number of premature deaths caused by air pollution by 55% by 2030;TA5.7;Ensure that agriculture, fisheries and aquaculture, and the food value chain contribute to the target of reducing net greenhouse gas emissions to at least 55% below 1990 levels by 2030 and to the achievement of the objective for a climate-neutral Union in 2050.;+2;Improving air quality can contribute to reducing greenhouse gas emissions from the agricultural sector, which can reinforce the achievement of TA5.7.
