source_target;source_target_content;impact_target;impact_target_content;impact_type;impact_weight;justification
TA5.11;Biodiversity conservation and restoration of natural resources: Protect the environment and restore natural resources. Preserve biodiversity and reduce biodiversity loss.;TA3.3;Double EU’s circular material use rate in the coming decade;+;2;The implementation of TA5.11 will likely reinforce TA3.3, as biodiversity conservation and restoration can lead to increased circular material use, such as through the reuse of organic waste as fertilizers.
TA5.14;Circular economy: Scale-up and promote sustainable and socially responsible production methods and circular business models in food processing and retail.;TA3.13;By 2030, Union recycling capacity, including for all intermediate recycling steps, should be able of producing at least 25% of the Union’s annual consumption of strategic raw materials;+;2;The implementation of TA5.14 will likely reinforce TA3.13, as the promotion of circular economy in food processing and retail can lead to increased recycling capacity for strategic raw materials.
TA5.17;Sectorial growth: Help farmers and fishers to strengthen their position in the supply chain and to capture a fair share of the added value of sustainable production;TA3.16;Producers of portable batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets for waste portable batteries;+;1;The implementation of TA5.17 will likely enable TA3.16, as the strengthening of farmers' and fishers' position in the supply chain can lead to increased collection targets for waste portable batteries.
TA5.18;Market power and business structure: Improve agricultural rules that strengthen the position of farmers (e.g. producers of products with geographical indications), their cooperatives and producer organisations in the food supply chain.;TA3.20;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025- 75% by average weight of lead-acid batteries- 80% by average weight of nickel-cadmium batteries - 50% by average weight of other waste batteries;+;1;The implementation of TA5.18 will likely enable TA3.20, as improved agricultural rules can lead to increased recycling efficiency for various types of waste batteries.
TA5.20;Trade: Foster the competitiveness of the EU supply sector.;TA3.30;Each Member State shall reduce the packaging waste generated per capita, as compared to the packaging waste generated per capita in 2018 as reported to the Commission in accordance with Decision 2005/270/EC by 5% by 2030, 10% by 2035, 15% by 2040;+;1;The implementation of TA5.20 will likely reinforce TA3.30, as the competitiveness of the EU supply sector can lead to reduced packaging waste generation.
TA5.35;Preparedness, shock resilience, adaptation and transformation: Strengthen the resilience of the EU food system. Build up resilience to climate change, possible future diseases and pandemics. Increasing the sustainability of food producers will ultimately increase their resilience.;TA3.24;Reduce the generation of food waste in processing and manufacturing by 10% in comparison to the amount generated in 2020;+;2;The implementation of TA5.35 will likely reinforce TA3.24, as the strengthening of the EU food system's resilience can lead to reduced food waste generation in processing and manufacturing.
TA5.21;Digitalisation and knowledge transfer. Ensure access to fast broadband to all farmers and all rural areas to achieve the objective of 100% access by 2025;TA3.11;Diversify the Union’s imports of strategic raw materials with a view to ensuring that, by 2030, the Union’s annual consumption of each strategic raw material at any relevant stage of processing can rely on imports from several third countries;+;1;The implementation of TA5.21 will likely enable TA3.11, as digitalisation and knowledge transfer can facilitate the diversification of imports of strategic raw materials.
TA5.19;Price: Preserve the price affordability of food.;TA3.29;Member States shall take measures to achieve a sustained reduction in the consumption of lightweight plastic carrier bags on their territory.;+;1;The implementation of TA5.19 will likely reinforce TA3.29, as preserving price affordability of food can lead to reduced consumption of lightweight plastic carrier bags.
TA5.29;Food availability: Improve availability of sustainable food. Ensure that the healthy option is always the easiest one. Ensure food supply.;TA3.1;Halve the amount of residual (non-recycled) municipal waste by 2030;+;2;The implementation of TA5.29 will likely reinforce TA3.1, as improved food availability can lead to reduced municipal waste generation.
TA5.30;Food affordability: Ensure affordability to sufficient, nutritious and sustainable food;TA3.32;Member States shall take the necessary measures to attain a recycling target of 50% of plastic by weight of plastic contained in packaging waste generated by 31 December 2025, and of 55% by weight of plastic in packaging waste generated by 31 December 2030.;+;1;The implementation of TA5.30 will likely enable TA3.32, as ensuring food affordability can lead to increased recycling targets for plastic in packaging waste.
TA5.32;Food security: Ensuring food security and access to quality, safe, sustainable, nutritious food for all.;TA3.33;Member States shall take the necessary measures to attain a recycling target of 25% of wood by weight of wood contained in packaging waste generated by 31 December 2025 and of 30% by 31 December 2030;+;1;The implementation of TA5.32 will likely reinforce TA3.33, as food security can lead to increased recycling targets for wood in packaging waste.
TA5.12;Genetic biodiversity of food production systems: Secure and ensure access to a range of quality seeds for plant varieties in order to adapt to the pressures of climate change.;TA3.52;At least 20% of the carbon used in the chemical and plastic products should be from sustainable non-fossil sources by 2030;+;2;The implementation of TA5.12 will likely reinforce TA3.52, as genetic biodiversity conservation can lead to increased use of sustainable non-fossil sources in chemical and plastic products.
TA5.15;Consumption footprint: Reduce the environmental and climate footprint of the EU food system, operating within planetary boundaries. Reduce the EU’s contribution to global deforestation and forest degradation.;TA3.38;Each vehicle belonging to a vehicle type that is type-approved as of [the first day of the month following 72 months after the date of entry into force of this Regulation] under Regulation (EU) 2018/858 shall be constructed so that it is: (a) reusable/recyclable to a minimum of 85% by mass, (b) reusable/recoverable to a minimum of 95 % by mass.;+;1;The implementation of TA5.15 will likely enable TA3.38, as reduced consumption footprint can lead to increased recyclability and reusability of vehicles.
TA5.6;Aquatic living resources: Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture;TA3.48;The plastic contained in each vehicle type that is type-approved as of [the first day of the month following 72 months after the date of entry into force of the Regulation] under Regulation (EU) 2018/858 shall contain a minimum of 25 % of plastic recycled by weight from post-consumer plastic waste;+;1;The implementation of TA5.6 will likely reinforce TA3.48, as sustainable fishing and aquaculture can lead to increased use of recycled plastic in vehicles.
TA5.9;Increase organic farming with the aim to achieve at least 25% of total farmland under organic farming by 2030;TA3.50;Member States shall ensure that the following targets are met by the waste management operators: (a) the reuse and recovery, as calculated together, shall be a minimum of 95 %, by average weight per vehicle, excluding batteries, and year, (b) the reuse and recycling, as calculated together, shall be a minimum of 85 %, by average weight per vehicle, excluding batteries, and year.;+;2;The implementation of TA5.9 will likely reinforce TA3.50, as increased organic farming can lead to improved waste management practices, including reuse and recycling.
TA5.2;Reduce overall EU sales of antimicrobials for farmed animals and in aquaculture by 50% by 2030.;TA3.51;Member States shall ensure that waste management operators achieve a yearly target for the recycling of plastics of at least 30 % of the total weight of plastics contained in the vehicles delivered to the waste management operators.;+;1;The implementation of TA5.2 will likely enable TA3.51, as reduced antimicrobial use can lead to increased recycling targets for plastics.
TA5.25;Animal welfare: Promote better animal welfare to improve animal health and food quality.;TA3.11;Diversify the Union’s imports of strategic raw materials with a view to ensuring that, by 2030, the Union’s annual consumption of each strategic raw material at any relevant stage of processing can rely on imports from several third countries;+;1;The implementation of TA5.25 will likely reinforce TA3.11, as improved animal welfare can lead to increased diversification of imports of strategic raw materials.
TA5.27;Food messaging: Provide food information and labelling to empower consumers to make informed, healthy and sustainable food choices. Strengthen educational messages on the importance of healthy nutrition, sustainable food production and consumption, and reducing food waste;TA3.29;Member States shall take measures to achieve a sustained reduction in the consumption of lightweight plastic carrier bags on their territory.;+;1;The implementation of TA5.27 will likely reinforce TA3.29, as food messaging can lead to reduced consumption of lightweight plastic carrier bags.
TA5.31;Properties of food: Increase reformulation of food products in line with guidelines for healthy and sustainable diets;TA3.20;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025- 75% by average weight of lead-acid batteries- 80% by average weight of nickel-cadmium batteries - 50% by average weight of other waste batteries;+;1;The implementation of TA5.31 will likely enable TA3.20, as food reformulation can lead to increased recycling efficiency for various types of waste batteries.
TA5.33;Nutrition and healthy, sustainable diets: Move to healthier and more sustainable diets.;TA3.32;Member States shall take the necessary measures to attain a recycling target of 50% of plastic by weight of plastic contained in packaging waste generated by 31 December 2025, and of 55% by weight of plastic in packaging waste generated by 31 December 2030;+;1;The implementation of TA5.33 will likely reinforce TA3.32, as healthier and more sustainable diets can lead to increased recycling targets for plastic in packaging waste.
TA5.34;Health impact of diets: Reversing of the rise in overweight and obesity rates across the EU by 2030;TA3.1;Halve the amount of residual (non-recycled) municipal waste by 2030;+;2;The implementation of TA5.34 will likely reinforce TA3.1, as reversing the rise in overweight and obesity rates can lead to reduced municipal waste generation.
TA5.7;Ensure that agriculture, fisheries and aquaculture, and the food value chain contribute to the target of reducing net greenhouse gas emissions to at least 55% below 1990 levels by 2030 and to the achievement of the objective for a climate-neutral Union in 2050;TA3.30;Each Member State shall reduce the packaging waste generated per capita, as compared to the packaging waste generated per capita in 2018 as reported to the Commission in accordance with Decision 2005/270/EC by 5% by 2030, 10% by 2035, 15% by 2040;+;1;The implementation of TA5.7 will likely reinforce TA3.30, as the contribution of the food value chain to climate neutrality can lead to reduced packaging waste generation.
TA5.3;Reduce nutrient losses by at least 50%, while ensuring that there is no deterioration in soil fertility.;TA3.27;All packaging shall be recyclable;+;1;The implementation of TA5.3 will likely enable TA3.27, as reduced nutrient losses can lead to increased recyclability of packaging.
TA5.8;Water: Preserving freshwater, boosting water reuse in agriculture.;TA3.28;The plastic part in packaging shall contain the following minimum percentage of recycled content recovered from post-consumer plastic waste;+;1;The implementation of TA5.8 will likely reinforce TA3.28, as water preservation and reuse can lead to increased use of recycled content in packaging.
TA5.4;Reduce by 50% the use of more hazardous pesticides;TA3.38;Each vehicle belonging to a vehicle type that is type-approved as of [the first day of the month following 72 months after the date of entry into force of this Regulation] under Regulation (EU) 2018/858 shall be constructed so that it is: (a) reusable/recyclable to a minimum of 85% by mass, (b) reusable/recoverable to a minimum of 95 % by mass.;+;1;The implementation of TA5.4 will likely enable TA3.38, as reduced use of hazardous pesticides can lead to increased recyclability and reusability of vehicles.
TA5.5;Reduce by 50% the use and risk of chemical pesticides;TA3.50;Member States shall ensure that the following targets are met by the waste management operators: (a) the reuse and recovery, as calculated together, shall be a minimum of 95 %, by average weight per vehicle, excluding batteries, and year, (b) the reuse and recycling, as calculated together, shall be a minimum of 85 %, by average weight per vehicle, excluding batteries, and year.;+;1;The implementation of TA5.5 will likely reinforce TA3.50, as reduced use of chemical pesticides can lead to improved waste management practices, including reuse and recycling.
TA5.10;Energy: Increase renewable energy in the agriculture and food sector. Adopt energy efficiency solutions in the agriculture and food sector, by reducing energy consumption.;TA3.24;Reduce the generation of food waste in processing and manufacturing by 10% in comparison to the amount generated in 2020;+;1;The implementation of TA5.10 will likely enable TA3.24, as increased renewable energy and energy efficiency can lead to reduced food waste generation.
TA5.16;Income distribution: Ensure fair income and salaries. Improve income of primary producers to ensure their sustainable livelihood.;TA3.25;Reduce the generation of food waste per capita, jointly in retail and other distribution of food, in restaurants and food services and in households, by 30% in comparison to the amount generated in 2020;+;1;The implementation of TA5.16 will likely reinforce TA3.25, as fair income distribution can lead to reduced food waste generation.
TA5.23;Employment and working conditions: Create new job opportunities. Improve working conditions, ensure occupation health and safety.;TA3.30;Each Member State shall reduce the packaging waste generated per capita, as compared to the packaging waste generated per capita in 2018 as reported to the Commission in accordance with Decision 2005/270/EC by 5% by 2030, 10% by 2035, 15% by 2040;+;1;The implementation of TA5.23 will likely reinforce TA3.30, as improved employment and working conditions can lead to reduced packaging waste generation.
TA5.24;Social protection and poverty: Ensure fair, inclusive and ethical value chains. Ensure workers’ social protection and housing conditions, promote socially responsible production methods, Mitigate the socio-economic consequences impacting the food chain and ensure that the key principles enshrined in the European Pillar of Social Rights are respected, especially when it comes to precarious, seasonal and undeclared workers.;TA3.29;Member States shall take measures to achieve a sustained reduction in the consumption of lightweight plastic carrier bags on their territory.;+;1;The implementation of TA5.24 will likely reinforce TA3.29, as fair and inclusive value chains can lead to reduced consumption of lightweight plastic carrier bags.
TA5.22;Transport, accessibility and infrastructure: Create shorter supply chains will support reducing dependence on long-haul transportation.;TA3.11;Diversify the Union’s imports of strategic raw materials with a view to ensuring that, by 2030, the Union’s annual consumption of each strategic raw material at any relevant stage of processing can rely on imports from several third countries;+;1;The implementation of TA5.22 will likely enable TA3.11, as shorter supply chains can facilitate the diversification of imports of strategic raw materials.
TA5.13;Reduce food waste. Prevent food loss and waste. Halve per capita food waste at retail and consumer levels*;TA3.32;Member States shall take the necessary measures to attain a recycling target of 50% of plastic by weight of plastic contained in packaging waste generated by 31 December 2025, and of 55% by weight of plastic in packaging waste generated by 31 December 2030;+;1;The implementation of TA5.13 will likely reinforce TA3.32, as reduced food waste can lead to increased recycling targets for plastic in packaging waste.
