source_target;source_target_content;impact_target;impact_target_content;impact_type;impact_weight;justification
TA5.11;Biodiversity conservation and restoration of natural resources: Protect the environment and restore natural resources. Preserve biodiversity and reduce biodiversity loss.;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;+;2;The implementation of TA5.11 will support the achievement of TA6.1 by protecting and restoring natural habitats, which will contribute to the preservation of biodiversity and the protection of 30% of the EU's land area.
TA5.11;Biodiversity conservation and restoration of natural resources: Protect the environment and restore natural resources. Preserve biodiversity and reduce biodiversity loss.;TA6.3;2.a Strictly protect at least a third of the EU'S protected areas;+;2;The implementation of TA5.11 will support the achievement of TA6.3 by protecting and restoring natural habitats, which will contribute to the preservation of biodiversity and the protection of at least a third of the EU's protected areas.
TA5.11;Biodiversity conservation and restoration of natural resources: Protect the environment and restore natural resources. Preserve biodiversity and reduce biodiversity loss.;TA6.9;6. The risk and use of chemical pesticides is reduced by 50%, and the use of more hazardous pesticides is reduced by 50%;+;2;The implementation of TA5.11 will support the achievement of TA6.9 by reducing the use of chemical pesticides and promoting sustainable agricultural practices, which will contribute to the reduction of the risk and use of chemical pesticides.
TA5.11;Biodiversity conservation and restoration of natural resources: Protect the environment and restore natural resources. Preserve biodiversity and reduce biodiversity loss.;TA6.29;Terrestrial ecosystems. Member States shall put in place [...] measures [...] to jointly cover, as a Union target, throughout the areas and ecosystems [...] defined in Art. 2, by 2030, at least 20% of land areas in need of restoration and, by 2050, all ecosystems in need of restoration.;+;2;The implementation of TA5.11 will support the achievement of TA6.29 by promoting the restoration of degraded ecosystems and the protection of biodiversity, which will contribute to the restoration of at least 20% of land areas in need of restoration by 2030.
TA5.14;Circular economy: Scale-up and promote sustainable and socially responsible production methods and circular business models in food processing and retail.;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;-;1;The implementation of TA5.14 may have a negative impact on TA6.1, as the promotion of circular economy and sustainable production methods may lead to increased land use and competition for land, potentially threatening the protection of 30% of the EU's land area.
TA5.17;Sectorial growth: Help farmers and fishers to strengthen their position in the supply chain and to capture a fair share of the added value of sustainable production;TA6.44;(agricultural ecosystems) Member States shall put in place measures which shall aim to achieve an increasing trend at national level of at least two out of the three following indicators in agricultural ecosystems;+;1;The implementation of TA5.17 will support the achievement of TA6.44 by promoting sustainable agricultural practices and improving the position of farmers and fishers in the supply chain, which will contribute to an increasing trend in at least two of the three indicators in agricultural ecosystems.
TA5.18;Market power and business structure: Improve agricultural rules that strengthen the position of farmers (e.g. producers of products with geographical indications), their cooperatives and producer organisations in the food supply chain.;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;+;1;The implementation of TA5.18 will support the achievement of TA6.1 by promoting sustainable agricultural practices and improving market power and business structure, which will contribute to the protection of 30% of the EU's land area.
TA5.20;Trade: Foster the competitiveness of the EU supply sector.;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;-;1;The implementation of TA5.20 may have a negative impact on TA6.1, as the promotion of trade and competitiveness may lead to increased land use and competition for land, potentially threatening the protection of 30% of the EU's land area.
TA5.35;Preparedness, shock resilience, adaptation and transformation: Strengthen the resilience of the EU food system. Build up resilience to climate change, possible future diseases and pandemics. Increasing the sustainability of food producers will ultimately increase their resilience.;TA6.9;6. The risk and use of chemical pesticides is reduced by 50%, and the use of more hazardous pesticides is reduced by 50%;+;1;The implementation of TA5.35 will support the achievement of TA6.9 by promoting sustainable agricultural practices and reducing the use of chemical pesticides, which will contribute to the reduction of the risk and use of chemical pesticides.
TA5.21;Digitalisation and knowledge transfer. Ensure access to fast broadband to all farmers and all rural areas to achieve the objective of 100% access by 2025 (enabler for jobs, businesses, investments, improvement in quality of life in rural areas and enabler to mainstream precision farming and use of artificial intelligence;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;+;1;The implementation of TA5.21 will support the achievement of TA6.1 by promoting digitalisation and knowledge transfer, which will contribute to the protection of 30% of the EU's land area.
