TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA5.11;Biodiversity conservation and restoration of natural resources: Protect the environment and restore natural resources. Preserve biodiversity and reduce biodiversity loss.;+;2;The reduction of GHG emissions will reinforce biodiversity conservation and restoration of natural resources by reducing pollution and preserving ecosystems, which in turn will support the achievement of the biodiversity target.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA5.14;Circular economy: Scale-up and promote sustainable and socially responsible production methods and circular business models in food processing and retail.;+;1;Reducing GHG emissions will enable the transition to a circular economy in the food sector by promoting sustainable production and consumption patterns, reducing waste, and increasing recycling.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA5.17;Sectorial growth: Help farmers and fishers to strengthen their position in the supply chain and to capture a fair share of the added value of sustainable production;+;1;The reduction of GHG emissions will enable farmers and fishers to adopt more sustainable production methods, increasing their competitiveness and resilience in the supply chain.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA5.20;Trade: Foster the competitiveness of the EU supply sector.;+;1;Reducing GHG emissions will enable the EU to increase its competitiveness in the global market, fostering trade and economic growth while promoting sustainable development.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA5.35;Preparedness, shock resilience, adaptation and transformation: Strengthen the resilience of the EU food system. Build up resilience to climate change, possible future diseases and pandemics. Increasing the sustainability of food producers will ultimately increase their resilience.;+;2;The reduction of GHG emissions will reinforce the resilience of the EU food system by promoting sustainable agriculture, reducing the impact of climate change, and increasing the ability of farmers to adapt to changing conditions.
TA1.8;Reach energy neutrality in the wastewater treatment sector by 2045.;TA5.21;Digitalisation and knowledge transfer. Ensure access to fast broadband to all farmers and all rural areas to achieve the objective of 100% access by 2025 (enabler for jobs, businesses, investments, improvement in quality of life in rural areas and enabler to mainstream precision farming and use of artificial intelligence);+;1;Reaching energy neutrality in the wastewater treatment sector will enable the adoption of digital technologies, such as precision farming and artificial intelligence, in rural areas, improving the efficiency and sustainability of agricultural practices.
TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005;TA5.29;Food availability: Improve availability of sustainable food. Ensure that the healthy option is always the easiest one. Ensure food supply.;+;1;The EU ETS will enable the improvement of food availability by promoting sustainable food production and consumption patterns, reducing GHG emissions, and increasing the competitiveness of the EU food sector.
TA1.11;ESR. Increased national targets in line with an EU- wide reduction of 40% in the ESR sectors compared to 2005;TA5.30;Food affordability: Ensure affordability to sufficient, nutritious and sustainable food;+;1;Increasing national targets in the ESR sectors will enable the improvement of food affordability by reducing energy consumption, promoting sustainable production methods, and increasing the competitiveness of the EU food sector.
TA1.13;No debit rule. For the period from 2021 to 2025, each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals;TA5.32;Food security: Ensuring food security and access to quality, safe, sustainable, nutritious food for all.;+;2;The no-debit rule will reinforce food security by promoting sustainable agriculture, reducing GHG emissions, and increasing the resilience of the food system to climate change.
TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, by 2030;TA5.6;Aquatic living resources: Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture;+;1;Reducing buildings' GHG emissions will enable the promotion of sustainable fishing and aquaculture practices, increasing the competitiveness of the EU food sector and promoting sustainable development.
TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;TA5.9;Increase organic farming with the aim to achieve at least 25% of total farmland under organic farming by 2030 Target in Common with Biodiversity Strategy (see Thematic Area 6);+;1;The ETS2 will enable the increase of organic farming by promoting sustainable production methods, reducing GHG emissions, and increasing the competitiveness of the EU food sector.
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030;TA5.2;Reduce overall EU sales of antimicrobials for farmed animals and in aquaculture by 50% by 2030.;+;2;Achieving net GHG removal in the LULUCF sector will reinforce the reduction of antimicrobial use in animal farming, promoting sustainable agriculture and reducing the environmental impact of farming practices.
TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;TA5.25;Animal welfare: Promote better animal welfare to improve animal health and food quality.;+;1;Reducing methane emissions will enable the promotion of better animal welfare by reducing the environmental impact of animal farming and increasing the competitiveness of the EU food sector.
TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;TA5.27;Food messaging: Provide food information and labelling to empower consumers to make informed, healthy and sustainable food choices. Strengthen educational messages on the importance of healthy nutrition, sustainable food production and consumption, and reducing food waste;+;1;The ETS2 will enable the promotion of sustainable food choices by providing consumers with accurate information and promoting sustainable food production and consumption patterns.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA5.33;Nutrition and healthy, sustainable diets: Move to healthier and more sustainable diets.;+;2;The reduction of GHG emissions will reinforce the transition to healthier and more sustainable diets by promoting sustainable food production and consumption patterns, reducing waste, and increasing recycling.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA5.34;Health impact of diets: Reversing of the rise in overweight and obesity rates across the EU by 2030;+;2;The reduction of GHG emissions will reinforce the improvement of public health by promoting sustainable food production and consumption patterns, reducing pollution, and increasing the competitiveness of the EU food sector.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA5.7;Ensure that agriculture, fisheries and aquaculture, and the food value chain contribute to the target of reducing net greenhouse gas emissions to at least 55% below 1990 levels by 2030 and to the achievement of the objective for a climate-neutral Union in 2050.;+;3;The reduction of GHG emissions is indivisible from the achievement of the climate-neutral Union objective, as it will require a fundamental transformation of the EU's energy and food systems.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA5.3;Reduce nutrient losses by at least 50%, while ensuring that there is no deterioration in soil fertility.;+;2;The reduction of GHG emissions will reinforce the reduction of nutrient losses by promoting sustainable agriculture, reducing pollution, and increasing the competitiveness of the EU food sector.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA5.8;Water: Preserving freshwater, boosting water reuse in agriculture.;+;1;The reduction of GHG emissions will enable the preservation of freshwater resources by promoting sustainable water management practices, reducing pollution, and increasing the competitiveness of the EU food sector.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA5.4;Reduce by 50% the use of more hazardous pesticides Target in Common with Biodiversity Strategy (see Thematic Area 6) and Zero Pollution Action Plan (see Thematic Area 7);+;2;The reduction of GHG emissions will reinforce the reduction of hazardous pesticide use by promoting sustainable agriculture, reducing pollution, and increasing the competitiveness of the EU food sector.
