source_target;source_target_content;impact_target;impact_target_content;impact_type;impact_weight;justification
TA4.1;Achieve an annual production of sustainable biomethane of 35 billion cubic meters by 2030;TA5.11;Biodiversity conservation and restoration of natural resources: Protect the environment and restore natural resources. Preserve biodiversity and reduce biodiversity loss.;+;1;The production of sustainable biomethane can contribute to the reduction of greenhouse gas emissions and support the protection of biodiversity by promoting sustainable land use and reducing the environmental impact of agriculture.
TA4.7;Each Member State shall set an obligation on fuel suppliers to ensure that: (B) the combined share of advanced biofuels and biogas produced from the feedstock listed in Part A of Annex IX and of renewable fuels of non-biological origin in the energy supplied to the transport sector is at least 1% in 2025 and 5.5% in 2030, of which a share of at least 1 percentage point is from renewable fuels of non-biological origin in 2030. Directive (EU) 2023/2413;TA5.14;Circular economy: Scale-up and promote sustainable and socially responsible production methods and circular business models in food processing and retail.;+;2;The implementation of advanced biofuels and renewable fuels of non-biological origin can support the development of a circular economy in the food sector by promoting the use of waste and residual biomass as feedstock for the production of biofuels.
TA4.18;The share of biofuels and biogas produced from the feedstock listed in Part B of Annex IX in the energy content of fuels and electricity supplied to the transport sector shall, except in Cyprus and Malta, be limited to 1.7%. Directive (EU) 2023/2413;TA5.17;Sectorial growth: Help farmers and fishers to strengthen their position in the supply chain and to capture a fair share of the added value of sustainable production;+;1;Limiting the share of biofuels and biogas produced from the feedstock listed in Part B of Annex IX can help to promote sustainable production methods and support the growth of the sector by ensuring that farmers and fishers receive a fair share of the added value.
TA4.5;Aviation fuel suppliers shall also ensure that Sustainable Aviation Fuel (SAF) made available to aircraft operators at each Union airport will be at least 2% from 2025, 6% from 2030, 20% from 2035, 34% from 2040, 42% from 2045 and 70% from 2050. Regulation (EU) 2023/2405;TA5.20;Trade: Foster the competitiveness of the EU supply sector.;+;2;The development of Sustainable Aviation Fuels can support the competitiveness of the EU supply sector by promoting the use of innovative and sustainable technologies and creating new market opportunities.
TA4.19;The yearly quantity of aviation fuel uplifted by a given aircraft operator at a given Union airport shall be at least 90% of the yearly aviation fuel required, to avoid tankering practices which would bring additional emissions from extra weight. Regulation (EU) 2023/2405;TA5.21;Digitalisation and knowledge transfer. Ensure access to fast broadband to all farmers and all rural areas to achieve the objective of 100% access by 2025 (enabler for jobs, businesses, investments, improvement in quality of life in rural areas and enabler to mainstream precision farming and use of artificial intelligence;+;1;The implementation of digital solutions in aviation can support the development of digitalisation and knowledge transfer in rural areas by promoting the use of precision farming and artificial intelligence in agriculture.
TA4.32;States shall ensure that, at all airports of the TEN-T core network and TEN-T comprehensive network, the provision of electricity supply to stationary aircraft is ensured by 31 December 2029, at all aircraft remote stands used for commercial air transport operations to embark or disembark passengers or to load or unload goods Regulation (EU) 2023/1804;TA5.35;Preparedness, shock resilience, adaptation and transformation: Strengthen the resilience of the EU food system. Build up resilience to climate change, possible future diseases and pandemics. Increasing the sustainability of food producers will ultimately increase their resilience.;+;2;The provision of electricity supply to aircraft can support the development of sustainable food systems by promoting the use of renewable energy sources and reducing greenhouse gas emissions.
TA4.33;Member States shall ensure that at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T core inland waterway ports by 1 January 2025, at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T comprehensive inland waterway ports by 1 January 2030. Regulation (EU) 2023/1804;TA5.16;Income distribution: Ensure fair income and salaries. Improve income of primary producers to ensure their sustainable livelihood.;+;1;The deployment of shore-side electricity supply to inland waterway vessels can support the improvement of income distribution by promoting the development of sustainable and resilient food systems and ensuring that primary producers receive a fair income.
TA4.34;Member States shall ensure that a minimum shore-side electricity supply for seagoing container ships and seagoing passenger ships is provided in TEN-T maritime ports. To that end, by 31 December 2029 TEN-T core and comprehensive maritime ports [...] are equipped to provide each year shore-side electricity supply for at least 90 % of the total number of port calls of seagoing container ships above 5.000 gross tonnes that are moored at the quayside at the maritime port concerned and 90% of the total number of port calls of seagoing ro-ro passenger ships above 5.000 gross tonnes and seagoing high-speed passenger craft above 5.000 gross tonnes that are moored at the quayside at the maritime port concerned Regulation (EU) 2023/1804;TA5.25;Animal welfare: Promote better animal welfare to improve animal health and food quality.;+;1;The provision of shore-side electricity supply to seagoing vessels can support the promotion of animal welfare by reducing the environmental impact of maritime transport and promoting sustainable and resilient food systems.
TA4.10;EU fisheries are encouraged to continue the positive trend, as observed for the period 2009-2019, towards reducing fuel intensity by reducing the fossil-fuel consumption per kg of landed product for at least an additional 15% for the period 2019-2030. Energy Transition of the EU Fisheries and Aquaculture sector;TA5.30;Food affordability: Ensure affordability to sufficient, nutritious and sustainable food;+;2;The reduction of fuel intensity in the fisheries sector can support the development of sustainable and resilient food systems by promoting the use of renewable energy sources and reducing greenhouse gas emissions, which can contribute to ensuring food affordability.
TA4.25;Member States shall ensure that, at the end of each year, the following power output targets are met cumulatively: (a) for each light-duty battery electric vehicle registered in their territory, a total power output of at least 1.3 kW is provided through publicly accessible recharging stations, and (b) for each light-duty plug-in hybrid vehicle registered in their territory, a total power output of at least 0.80 kW is provided through publicly accessible recharging stations. Regulation (EU) 2023/1804;TA5.12;Genetic biodiversity of food production systems: Secure and ensure access to a range of quality seeds for plant varieties in order to adapt to the pressures of climate change.;+;1;The deployment of publicly accessible recharging stations can support the development of sustainable food systems by promoting the use of electric and hybrid vehicles, which can contribute to the conservation of genetic biodiversity.
TA4.26;Member States shall ensure that along the TEN-T core and comprehensive network, publicly accessible recharging pools dedicated to light-duty vehicles deployed in each direction of travel with a maximum distance of 60 km in-between them offering a power output of at least 600kW and including at least one recharging point with an individual power output of at least 150 kW. Regulation (EU) 2023/1804;TA5.27;Food messaging: Provide food information and labelling to empower consumers to make informed, healthy and sustainable food choices. Strengthen educational messages on the importance of healthy nutrition, sustainable food production and consumption, and reducing food waste;+;2;The development of publicly accessible recharging pools can support the promotion of sustainable food choices by providing consumers with information on the environmental impact of their food choices and promoting the development of sustainable food systems.
TA4.27;Member States shall ensure that, by 31 December 2030 (with intermediate 2025 and 2027 targets), along the TEN-T core road network, publicly accessible recharging pools dedicated to heavy-duty electric vehicles are deployed in each direction of travel with a maximum distance of 60 km between them [...]. Along the TEN-T comprehensive road network, recharging pools dedicated to heavy-duty electric vehicles are deployed in each direction of travel with a maximum distance of 100 km between them and each recharging pool offers a power output of at least 1.500 kW and includes at least one recharging point with an individual power output of at least 350 kW. Regulation (EU) 2023/1804;TA5.31;Properties of food: Increase reformulation of food products in line with guidelines for healthy and sustainable diets;+;1;The deployment of recharging pools for heavy-duty electric vehicles can support the development of sustainable food systems by promoting the use of renewable energy sources and reducing greenhouse gas emissions, which can contribute to the reformulation of food products.
TA4.28;By 31 December 2030, in each safe and secure parking area at least four publicly accessible recharging stations dedicated to heavy-duty electric vehicles with an individual power output of at least 100 kW are deployed. Regulation (EU) 2023/1804;TA5.33;Nutrition and healthy, sustainable diets: Move to healthier and more sustainable diets.;+;2;The deployment of publicly accessible recharging stations in parking areas can support the promotion of healthy and sustainable diets by providing consumers with information on the environmental impact of their food choices and promoting the development of sustainable food systems.
TA4.29;By 31 December 2030, in each urban node publicly accessible recharging points dedicated to heavy-duty electric vehicles with an aggregated power output of at least 1 800 kW are deployed, provided by recharging stations with an individual power output of at least 150 kW. Regulation (EU) 2023/180;TA5.7;Ensure that agriculture, fisheries and aquaculture, and the food value chain contribute to the target of reducing net greenhouse gas emissions to at least 55% below 1990 levels by 2030 and to the achievement of the objective for a climate-neutral Union in 2050.;+;3;The deployment of publicly accessible recharging points in urban nodes can support the development of sustainable food systems by promoting the use of renewable energy sources and reducing greenhouse gas emissions, which can contribute to the achievement of climate neutrality.
TA4.15;The average CO2 emissions of the Union fleet of new heavy-duty motor vehicles [...], off-road vehicles and off-road special purpose vehicles shall be reduced by the following percentages compared to the average CO2 emissions of the reporting period of the year 2019: (a) 15% for vehicle sub-groups 4-UD, 4-RD, 4-LH, 5-RD, 5-LH, 9-RD, 9-LH, 10-RD and 10-LH for the reporting periods of the years 2025 to 2029, (b) 45% for all vehicle sub-groups other than vocational vehicles for the reporting periods of the years 2030 to 2034, (c) 65% for all vehicle sub-groups for the reporting periods of the years 2035 to 2039, (d) 90% for all vehicle sub-groups for the reporting periods of the year 2040 onwards Regulation (EU) 2024/1610;TA5.3;Reduce nutrient losses by at least 50%, while ensuring that there is no deterioration in soil fertility.;+;2;The reduction of CO2 emissions from heavy-duty vehicles can support the development of sustainable food systems by promoting the use of renewable energy sources and reducing greenhouse gas emissions, which can contribute to the reduction of nutrient losses.
TA4.3;The yearly average GHG intensity of the energy used on board by a ship during a reporting period shall be reduced, compared to the reference value (91.16 gCO2e/MJ) by: 2% from 1 January 2025, 6% from 1 January 2030, 14.5% from 1 January 2035, 31% from 1 January 2040, 62% from 1 January 2045, 80% from 1 January 2050. Regulation (EU) 2023/1805;TA5.8;Water: Preserving freshwater, boosting water reuse in agriculture.;+;1;The reduction of GHG intensity of ships can support the development of sustainable food systems by promoting the use of renewable energy sources and reducing greenhouse gas emissions, which can contribute to the preservation of freshwater and the promotion of water reuse in agriculture.
TA4.9;Cut the emissions of transport sector by 90% by 2050 relative to 1990. Sustainable and Smart Mobility Strategy;TA5.4;Reduce by 50% the use of more hazardous pesticides Target in Common with Biodiversity Strategy (see Thematic Area 6) and Zero Pollution Action Plan (see Thematic Area 7);+;2;The reduction of emissions from the transport sector can support the development of sustainable food systems by promoting the use of renewable energy sources and reducing greenhouse gas emissions, which can contribute to the reduction of the use of hazardous pesticides.
TA4.30;Member States shall ensure that, by 31 December 2030, at least one publicly accessible hydrogen refuelling station is deployed in each urban node. Regulation (EU) 2023/1804;TA5.35;Preparedness, shock resilience, adaptation and transformation: Strengthen the resilience of the EU food system. Build up resilience to climate change, possible future diseases and pandemics. Increasing the sustainability of food producers will ultimately increase their resilience.;+;1;The deployment of hydrogen refuelling stations can support the development of sustainable food systems by promoting the use of renewable energy sources and reducing greenhouse gas emissions, which can contribute to the strengthening of the resilience of the EU food system.
TA4.31;Member States shall ensure that, by 31 December 2030, publicly accessible hydrogen refuelling stations with a total capacity of at least 1 tonne per day, and equipped with at least a 700 bar dispenser, are deployed at least every 200 km along the TEN-T (Trans-European Transport Network) core network Regulation (EU) 2023/1804;TA5.16;Income distribution: Ensure fair income and salaries. Improve income of primary producers to ensure their sustainable livelihood.;+;2;The deployment of hydrogen refuelling stations along the TEN-T core network can support the improvement of income distribution by promoting the development of sustainable and resilient food systems and ensuring that primary producers receive a fair income.
