source_target;source_target_content;impact_target;impact_target_content;impact_type;impact_weight;justification
TA4.1;Achieve an annual production of sustainable biomethane of 35 billion cubic meters by 2030;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;+;2;The production of sustainable biomethane requires large areas of land for feedstock production, which could lead to land-use changes and potentially conflict with the goal of protecting 30% of the EU's land area.
TA4.7;Each Member State shall set an obligation on fuel suppliers to ensure that: (B) the combined share of advanced biofuels and biogas produced from the feedstock listed in Part A of Annex IX and of renewable fuels of non-biological origin in the energy supplied to the transport sector is at least 1% in 2025 and 5.5% in 2030, of which a share of at least 1 percentage point is from renewable fuels of non-biological origin in 2030. Directive (EU) 2023/2413;TA6.3;2.a Strictly protect at least a third of the EU'S protected areas;+;2;The use of advanced biofuels and renewable fuels of non-biological origin could lead to an increased demand for biomass, potentially threatening protected areas and their biodiversity.
TA4.18;The share of biofuels and biogas produced from the feedstock listed in Part B of Annex IX in the energy content of fuels and electricity supplied to the transport sector shall, except in Cyprus and Malta, be limited to 1.7%. Directive (EU) 2023/2413;TA6.8;5. The decline of pollinators is reversed;+;1;The limitation on biofuels produced from certain feedstocks could help reduce the pressure on pollinators and their habitats, thus supporting the reversal of their decline.
TA4.5;Aviation fuel suppliers shall also ensure that Sustainable Aviation Fuel (SAF) made available to aircraft operators at each Union airport will be at least 2% from 2025, 6% from 2030, 20% from 2035, 34% from 2040, 42% from 2045 and 70% from 2050. Regulation (EU) 2023/2405;TA6.33;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures for the terrestrial, coastal and freshwater habitats of the species listed in Annexes II, IV and V;+;3;The production of SAF could lead to an increased demand for biomass, potentially supporting the restoration of degraded ecosystems and habitats.
TA4.19;The yearly quantity of aviation fuel uplifted by a given aircraft operator at a given Union airport shall be at least 90% of the yearly aviation fuel required, to avoid tankering practices which would bring additional emissions from extra weight. Regulation (EU) 2023/2405;TA6.40;(pollinator) Member States shall, by putting in place in a timely manner appropriate and effective measures, improve pollinator diversity and reverse the decline of pollinator populations;+;1;The reduction of tankering practices could lead to a decrease in energy consumption and emissions, potentially supporting the improvement of pollinator diversity and the reversal of their decline.
TA4.32;States shall ensure that, at all airports of the TEN-T core network and TEN-T comprehensive network, the provision of electricity supply to stationary aircraft is ensured by 31 December 2029, at all aircraft remote stands used for commercial air transport operations to embark or disembark passengers or to load or unload goods Regulation (EU) 2023/1804;TA6.2;1.b Legally protect a minimum of 30% of the EU's sea area;+;2;The provision of electricity supply to airports could support the protection of marine ecosystems and habitats, potentially contributing to the protection of 30% of the EU's sea area.
TA4.33;Member States shall ensure that at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T core inland waterway ports by 1 January 2025, at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T comprehensive inland waterway ports by 1 January 2030. Regulation (EU) 2023/1804;TA6.28;In accordance with the CFP, it is crucial to continue and accelerate the work of rebuilding and keeping fish stocks above MSY levels;+;1;The deployment of shore-side electricity supply installations could support the protection of aquatic ecosystems and the rebuilding of fish stocks.
TA4.34;Member States shall ensure that a minimum shore-side electricity supply for seagoing container ships and seagoing passenger ships is provided in TEN-T maritime ports. To that end, by 31 December 2029 TEN-T core and comprehensive maritime ports [...] are equipped to provide each year shore-side electricity supply for at least 90 % of the total number of port calls of seagoing container ships above 5.000 gross tonnes that are moored at the quayside at the maritime port concerned and 90% of the total number of port calls of seagoing ro-ro passenger ships above 5.000 gross tonnes and seagoing high-speed passenger craft above 5.000 gross tonnes that are moored at the quayside at the maritime port concerned Regulation (EU) 2023/1804;TA6.34;Terrestrial, coastal and freshwater ecosystems. Member States shall ensure that condition is known for at least 90% of the area distributed overall habitat types listed in Annex I by 2030 and 100% by 2040.;+;2;The provision of shore-side electricity supply could support the protection of marine ecosystems and habitats, potentially contributing to the knowledge of the condition of terrestrial, coastal, and freshwater ecosystems.
TA4.10;EU fisheries are encouraged to continue the positive trend, as observed for the period 2009-2019, towards reducing fuel intensity by reducing the fossil-fuel consumption per kg of landed product for at least an additional 15% for the period 2019-2030. Energy Transition of the EU Fisheries and Aquaculture sector;TA6.15;13. The losses of nutrients from fertilisers are reduced by 50%, resulting in the reduction of the use of fertilisers by at least 20%;+;1;The reduction of fuel intensity in the fisheries sector could lead to a decrease in the use of fertilizers, supporting the reduction of nutrient losses.
TA4.25;Member States shall ensure that, at the end of each year, the following power output targets are met cumulatively: (a) for each light-duty battery electric vehicle registered in their territory, a total power output of at least 1.3 kW is provided through publicly accessible recharging stations, and (b) for each light-duty plug-in hybrid vehicle registered in their territory, a total power output of at least 0.80 kW is provided through publicly accessible recharging stations. Regulation (EU) 2023/1804;TA6.46;(agricultural ecosystems) Member States shall put in place measures which shall aim to restore organic soils in agricultural use constituting drained peatlands.;+;2;The deployment of publicly accessible recharging stations could support the protection of organic soils and the restoration of drained peatlands, potentially contributing to the reduction of greenhouse gas emissions.
TA4.26;Member States shall ensure that along the TEN-T core and comprehensive network, publicly accessible recharging pools dedicated to light-duty vehicles deployed in each direction of travel with a maximum distance of 60 km in-between them offering a power output of at least 600kW and including at least one recharging point with an individual power output of at least 150 kW. Regulation (EU) 2023/1804;TA6.50;Reach no net land take;+;1;The deployment of recharging pools could support the protection of natural habitats and ecosystems, potentially contributing to the goal of reaching no net land take.
TA4.27;Member States shall ensure that, by 31 December 2030 (with intermediate 2025 and 2027 targets), along the TEN-T core road network, publicly accessible recharging pools dedicated to heavy-duty electric vehicles are deployed in each direction of travel with a maximum distance of 60 km between them [...]. Along the TEN-T comprehensive road network, recharging pools dedicated to heavy-duty electric vehicles are deployed in each direction of travel with a maximum distance of 100 km between them and each recharging pool offers a power output of at least 1.500 kW and includes at least one recharging point with an individual power output of at least 350 kW. Regulation (EU) 2023/1804;TA6.31;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures [...] to improve to good condition areas of habitat types listed in Annex I which are not in good condition.;+;2;The deployment of recharging pools for heavy-duty electric vehicles could support the restoration of degraded ecosystems and habitats, potentially contributing to the improvement of their condition.
TA4.28;By 31 December 2030, in each safe and secure parking area at least four publicly accessible recharging stations dedicated to heavy-duty electric vehicles with an individual power output of at least 100 kW are deployed. Regulation (EU) 2023/1804;TA6.44;(agricultural ecosystems) Member States shall put in place measures which shall aim to achieve an increasing trend at national level of at least two out of the three following indicators in agricultural ecosystems;+;1;The deployment of recharging stations for heavy-duty electric vehicles could support the protection of agricultural ecosystems, potentially contributing to the achievement of an increasing trend in at least two of the three indicators.
TA4.29;By 31 December 2030, in each urban node publicly accessible recharging points dedicated to heavy-duty electric vehicles with an aggregated power output of at least 1 800 kW are deployed, provided by recharging stations with an individual power output of at least 150 kW. Regulation (EU) 2023/180;TA6.13;11. At least 25.000 km of free-flowing rivers are restored;+;1;The deployment of recharging points for heavy-duty electric vehicles in urban nodes could support the protection of aquatic ecosystems, potentially contributing to the restoration of free-flowing rivers.
