source_subtheme;source_subtheme_targets;impact_subtheme;impact_type;impact_weight;justification
Biodiversity Protection & Conservation;TA5.11,TA5.15,TA6.1,TA6.14,TA6.17,TA6.3,TA6.43,TA6.5,TA6.58,TA6.62,TA6.8;Food quality;+2;Reinforcing;The protection of biodiversity can reinforce the quality of food by preserving ecosystem services that support agriculture, such as pollination and pest control.
Biodiversity Protection & Conservation;TA5.11,TA5.15,TA6.1,TA6.14,TA6.17,TA6.3,TA6.43,TA6.5,TA6.58,TA6.62,TA6.8;Food affordability;-1;Constraining;The conservation of biodiversity might constrain food affordability by limiting the availability of certain food products or increasing their costs.
Terrestrial Ecosystems Restoration - Agricultural Ecosystems;TA5.9,TA6.10,TA6.47,TA6.48;Competitive Agriculture;+3;Indivisible;The restoration of agricultural ecosystems is inextricably linked to competitive agriculture, as it aims to improve the productivity and sustainability of agricultural practices.
Terrestrial Ecosystems Restoration - Forests;TA6.11,TA6.4,TA6.50,TA6.51,TA6.52,TA6.59;Pesticides Reduction;-2;Counteracting;The restoration of forests might counteract the reduction of pesticides, as some forest management practices might require the use of pesticides.
Marine Ecosystem Restoration;TA6.2,TA6.30,TA6.33,TA6.44,TA6.45;Food quality - Healthy Food;+1;Enabling;The restoration of marine ecosystems can enable the production of healthy food by supporting the health of marine species and ecosystems that are used as food sources.
Biodiversity Protection & Conservation - Fisheries;TA5.6,TA6.18,TA6.27,TA6.28;Food affordability;-1;Constraining;The protection of biodiversity in fisheries might constrain food affordability by limiting the availability of certain fish products or increasing their costs.
Biodiversity Protection & Conservation - Urban Nature;TA6.16,TA6.39,TA6.40,TA6.41;Food quality;+2;Reinforcing;The protection of urban nature can reinforce food quality by preserving ecosystem services that support urban agriculture, such as pollination and pest control.
Terrestrial Ecosystems Restoration;TA6.21,TA6.29,TA6.31,TA6.32,TA6.34,TA6.36,TA6.38,TA6.63,TA6.7;Pesticides Reduction;-2;Counteracting;The restoration of terrestrial ecosystems might counteract the reduction of pesticides, as some ecosystem restoration practices might require the use of pesticides.
Biodiversity Protection & Conservation - Monitoring;TA6.37,TA6.46;Food quality;-1;Constraining;The monitoring of biodiversity might constrain food quality by limiting the availability of certain food products or increasing their costs.
Terrestrial Ecosystems Restoration - Rivers;TA6.13,TA6.42;Food affordability;+1;Enabling;The restoration of rivers can enable food affordability by supporting the health of aquatic ecosystems that are used as food sources.
Terrestrial Ecosystems Restoration - Agricultural Ecosystems;TA5.9,TA6.10,TA6.47,TA6.48;Social Security - Workers Protection;+2;Reinforcing;The restoration of agricultural ecosystems can reinforce social security for workers by improving their working conditions and promoting sustainable agriculture practices.
