ta_pairs_nbr;ta_pairs_pairs;model;seed;temperature;system_fingerprint;prompt_tokens;completion_tokens
0;['TA1', 'TA2'];llama-3.3-70b-instruct;;0.1;;77223;534
1;['TA1', 'TA3'];llama-3.3-70b-instruct;;0.1;;77564;773
2;['TA1', 'TA4'];llama-3.3-70b-instruct;;0.1;;78639;568
3;['TA1', 'TA5'];llama-3.3-70b-instruct;;0.1;;79270;411
4;['TA1', 'TA6'];llama-3.3-70b-instruct;;0.1;;77803;609
5;['TA1', 'TA7'];llama-3.3-70b-instruct;;0.1;;77726;663
6;['TA2', 'TA1'];llama-3.3-70b-instruct;;0.1;;77223;625
7;['TA2', 'TA3'];llama-3.3-70b-instruct;;0.1;;78603;689
8;['TA2', 'TA4'];llama-3.3-70b-instruct;;0.1;;79678;1024
9;['TA2', 'TA5'];llama-3.3-70b-instruct;;0.1;;80309;637
10;['TA2', 'TA6'];llama-3.3-70b-instruct;;0.1;;78842;607
11;['TA2', 'TA7'];llama-3.3-70b-instruct;;0.1;;78765;752
12;['TA3', 'TA1'];llama-3.3-70b-instruct;;0.1;;77564;764
13;['TA3', 'TA2'];llama-3.3-70b-instruct;;0.1;;78603;771
14;['TA3', 'TA4'];llama-3.3-70b-instruct;;0.1;;80019;521
15;['TA3', 'TA5'];llama-3.3-70b-instruct;;0.1;;80650;727
16;['TA3', 'TA6'];llama-3.3-70b-instruct;;0.1;;79183;759
17;['TA3', 'TA7'];llama-3.3-70b-instruct;;0.1;;79106;714
18;['TA4', 'TA1'];llama-3.3-70b-instruct;;0.1;;78639;974
19;['TA4', 'TA2'];llama-3.3-70b-instruct;;0.1;;79678;667
20;['TA4', 'TA3'];llama-3.3-70b-instruct;;0.1;;80019;873
21;['TA4', 'TA5'];llama-3.3-70b-instruct;;0.1;;81725;782
22;['TA4', 'TA6'];llama-3.3-70b-instruct;;0.1;;80258;753
23;['TA4', 'TA7'];llama-3.3-70b-instruct;;0.1;;80181;862
24;['TA5', 'TA1'];llama-3.3-70b-instruct;;0.1;;79270;677
25;['TA5', 'TA2'];llama-3.3-70b-instruct;;0.1;;80309;620
26;['TA5', 'TA3'];llama-3.3-70b-instruct;;0.1;;80650;482
27;['TA5', 'TA4'];llama-3.3-70b-instruct;;0.1;;81725;436
28;['TA5', 'TA6'];llama-3.3-70b-instruct;;0.1;;80889;507
29;['TA5', 'TA7'];llama-3.3-70b-instruct;;0.1;;80812;472
30;['TA6', 'TA1'];llama-3.3-70b-instruct;;0.1;;77803;783
31;['TA6', 'TA2'];llama-3.3-70b-instruct;;0.1;;78842;1421
32;['TA6', 'TA3'];llama-3.3-70b-instruct;;0.1;;79183;884
33;['TA6', 'TA4'];llama-3.3-70b-instruct;;0.1;;80258;810
34;['TA6', 'TA5'];llama-3.3-70b-instruct;;0.1;;80889;809
35;['TA6', 'TA7'];llama-3.3-70b-instruct;;0.1;;79345;1016
36;['TA7', 'TA1'];llama-3.3-70b-instruct;;0.1;;77726;831
37;['TA7', 'TA2'];llama-3.3-70b-instruct;;0.1;;78765;566
38;['TA7', 'TA3'];llama-3.3-70b-instruct;;0.1;;79106;587
39;['TA7', 'TA4'];llama-3.3-70b-instruct;;0.1;;80181;1179
40;['TA7', 'TA5'];llama-3.3-70b-instruct;;0.1;;80812;634
41;['TA7', 'TA6'];llama-3.3-70b-instruct;;0.1;;79345;887
