source_subtheme;source_subtheme_targets;impact_subtheme;impact_type;impact_weight;justification
GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;GHG Reduction - Transports;+2;The reduction of greenhouse gas emissions in the transport sector is a key aspect of the overall GHG reduction target, and the implementation of measures such as increasing the use of biofuels and improving fuel efficiency will aid in achieving this goal.;The connection between these two sub-themes is based on the shared objective of reducing emissions, with the transport sector being a significant contributor to overall GHG emissions.
Net-Zero Technology - Road Vehicles;TA4.13,TA4.22,TA4.25,TA4.26,TA4.27,TA4.28,TA4.29;GHG Reduction;+3;The development and deployment of net-zero technology in road vehicles is crucial for reducing greenhouse gas emissions from the transport sector, which is a significant contributor to overall emissions.;This connection is based on the direct impact of net-zero road vehicles on reducing emissions, making it an essential component of the GHG reduction strategy.
Biofuels;TA4.1,TA4.18;GHG Reduction - Transports;+2;The use of biofuels can help reduce greenhouse gas emissions from the transport sector, which is a key aspect of the overall GHG reduction target.;This connection is based on the potential of biofuels to decrease emissions from transportation, supporting the achievement of the GHG reduction goal.
Hydrogen Distribution;TA4.23,TA4.30,TA4.31;GHG Reduction;+1;The development of hydrogen distribution infrastructure can enable the use of hydrogen as a low-carbon fuel, contributing to the reduction of greenhouse gas emissions.;This connection is based on the potential of hydrogen to reduce emissions, with the distribution infrastructure being a critical component of its adoption.
Urban Mobility;TA4.54,TA4.55;GHG Reduction - Transports;+2;Improving urban mobility through measures such as promoting active transport and increasing the use of low-emission vehicles can help reduce greenhouse gas emissions from the transport sector.;This connection is based on the impact of urban mobility measures on reducing emissions from transportation, supporting the achievement of the GHG reduction goal.
Transport Logistics;TA4.11,TA4.36,TA4.37,TA4.39,TA4.43,TA4.50,TA4.51,TA4.56,TA4.57;GHG Reduction - Transports;+2;The optimization of transport logistics can help reduce greenhouse gas emissions from the transport sector by improving the efficiency of freight transport and promoting the use of low-emission vehicles.;This connection is based on the potential of transport logistics measures to decrease emissions from transportation, supporting the achievement of the GHG reduction goal.
Net-Zero Technology - Maritime Transport;TA4.33,TA4.34,TA4.45;GHG Reduction;+1;The development and deployment of net-zero technology in maritime transport can help reduce greenhouse gas emissions from the shipping sector, which is a significant contributor to overall emissions.;This connection is based on the direct impact of net-zero maritime transport on reducing emissions, making it an essential component of the GHG reduction strategy.
Net-Zero Technology - Aviation;TA4.32,TA4.46;GHG Reduction;+1;The development and deployment of net-zero technology in aviation can help reduce greenhouse gas emissions from the aviation sector, which is a significant contributor to overall emissions.;This connection is based on the direct impact of net-zero aviation on reducing emissions, making it an essential component of the GHG reduction strategy.
Other Low-Carbon Fuels;TA4.4,TA4.5,TA4.6;GHG Reduction - Transports;+2;The use of other low-carbon fuels such as synthetic fuels can help reduce greenhouse gas emissions from the transport sector, which is a key aspect of the overall GHG reduction target.;This connection is based on the potential of other low-carbon fuels to decrease emissions from transportation, supporting the achievement of the GHG reduction goal.
Rail;TA4.37,TA4.38,TA4.40;GHG Reduction - Transports;+2;The promotion of rail transport can help reduce greenhouse gas emissions from the transport sector by shifting freight from road to rail, which is a more efficient and lower-emission mode of transport.;This connection is based on the potential of rail transport to reduce emissions from transportation, supporting the achievement of the GHG reduction goal.
