source_subtheme;source_subtheme_targets;impact_subtheme;impact_type;impact_weight;justification
Biodiversity Protection & Conservation;TA5.11,TA5.15,TA6.1,TA6.14,TA6.17, TA6.3, TA6.43, TA6.5, TA6.58, TA6.62, TA6.8;Waste Reduction - Municipal Waste;+;2;Implementing effective waste management and reduction strategies can aid in the conservation of biodiversity by reducing pollution and preserving natural habitats, which in turn can reinforce waste reduction efforts in municipal areas.
Biodiversity Protection & Conservation - Urban Nature;TA6.16, TA6.39, TA6.40, TA6.41;Circularity/Recycling - Municipal Waste;+;1;Urban biodiversity conservation can create conditions for more effective circularity and recycling practices in municipal waste management by promoting green infrastructure and reducing waste generation.
Terrestrial Ecosystems Restoration - Forests;TA6.11, TA6.4, TA6.50, TA6.51, TA6.52, TA6.59;Critical Raw Materials - Extraction & Import;-;2;The restoration of forests can counteract the extraction and import of critical raw materials by promoting sustainable forest management and reducing the demand for these materials.
Marine Ecosystem Restoration;TA6.2, TA6.30, TA6.33, TA6.44, TA6.45;Circularity/Recycling - Plastic & Packaging;+;2;Restoring marine ecosystems can aid in the reduction of plastic pollution and promote circularity and recycling practices in the plastic and packaging sector, which can reinforce marine conservation efforts.
Biodiversity Protection & Conservation - Fisheries;TA5.6, TA6.18, TA6.27, TA6.28;Waste Reduction - Food Waste;+;1;Sustainable fishing and aquaculture practices can create conditions for reducing food waste by promoting more efficient use of marine resources and reducing discards.
Terrestrial Ecosystems Restoration - Agricultural Ecosystems;TA5.9, TA6.10, TA6.47, TA6.48;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;-;2;The restoration of agricultural ecosystems can counteract the recycling of critical raw materials in batteries by promoting sustainable agriculture practices and reducing the demand for these materials.
Biodiversity Protection & Conservation;TA5.11, TA5.15, TA6.1, TA6.14, TA6.17, TA6.3, TA6.43, TA6.5, TA6.58, TA6.62, TA6.8;Circularity/Recycling;-;1;The conservation of biodiversity can constrain circularity and recycling practices by limiting the availability of natural resources and promoting more sustainable consumption patterns.
Terrestrial Ecosystems Restoration;TA6.21, TA6.29, TA6.31, TA6.32, TA6.34, TA6.35, TA6.36, TA6.38, TA6.63, TA6.7;Net-Zero Technology - Manufacturing;+;2;Restoring terrestrial ecosystems can aid in the development of net-zero technologies by promoting sustainable land use and reducing greenhouse gas emissions, which can reinforce the manufacturing of these technologies.
Biodiversity Protection & Conservation - Monitoring;TA6.37, TA6.46;Waste Reduction - Plastic & Packaging;+;1;Effective monitoring of biodiversity can create conditions for reducing plastic pollution and promoting circularity and recycling practices in the plastic and packaging sector.
Terrestrial Ecosystems Restoration - Rivers;TA6.13, TA6.42;Circularity/Recycling - Municipal Waste;+;1;Restoring rivers can create conditions for more effective circularity and recycling practices in municipal waste management by promoting green infrastructure and reducing waste generation.
Marine Ecosystem Restoration;TA6.2, TA6.30, TA6.33, TA6.44, TA6.45;Waste Reduction - Food Waste;+;1;Restoring marine ecosystems can aid in the reduction of food waste by promoting more efficient use of marine resources and reducing discards.
