TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;TA2.3;Member States shall ensure that the contribution of renewable fuels of non-biological origin used for final energy and non-energy purposes shall be at least 42 % of the hydrogen used for final energy and non-energy purposes in industry by 2030, and 60 % by 2035;+;The promotion of sustainable forest bioeconomy can lead to increased production of renewable fuels, which in turn can contribute to the target of increasing the share of renewable fuels of non-biological origin in industry. This can have a positive impact on the target, as it can help achieve the desired percentage of renewable fuels.

TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;TA2.4;Doubling the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027 and 30 million units by 2030;+;The sustainable forest bioeconomy can provide biomass for heat production, which can be used in heat pumps, thus contributing to the target of increasing the deployment of heat pumps.

TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;TA2.5;Bring online over 320 GW of solar photovoltaic by 2025 and 600 GW by 2030;+;The promotion of sustainable forest bioeconomy can lead to increased production of wood products, which can be used as a substitute for materials used in solar photovoltaic production, thus contributing to the target of increasing solar photovoltaic capacity.

TA2.21;Member States shall ensure that the total final energy consumption of all public bodies combined is reduced by at least 1.9 % each year, when compared to 2021;TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;+;Reducing energy consumption can lead to decreased demand for wood and other forest products, which can help protect primary and old-growth forests.

TA2.22;Member States shall collectively ensure a reduction of energy consumption of at least 11.7 % in 2030 compared to the projections of the 2020 EU Reference Scenario;TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;+;Reducing energy consumption can lead to decreased demand for wood and other forest products, which can help protect primary and old-growth forests.

TA2.23;Member States shall make efforts to collectively contribute to the indicative Union primary energy consumption target amounting to no more than 992.5 Mtoe in 2030;TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;+;Reducing primary energy consumption can lead to decreased demand for wood and other forest products, which can help protect primary and old-growth forests.

TA2.24;Each Member State shall ensure that at least 3 % of the total floor area of heated and/or cooled buildings that are owned by public bodies is renovated each year to be transformed into at least nearly zero-energy buildings or zero-emission buildings;TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;-;Renovating buildings to be nearly zero-energy or zero-emission can lead to increased demand for wood products, which can negatively impact primary and old-growth forests.

TA2.25;Reduce buildings' final energy consumption by 14%;TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;-;Reducing final energy consumption can lead to increased demand for wood products, which can negatively impact primary and old-growth forests.

TA2.26;At least double the annual energy renovation rate of residential and non-residential buildings by 2030 and to foster deep energy renovations;TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;-;Increasing the energy renovation rate can lead to increased demand for wood products, which can negatively impact primary and old-growth forests.

