TA6.7; The decline of pollinators is reversed (the target is in common with "A New Deal for Pollinators"); TA6.43; Member States shall, by putting in place appropriate and effective measures, improve pollinator diversity and reverse the decline of pollinator populations at the latest by 2030 and achieve thereafter an increasing trend of pollinator populations; +; The implementation of measures to reverse the decline of pollinators in TA6.7 is likely to have a positive impact on the target in TA6.43, as both targets aim to improve pollinator diversity and populations.
TA6.9; The risk and use of chemical pesticides is reduced by 50%, and the use of more hazardous pesticides is reduced by 50% (target partially in common with the Farm to Fork Strategy and Biodiversity strategy); TA7.10; Improve soil quality by reducing nutrient losses and chemical pesticides’ use by 50% (target partially in common with the Farm to Fork strategy and Biodiversity strategy); +; The reduction of chemical pesticides in TA6.9 is likely to contribute to the improvement of soil quality in TA7.10, as the use of chemical pesticides can negatively impact soil health.
TA7.12; Develop measures to significantly increase efforts to identify, investigate, assess and remediate contaminated sites, so that soil pollution will no longer pose a health or environmental risk; TA6.9; The risk and use of chemical pesticides is reduced by 50%, and the use of more hazardous pesticides is reduced by 50% (target partially in common with the Farm to Fork Strategy and Biodiversity strategy); +; The remediation of contaminated sites in TA7.12 may lead to a reduction in the use of chemical pesticides, contributing to the target in TA6.9.
TA7.14; Improve water quality by reducing waste, plastic litter at sea (by 50%) and microplastics released into the environment (by 30%); TA6.38; (terrestrial, coastal and freshwater ecosystems) Member States shall ensure that there is: (a) an increase of habitat area in good condition for habitat types listed in Annex I until at least 90% is in good condition and until the favourable reference area for each habitat type in each biogeographic region of the Member State concerned is reached; +; The improvement of water quality in TA7.14 may have a positive impact on the conservation of habitats and ecosystems in TA6.38, as pollution can negatively affect biodiversity.
TA7.15; Improve water quality by reducing waste, plastic litter at sea (by 50%) and microplastics released into the environment (by 30%); TA6.44; (marine ecosystems) Member States shall put in place the restoration measures that are necessary to improve to good condition areas of habitat types listed in Annex II which are not in good condition; +; The reduction of plastic litter and microplastics in TA7.15 may contribute to the restoration of marine ecosystems in TA6.44, as pollution can harm marine habitats and species.
TA7.16; Reduce by 25% the EU ecosystems where air pollution threatens biodiversity; TA6.38; (terrestrial, coastal and freshwater ecosystems) Member States shall ensure that there is: (a) an increase of habitat area in good condition for habitat types listed in Annex I until at least 90% is in good condition and until the favourable reference area for each habitat type in each biogeographic region of the Member State concerned is reached; +; The reduction of air pollution in TA7.16 may have a positive impact on the conservation of habitats and ecosystems in TA6.38, as air pollution can negatively affect biodiversity.
TA7.17; Reduce the share of people chronically disturbed by transport noise by 30%; TA6.43; Member States shall, by putting in place appropriate and effective measures, improve pollinator diversity and reverse the decline of pollinator populations at the latest by 2030 and achieve thereafter an increasing trend of pollinator populations; +; The reduction of transport noise in TA7.17 may have a positive impact on pollinator populations in TA6.43, as noise pollution can negatively affect pollinators.
TA7.18; Reduce significantly total waste generation and by 50% residual municipal waste; TA6.9; The risk and use of chemical pesticides is reduced by 50%, and the use of more hazardous pesticides is reduced by 50% (target partially in common with the Farm to Fork Strategy and Biodiversity strategy); +; The reduction of waste generation in TA7.18 may lead to a reduction in the use of chemical pesticides, contributing to the target in TA6.9.
TA7.19; Improve soil quality by reducing nutrient losses and chemical pesticides’ use by 50% (target partially in common with the Farm to Fork strategy and Biodiversity strategy); TA6.9; The risk and use of chemical pesticides is reduced by 50%, and the use of more hazardous pesticides is reduced by 50% (target partially in common with the Farm to Fork Strategy and Biodiversity strategy); +; The improvement of soil quality in TA7.19 is likely to contribute to the reduction of chemical pesticides in TA6.9, as the use of chemical pesticides can negatively impact soil health.
TA7.20; Having all soils in healthy condition by 2050; TA6.9; The risk and use of chemical pesticides is reduced by 50%, and the use of more hazardous pesticides is reduced by 50% (target partially in common with the Farm to Fork Strategy and Biodiversity strategy); +; The improvement of soil health in TA7.20 may lead to a reduction in the use of chemical pesticides, contributing to the target in TA6.9.
TA7.21; Minimise or eliminate the use of pesticides in sensitive areas such as urban green areas (target not strictly reported in the Biodiversity dashboard platform); TA6.43; Member States shall, by putting in place appropriate and effective measures, improve pollinator diversity and reverse the decline of pollinator populations at the latest by 2030 and achieve thereafter an increasing trend of pollinator populations; +; The reduction of pesticide use in TA7.21 may have a positive impact on pollinator populations in TA6.43, as pesticides can harm pollinators.
TA7.22; The revision of the Ambient Air Quality Directives would merge the Directives into one, and seek to: align EU air quality standards more closely with WHO recommendations further improve the legislative framework; TA6.38; (terrestrial, coastal and freshwater ecosystems) Member States shall ensure that there is: (a) an increase of habitat area in good condition for habitat types listed in Annex I until at least 90% is in good condition and until the favourable reference area for each habitat type in each biogeographic region of the Member State concerned is reached; +; The improvement of air quality in TA7.22 may have a positive impact on the conservation of habitats and ecosystems in TA6.38, as air pollution can negatively affect biodiversity.
TA7.23; Remove micropollutants from wastewater. An additional treatment, i.e. quaternary treatment, should therefore be introduced in order to ensure that a large spectrum of micro-pollutants is removed from urban wastewater; TA6.9; The risk and use of chemical pesticides is reduced by 50%, and the use of more hazardous pesticides is reduced by 50% (target partially in common with the Farm to Fork Strategy and Biodiversity strategy); +; The removal of micropollutants in TA7.23 may lead to a reduction in the use of chemical pesticides, contributing to the target in TA6.9.
TA7.24; Improve nutrient removal from wastewater. Tertiary treatment should be systematically imposed to all urban wastewater treatment plants of 100 000 p.e. and above, as such plants represent an important remaining source of nitrogen and phosphorus discharge; TA6.9; The risk and use of chemical pesticides is reduced by 50%, and the use of more hazardous pesticides is reduced by 50% (target partially in common with the Farm to Fork Strategy and Biodiversity strategy); +; The improvement of nutrient removal in TA7.24 may lead to a reduction in the use of chemical pesticides, contributing to the target in TA6.9.
TA6.38; (terrestrial, coastal and freshwater ecosystems) Member States shall ensure that there is: (a) an increase of habitat area in good condition for habitat types listed in Annex I until at least 90% is in good condition and until the favourable reference area for each habitat type in each biogeographic region of the Member State concerned is reached; TA7.14; Improve water quality by reducing waste, plastic litter at sea (by 50%) and microplastics released into the environment (by 30%); +; The conservation of habitats and ecosystems in TA6.38 may be positively impacted by the improvement of water quality in TA7.14, as pollution can harm aquatic ecosystems.
TA6.43; Member States shall, by putting in place appropriate and effective measures, improve pollinator diversity and reverse the decline of pollinator populations at the latest by 2030 and achieve thereafter an increasing trend of pollinator populations; TA7.17; Reduce the share of people chronically disturbed by transport noise by 30%; +; The improvement of pollinator populations in TA6.43 may be positively impacted by the reduction of transport noise in TA7.17, as noise pollution can harm pollinators.
TA6.9; The risk and use of chemical pesticides is reduced by 50%, and the use of more hazardous pesticides is reduced by 50% (target partially in common with the Farm to Fork Strategy and Biodiversity strategy); TA7.18; Reduce significantly total waste generation and by 50% residual municipal waste; +; The reduction of chemical pesticides in TA6.9 may lead to a reduction in waste generation, contributing to the target in TA7.18.
TA6.44; (marine ecosystems) Member States shall put in place the restoration measures that are necessary to improve to good condition areas of habitat types listed in Annex II which are not in good condition; TA7.15; Improve water quality by reducing waste, plastic litter at sea (by 50%) and microplastics released into the environment (by 30%); +; The restoration of marine ecosystems in TA6.44 may be positively impacted by the improvement of water quality in TA7.15, as pollution can harm marine ecosystems.
