source_subtheme;source_subtheme_targets;impact_subtheme;impact_type;justification
Waste Reduction;TA3.1,TA3.2,TA3.4,TA3.41,TA3.42,TA3.43,TA3.44,TA3.45,TA3.47;Terrestrial Ecosystems Restoration;+;Reducing waste can lead to a decrease in pollution, which in turn can help restore terrestrial ecosystems. This can have a positive impact on biodiversity and ecosystem services.
Waste Reduction - Municipal Waste;TA3.20,TA3.21,TA3.22,TA3.23,TA3.41,TA3.42,TA3.43,TA3.44,TA3.45;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;-;Improper management of municipal waste can lead to pollution and harm agricultural ecosystems, making it challenging to restore them.
Circularity/Recycling;TA3.3,TA3.12,TA3.15,TA3.16,TA3.17,TA3.18,TA3.19;Biodiversity Protection & Conservation;+;Promoting circularity and recycling can reduce the demand for raw materials, decrease pollution, and help conserve biodiversity.
Circularity/Recycling - Municipal Waste;TA3.20,TA3.21,TA3.22,TA3.23;Terrestrial Ecosystems Restoration - Rivers;+;Effective recycling and management of municipal waste can help reduce pollution in rivers and promote ecosystem restoration.
Critical Raw Materials - Extraction & Import;TA3.10,TA3.11,TA3.8,TA3.9;Biodiversity Protection & Conservation - Fisheries;-;The extraction and import of critical raw materials can have negative environmental impacts, including harm to marine ecosystems and fisheries.
Net-Zero Technology - Manufacturing;TA3.12;Marine Ecosystem Restoration;+;The development and manufacturing of net-zero technologies can help reduce greenhouse gas emissions and promote the restoration of marine ecosystems.
Waste Reduction - Food Waste;TA3.24,TA3.25,TA3.46;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;+;Reducing food waste can help decrease the environmental impact of agriculture, making it easier to restore ecosystems.
Waste Reduction - Plastic & Packaging;TA3.27,TA3.28,TA3.31,TA3.32,TA3.33,TA3.34,TA3.35,TA3.36,TA3.37,TA3.39,TA3.40;Biodiversity Protection & Conservation;-;Plastic pollution can harm biodiversity, and reducing plastic waste is essential for conservation efforts.
Circularity/Recycling - Textile Waste;TA3.4,TA3.47;Terrestrial Ecosystems Restoration;+;Promoting the recycling and reuse of textile waste can reduce the demand for new materials, decrease waste, and help restore ecosystems.
Circularity/Recycling - Critical Raw Materials - Batteries Recycling;TA3.15,TA3.16,TA3.17,TA3.18,TA3.19;Biodiversity Protection & Conservation - Monitoring;+;Recycling critical raw materials from batteries can help reduce the demand for primary materials, decrease pollution, and promote biodiversity conservation.
