source_subtheme;source_subtheme_targets;impact_subtheme;impact_type;justification
Waste Reduction;TA3.1,TA3.30;Food quality;+;Reducing waste can lead to more efficient use of resources, which can positively impact food quality by reducing the environmental impact of food production and processing. This, in turn, can lead to healthier and more sustainable food options.
Waste Reduction - Municipal Waste;TA3.1,TA3.30;Food quality - Animal Welfare;+;Proper waste management in municipal areas can reduce the risk of animal exposure to harmful substances, promoting animal welfare and potentially leading to better living conditions for animals.
Waste Reduction - Food Waste;TA3.24,TA3.25,TA5.13;Food affordability;+;Reducing food waste can help decrease food prices by optimizing food production and distribution, making food more affordable for consumers and positively impacting food affordability.
Waste Reduction - Plastic & Packaging;TA3.27,TA3.28,TA3.29;Food quality - Healthy Food;+;Decreasing plastic and packaging waste can lead to a reduction in microplastics and other harmful substances in food, resulting in healthier food options and promoting healthy eating.
Circularity/Recycling;TA3.20,TA3.21,TA3.22,TA3.23,TA5.14;Competitive Agriculture;+;Implementing circular economy practices and recycling can lead to the creation of new business opportunities and jobs in the agriculture sector, enhancing its competitiveness and promoting sustainable agricultural practices.
Circularity/Recycling - Municipal Waste;TA3.30,TA3.31,TA3.32,TA3.33,TA3.34,TA3.35,TA3.36,TA3.37;Pesticides Reduction;-;The focus on municipal waste recycling might divert attention and resources away from reducing pesticides and other harmful substances in agricultural practices, potentially hindering progress in pesticide reduction.
Circularity/Recycling - Critical Raw Materials - Batteries Recycling;TA3.13,TA3.15,TA3.16,TA3.17,TA3.18,TA3.19;Food quality;+;Recycling critical raw materials from batteries can lead to the development of more sustainable technologies and practices in food production, processing, and packaging, ultimately enhancing food quality and safety.
Critical Raw Materials - Extraction & Import;TA3.11,TA3.8,TA3.9;Competitive Agriculture;-;The extraction and import of critical raw materials can have negative environmental and social impacts, potentially affecting the competitiveness of the agriculture sector and its ability to adopt sustainable practices.
Net-Zero Technology - Manufacturing;TA3.12;Food affordability;+;The development and manufacturing of net-zero technologies can lead to increased energy efficiency and reduced production costs in the food sector, making food more affordable for consumers and positively impacting food affordability.
Circularity/Recycling - Plastic & Packaging;TA3.27,TA3.28,TA3.29;Food quality - Animal Welfare;+;Reducing plastic and packaging waste can lead to a decrease in animal exposure to harmful substances, promoting animal welfare and potentially leading to better living conditions for animals.
Circularity/Recycling - Vehicle Circularity;TA3.38,TA3.49,TA3.50;Food quality;+;The recycling and reuse of materials from vehicles can lead to the development of more sustainable technologies and practices in food production, processing, and packaging, ultimately enhancing food quality and safety.
