source_subtheme;source_subtheme_targets;impact_subtheme;impact_type;justification
Biodiversity Protection & Conservation;TA5.11,TA6.1,TA6.14,TA6.3,TA6.33,TA6.40,TA6.8;Food quality;-;The implementation of biodiversity protection and conservation targets may lead to restrictions on agricultural practices, potentially affecting food quality and availability.
Biodiversity Protection & Conservation;TA5.11,TA6.1,TA6.14,TA6.3,TA6.33,TA6.40,TA6.8;Food affordability;-;Conservation efforts may limit the availability of land for agriculture, potentially increasing food prices and affecting affordability.
Terrestrial Ecosystems Restoration - Agricultural Ecosystems;TA6.10,TA6.44,TA6.45;Food quality;+;Restoring agricultural ecosystems can improve soil health, increase biodiversity, and enhance ecosystem services, ultimately contributing to better food quality.
Terrestrial Ecosystems Restoration - Agricultural Ecosystems;TA6.10,TA6.44,TA6.45;Competitive Agriculture;+;Sustainable agricultural practices and ecosystem restoration can increase agricultural productivity, competitiveness, and resilience.
Biodiversity Protection & Conservation - Fisheries;TA6.2,TA6.28;Food quality;-;Fisheries management and conservation measures may limit fishing activities, potentially affecting the availability and quality of seafood.
Marine Ecosystem Restoration;TA6.30,TA6.41,TA6.42;Food quality;+;Restoring marine ecosystems can improve fisheries, enhance biodiversity, and increase the availability of healthy and sustainable seafood.
Pesticides Reduction;TA5.4,TA5.5,TA6.9;Food quality;+;Reducing pesticide use can decrease the environmental impact of agriculture, improve soil health, and increase the quality of food products.
Biodiversity Protection & Conservation;TA5.11,TA6.1,TA6.14,TA6.3,TA6.33,TA6.40,TA6.8;Pesticides Reduction;+;Conservation efforts and biodiversity protection can promote the use of sustainable agricultural practices, reducing the need for pesticides and minimizing their harmful effects on the environment.
Terrestrial Ecosystems Restoration;TA6.29,TA6.31,TA6.32,TA6.35,TA6.7;Food affordability;+;Restoring terrestrial ecosystems can improve soil health, increase agricultural productivity, and enhance ecosystem services, ultimately contributing to more affordable food options.
Terrestrial Ecosystems Restoration - Forests;TA6.11,TA6.4,TA6.47,TA6.48,TA6.49;Competitive Agriculture;+;Sustainable forest management and restoration can increase the availability of timber, non-timber forest products, and ecosystem services, supporting competitive agriculture and forestry sectors.
