```csv
target_code;target_content;thematic_area;sub_theme;justification
TA4.5;Aviation fuel suppliers shall also ensure that Sustainable Aviation Fuel (SAF) made available to aircraft operators at each Union airport will be at least 2% from 2025, 6% from 2030, 20% from 2035, 34% from 2040, 42% from 2045 and 70% from 2050. Regulation (EU) 2023/2405;TA4_Sustainable and smart mobility;Increasing Sustainable Aviation Fuel;This target focuses on increasing the percentage of Sustainable Aviation Fuel, aligning with the goal of reducing emissions in aviation.
TA3.33;Member States shall take the necessary measures to attain a recycling target of 25% of wood by weight of wood contained in packaging waste generated by 31 December 2025 and of 30% by 31 December 2030. Proposal on packaging and packaging waste;TA3_Industrial strategy for a clean and circular economy;Enhancing Wood Recycling;The target aims to increase the recycling rate of wood in packaging, promoting circular economy practices.
TA3.22;All recycling shall achieve at least the following targets for recovery of materials: - No later than 31 December 2027, 90% for cobalt, copper, lead, nickel, - No later than 31 December 2031, 95% for cobalt, copper, lead, nickel, Regulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Improving Material Recovery;This target sets specific recovery rates for critical materials, emphasizing the importance of recycling and resource efficiency.
TA5.7;Ensure that agriculture, fisheries and aquaculture, and the food value chain contribute to the target of reducing net greenhouse gas emissions to at least 55% below 1990 levels by 2030 and to the achievement of the objective for a climate-neutral Union in 2050.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Reducing Emissions in Agriculture;The target focuses on reducing greenhouse gas emissions in agriculture and related sectors, contributing to climate neutrality.
TA4.20;In the first phase, from 2020 up to 2024, the strategic objective is to install at least 6 GW of renewable hydrogen electrolysers in the EU. In the second phase, from 2025 up to 2030, the strategic objective is to install at least 40 GW of renewable hydrogen electrolysers. A Hydrogen Strategy for a climate-neutral Europe;TA4_Sustainable and smart mobility;Expanding Hydrogen Infrastructure;This target aims to increase the capacity of renewable hydrogen electrolysers, supporting the transition to clean energy in mobility.
TA5.10;Energy: Increase renewable energy in the agriculture and food sector. Adopt energy efficiency solutions in the agriculture and food sector, by reducing energy consumption.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Increasing Renewable Energy in Agriculture;The target promotes the use of renewable energy and energy efficiency in agriculture, aligning with sustainability goals.
TA3.12;By 2030, manufacturing capacity in the Union of the strategic net-zero technologies listed in the Annex approaches or reaches a benchmark of at least 40% of the Union’s annual deployment needs. Net Zero Industry Act;TA3_Industrial strategy for a clean and circular economy;Developing Net-Zero Technologies;This target focuses on increasing manufacturing capacity for net-zero technologies, supporting the transition to a low-carbon economy.
TA3.30;Each Member State shall reduce the packaging waste generated per capita, as compared to the packaging waste generated per capita in 2018 as reported to the Commission in accordance with Decision 2005/270/EC by 5% by 2030, 10% by 2035, 15% by 2040 Proposal on packaging and packaging waste;TA3_Industrial strategy for a clean and circular economy;Reducing Packaging Waste;The target aims to decrease packaging waste per capita, promoting waste reduction and sustainability.
TA3.51;Member States shall ensure that waste management operators achieve a yearly target for the recycling of plastics of at least 30 % of the total weight of plastics contained in the vehicles delivered to the waste management operators. Proposal for a Regulation on circularity requirements for vehicle design and on management of end-of-life vehicles;TA3_Industrial strategy for a clean and circular economy;Enhancing Plastic Recycling in Vehicles;This target sets recycling goals for plastics in vehicles, supporting circular economy principles.
TA4.28;By 31 December 2030, in each safe and secure parking area at least four publicly accessible recharging stations dedicated to heavy-duty electric vehicles with an individual power output of at least 100 kW are deployed. Regulation (EU) 2023/1804;TA4_Sustainable and smart mobility;Deploying EV Charging Infrastructure;The target focuses on increasing the availability of recharging stations for electric vehicles, promoting sustainable mobility.
