target_code;target_content;thematic_area;sub_theme;justification
TA1.9; EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005 (increasing the linear emissions reduction factor from 2.2% per year up to 4.4%), by 2030; TA1_Climate ambition; GHG Reduction; The target is assigned to the GHG Reduction sub-theme because it specifically mentions the reduction of greenhouse gas emissions by 62% compared to 2005, which is a key aspect of mitigating climate change.
TA2.7; Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables set out in the REPowerEU Plan.; TA2_Clean, affordable and secure energy; Renewable Energy - Solar; This target is assigned to the Renewable Energy - Solar sub-theme because it specifically mentions the installation of photovoltaic (PV) systems to increase the share of renewable energy in the EU's energy mix.
TA3.1; Halve the amount of residual (non-recycled) municipal waste by 2030; TA3_Industrial strategy for a clean and circular economy; Waste Reduction - Municipal Waste; This target is assigned to the Waste Reduction - Municipal Waste sub-theme because it aims to reduce the amount of non-recycled municipal waste by half, which is a key aspect of waste management and circular economy.
TA3.16; Producers of portable batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets for waste portable batteries: - 45% by 31 December 2023, - 63% by 31 December 2027, - 73% by 31 December 2030.; TA3_Industrial strategy for a clean and circular economy; Circularity/Recycling - Critical Raw Materials - Batteries Recycling; This target is assigned to the Circularity/Recycling - Critical Raw Materials - Batteries Recycling sub-theme because it specifically mentions the collection and recycling of portable batteries, which is a critical aspect of circular economy and resource efficiency.
TA3.19; Any natural or legal person that places on the market products incorporating portable batteries shall ensure that those batteries are readily removable and replaceable by the end-user at any time during the lifetime of the product.; TA3_Industrial strategy for a clean and circular economy; Circularity/Recycling - Critical Raw Materials - Batteries Recycling; This target is assigned to the Circularity/Recycling - Critical Raw Materials - Batteries Recycling sub-theme because it aims to ensure that portable batteries are designed for easy removal and replacement, which is a key aspect of circular economy and resource efficiency.
TA3.32; Member States shall take the necessary measures to attain a recycling target of 50% of plastic by weight of plastic contained in packaging waste generated by 31 December 2025, and of 55% by weight of plastic in packaging waste generated by 31 December 2030.; TA3_Industrial strategy for a clean and circular economy; Waste Reduction - Plastic & Packaging; This target is assigned to the Waste Reduction - Plastic & Packaging sub-theme because it aims to increase the recycling rate of plastic packaging waste, which is a key aspect of waste reduction and circular economy.
TA4.3; The yearly average GHG intensity of the energy used on board by a ship during a reporting period shall be reduced, compared to the reference value (91.16 gCO2e/MJ) by: 2% from 1 January 2025, 6% from 1 January 2030, 14.5% from 1 January 2035, 31% from 1 January 2040, 62% from 1 January 2045, 80% from 1 January 2050.; TA4_Sustainable and smart mobility; Net-Zero Technology - Maritime Transport; This target is assigned to the Net-Zero Technology - Maritime Transport sub-theme because it aims to reduce the greenhouse gas intensity of energy used in maritime transport, which is a key aspect of decarbonizing the transport sector.
TA4.8; Member States with maritime ports shall endeavour to ensure that as of 2030 the share of renewable fuels of non-biological origin (RFNBOs) in the total amount of energy supplied to the maritime transport sector is at least 1.2%.; TA4_Sustainable and smart mobility; Low-carbon fuels; This target is assigned to the Low-carbon fuels sub-theme because it aims to increase the share of renewable fuels of non-biological origin in the maritime transport sector, which is a key aspect of decarbonizing the transport sector.
TA5.11; Biodiversity conservation and restoration of natural resources: Protect the environment and restore natural resources. Preserve biodiversity and reduce biodiversity loss.; TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy; Biodiversity conservation; This target is assigned to the Biodiversity conservation sub-theme because it aims to conserve and restore natural resources, preserve biodiversity, and reduce biodiversity loss, which are key aspects of environmental protection and sustainable development.
TA5.35; Preparedness, shock resilience, adaptation and transformation: Strengthen the resilience of the EU food system. Build up resilience to climate change, possible future diseases and pandemics. Increasing the sustainability of food producers will ultimately increase their resilience.; TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy; Food quality; This target is assigned to the Food quality sub-theme because it aims to strengthen the resilience of the EU food system, build up resilience to climate change, and increase the sustainability of food producers, which are key aspects of food quality and security.
TA6.30; Marine ecosystems. Member States shall put in place [...] measures [...] to jointly cover, as a Union target, throughout the areas and ecosystems [...] defined in Art. 2, by 2030, at least 20% of sea areas in need of restoration and, by 2050, all ecosystems in need of restoration.; TA6_Preserving and protecting biodiversity; Marine Ecosystem Restoration; This target is assigned to the Marine Ecosystem Restoration sub-theme because it aims to restore marine ecosystems, which is a key aspect of preserving and protecting biodiversity.
TA6.36; (urban ecosystems) By 2030, Member States shall ensure that there is no net loss in the total national area of urban green space, and of urban tree canopy cover in urban ecosystem areas.; TA6_Preserving and protecting biodiversity; Biodiversity Protection & Conservation - Urban Nature; This target is assigned to the Biodiversity Protection & Conservation - Urban Nature sub-theme because it aims to protect and restore urban green spaces and tree canopy cover, which are key aspects of urban biodiversity and ecosystem services.
TA7.4; The Industrial Emissions Directive (IED) aims at preventing or reducing emissions from large industrial installations and intensive farming into the environment.; TA7_Towards a zero-pollution ambition for a toxic free environment; Improve Air Quality; This target is assigned to the Improve Air Quality sub-theme because it aims to reduce emissions from industrial installations and intensive farming, which is a key aspect of improving air quality and reducing pollution.
TA7.6; Improve soil quality by reducing chemical pesticides’ use by 50%, by 2030; TA7_Towards a zero-pollution ambition for a toxic free environment; Improve Soils Health; This target is assigned to the Improve Soils Health sub-theme because it aims to reduce the use of chemical pesticides, which is a key aspect of improving soil quality and health.
