target_code;target_content;thematic_area;sub_theme;justification;
TA1.11;ESR. Increased national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);TA1_Climate ambition;GHG Reduction;The target is assigned to the GHG Reduction sub-theme because it specifically mentions the reduction of greenhouse gas emissions in various sectors, including transport, buildings, agriculture, and waste.; 
TA2.11;By 31 December 2025, each Member State shall agree to establish a framework for cooperation on joint projects with one or more other Member States for the production of renewable energy, subject to the following: by 31 December 2030, Member States shall endeavour to agree on establishing at least two joint projects, by 31 December 2033, Member States with an annual electricity consumption of more than 100 TWh shall endeavour to agree on establishing a third joint project.;TA2_Clean, affordable and secure energy;Renewable Energy;The target is assigned to the Renewable Energy sub-theme because it focuses on the production of renewable energy through joint projects between Member States.; 
TA2.11;By 31 December 2025, each Member State shall agree to establish a framework for cooperation on joint projects with one or more other Member States for the production of renewable energy, subject to the following: by 31 December 2030, Member States shall endeavour to agree on establishing at least two joint projects, by 31 December 2033, Member States with an annual electricity consumption of more than 100 TWh shall endeavour to agree on establishing a third joint project.;TA2_Clean, affordable and secure energy;Energy Infrastructure;The target is assigned to the Energy Infrastructure sub-theme because it involves the establishment of frameworks for cooperation on joint renewable energy projects.; 
TA2.34;Member States shall ensure that the average primary energy use of the entire residential building stock decreases by at least 16% compared to 2020 by 2030, and by at least 20-22% compared to 2020 by 2035;TA2_Clean, affordable and secure energy;Energy Efficiency - Buildings;The target is assigned to the Energy Efficiency - Buildings sub-theme because it specifically focuses on reducing primary energy use in residential buildings.; 
TA2.40;Around 30% of EU primary steel production is expected to be decarbonised on the basis of renewable hydrogen.;TA2_Clean, affordable and secure energy;Renewable Energy - Hydrogen;The target is assigned to the Renewable Energy - Hydrogen sub-theme because it mentions the use of renewable hydrogen for decarbonizing steel production.; 
TA3.15;Producers of starting, lighting and ignition batteries, industrial batteries and electric vehicle batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall take back, free of charge and without an obligation on the end-user to buy a new battery, nor to have bought the battery from them, and shall ensure that all waste starting, lighting and ignition batteries, waste industrial batteries and waste electric vehicle batteries regardless of their nature, chemical composition, condition, brand, or origin of the respective category that they have made available on the market for the first time in the territory of that Member State are collected separately.;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;The target is assigned to the Circularity/Recycling - Critical Raw Materials - Batteries Recycling sub-theme because it focuses on the collection and recycling of batteries.; 
TA3.23;All recycling shall achieve at least the following targets for recovery of materials, 50% for lithium, no later than 31 December 2027, and 80% for lithium no later than 31 December 2031.;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;The target is assigned to the Circularity/Recycling - Critical Raw Materials - Batteries Recycling sub-theme because it sets targets for the recovery of lithium from recycled materials.; 
TA3.27;All packaging shall be recyclable;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Plastic & Packaging;The target is assigned to the Circularity/Recycling - Plastic & Packaging sub-theme because it focuses on making all packaging recyclable.; 
TA4.1;Achieve an annual production of sustainable biomethane of 35 billion cubic meters by 2030;TA4_Sustainable and smart mobility;Biofuels;The target is assigned to the Biofuels sub-theme because it specifically mentions the production of sustainable biomethane, a type of biofuel.; 
TA4.9;Cut the emissions of transport sector by 90% by 2050 relative to 1990.;TA4_Sustainable and smart mobility;GHG Reduction;The target is assigned to the GHG Reduction sub-theme because it aims to reduce greenhouse gas emissions from the transport sector.; 
TA4.13;For [...] “urban buses” manufacturers shall comply with the 90% (in the reporting period 2030-2034) and 100% (as from 2035) minimum shares in their fleet of new heavy-duty vehicles;TA4_Sustainable and smart mobility;Net-Zero Technology - Road Vehicles;The target is assigned to the Net-Zero Technology - Road Vehicles sub-theme because it focuses on the adoption of zero-emission vehicles in urban bus fleets.; 
TA4.25;Member States shall ensure that, at the end of each year, the following power output targets are met cumulatively: (a) for each light-duty battery electric vehicle registered in their territory, a total power output of at least 1.3 kW is provided through publicly accessible recharging stations, and (b) for each light-duty plug-in hybrid vehicle registered in their territory, a total power output of at least 0.80 kW is provided through publicly accessible recharging stations.;TA4_Sustainable and smart mobility;Energy Infrastructure;The target is assigned to the Energy Infrastructure sub-theme because it involves the deployment of publicly accessible recharging stations for electric vehicles.; 
TA5.15;Consumption footprint: Reduce the environmental and climate footprint of the EU food system, operating within planetary boundaries. Reduce the EU’s contribution to global deforestation and forest degradation.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Biodiversity conservation;The target is assigned to the Biodiversity conservation sub-theme because it aims to reduce the environmental footprint of the EU food system and address deforestation and forest degradation.; 
TA5.20;Trade: Foster the competitiveness of the EU supply sector.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Competitive Agriculture;The target is assigned to the Competitive Agriculture sub-theme because it focuses on enhancing the competitiveness of the EU supply sector in agriculture.; 
TA5.25;Animal welfare: Promote better animal welfare to improve animal health and food quality.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food quality - Animal Welfare;The target is assigned to the Food quality - Animal Welfare sub-theme because it specifically addresses the improvement of animal welfare in the EU food system.; 
TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation;The target is assigned to the Biodiversity Protection & Conservation sub-theme because it aims to legally protect a significant portion of the EU's land area for biodiversity conservation.; 
TA6.46;(agricultural ecosystems) Member States shall put in place measures which shall aim to restore organic soils in agricultural use constituting drained peatlands. Those measures shall be in place on at least: (a) 30% of such areas by 2030, of which at least a quarter shall be rewetted, (b) 40% of such areas by 2040, of which at least a third shall be rewetted, (c) 50% of such areas by 2050, of which at least a third shall be rewetted.;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;The target is assigned to the Terrestrial Ecosystems Restoration - Agricultural Ecosystems sub-theme because it focuses on restoring organic soils in agricultural ecosystems.; 
TA6.51;Member States shall take the measures necessary to ensure that water intended for human consumption is wholesome and clean, by meeting several requirements related to micro-organisms and parasites which constitute a potential danger to human health and quality standards recalled in the Directive.;TA6_Preserving and protecting biodiversity;Improve Water Quality;The target is assigned to the Improve Water Quality sub-theme because it aims to ensure clean and wholesome water for human consumption.; 
TA7.8;Improve soil quality by reducing nutrient losses use by 50%, by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Soils Health;The target is assigned to the Improve Soils Health sub-theme because it focuses on improving soil quality through the reduction of nutrient losses.; 
TA1.11;ESR. Increased national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);TA1_Climate ambition;GHG Reduction - Buildings;The target is assigned to the GHG Reduction - Buildings sub-theme because it includes the reduction of greenhouse gas emissions from the buildings sector.; 
TA2.7;Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables set out in the REPowerEU Plan.;TA2_Clean, affordable and secure energy;Renewable Energy - Solar;The target is assigned to the Renewable Energy - Solar sub-theme because it specifically mentions the installation of photovoltaic (PV) capacity to increase the share of renewable energy.; 
TA3.3;Double EU’s circular material use rate in the coming decade;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling;The target is assigned to the Circularity/Recycling sub-theme because it aims to increase the circular material use rate in the EU.; 
TA4.25;Member States shall ensure that, at the end of each year, the following power output targets are met cumulatively: (a) for each light-duty battery electric vehicle registered in their territory, a total power output of at least 1.3 kW is provided through publicly accessible recharging stations, and (b) for each light-duty plug-in hybrid vehicle registered in their territory, a total power output of at least 0.80 kW is provided through publicly accessible recharging stations.;TA4_Sustainable and smart mobility;Net-Zero Technology - Road Vehicles;The target is also assigned to the Net-Zero Technology - Road Vehicles sub-theme because it involves the deployment of recharging infrastructure for electric and hybrid vehicles.; 
TA5.15;Consumption footprint: Reduce the environmental and climate footprint of the EU food system, operating within planetary boundaries. Reduce the EU’s contribution to global deforestation and forest degradation.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food quality - Healthy Food;The target is assigned to the Food quality - Healthy Food sub-theme because reducing the environmental footprint of the food system can lead to healthier food options.; 
TA6.46;(agricultural ecosystems) Member States shall put in place measures which shall aim to restore organic soils in agricultural use constituting drained peatlands. Those measures shall be in place on at least: (a) 30% of such areas by 2030, of which at least a quarter shall be rewetted, (b) 40% of such areas by 2040, of which at least a third shall be rewetted, (c) 50% of such areas by 2050, of which at least a third shall be rewetted.;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation - Monitoring;The target is assigned to the Biodiversity Protection & Conservation - Monitoring sub-theme because it involves monitoring the restoration of organic soils in agricultural ecosystems.; 
TA7.8;Improve soil quality by reducing nutrient losses use by 50%, by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Noise Reduction;The target is not directly related to noise reduction, this assignment is incorrect and should be revised to a more appropriate sub-theme such as Improve Soils Health or Waste Reduction - Municipal Waste.; 
TA1.11;ESR. Increased national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);TA1_Climate ambition;GHG Reduction - Methane;The target is assigned to the GHG Reduction - Methane sub-theme because it includes the reduction of greenhouse gas emissions from sectors that may include methane emissions, such as agriculture and waste.; 
