target_code;target_content;thematic_area;sub_theme;justification
TA1.1;Reduce greenhouse gas emissions by at least 55% by 2030;TA1_Climate ambition;GHG Reduction;This target is assigned to the GHG Reduction sub-theme as it directly aims to reduce greenhouse gas emissions.
TA1.2;Achieve climate neutrality by 2050;TA1_Climate ambition;Climate Resilience;This target is assigned to the Climate Resilience sub-theme as it aims to achieve a long-term goal of climate neutrality.
TA2.7;Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables set out in the REPowerEU Plan.;TA2_Clean, affordable and secure energy;Renewable Energy - Solar;This target is assigned to the Renewable Energy - Solar sub-theme as it specifically mentions the installation of photovoltaic (PV) capacity to reach a renewable energy target.
TA2.8;The EU has become a global leader in offshore wind, exporting equipment and expertise around the world.;TA2_Clean, affordable and secure energy;Renewable Energy - Ocean/Offshore;This target is assigned to the Renewable Energy - Ocean/Offshore sub-theme as it mentions offshore wind, which is a type of ocean/offshore renewable energy.
TA3.9;By 2030, Union processing capacity, including for all intermediate processing steps, should be able of producing at least 40% of the Union’s annual consumption of strategic raw materials.;TA3_Industrial strategy for a clean and circular economy;Critical Raw Materials - Extraction & Import;This target is assigned to the Critical Raw Materials - Extraction & Import sub-theme as it aims to increase the Union's processing capacity for strategic raw materials.
TA3.18;For industrial batteries with a capacity greater than 2kWh, except those with exclusively external storage, electric vehicle batteries and starting, lighting and ignition batteries that contain cobalt, lead, lithium or nickel in active materials, the minimum recycled content percentage for each battery model per year and per manufacturing plant shall be: From 18 August 2031, 16% cobalt, 85% lead, 6% lithium, and 6% nickel.;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;This target is assigned to the Circularity/Recycling - Critical Raw Materials - Batteries Recycling sub-theme as it specifically mentions the recycling of industrial batteries.
TA4.1;Reduce transport’s reliance on fossil fuels without delay and in synergy with zero pollution efforts;TA4_Sustainable and smart mobility;Transport Logistics;This target is assigned to the Transport Logistics sub-theme as it aims to reduce transport's reliance on fossil fuels.
TA4.2;The successful decarbonisation of road transport requires a robust capillary infrastructure for alternative fuels.;TA4_Sustainable and smart mobility;Net-Zero Technology - Road Vehicles;This target is assigned to the Net-Zero Technology - Road Vehicles sub-theme as it mentions the decarbonisation of road transport and alternative fuels.
TA5.9;Increase organic farming with the aim to achieve at least 25% of total farmland under organic farming by 2030;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Competitive Agriculture;This target is assigned to the Competitive Agriculture sub-theme as it aims to increase organic farming.
TA5.19;Preserve the price affordability of food.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food affordability;This target is assigned to the Food affordability sub-theme as it directly aims to preserve the price affordability of food.
TA5.22;Create shorter supply chains will support reducing dependence on long-haul transportation.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Transport Logistics;This target is assigned to the Transport Logistics sub-theme as it aims to reduce dependence on long-haul transportation.
TA5.30;Ensure affordability to sufficient, nutritious and sustainable food;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food affordability;This target is assigned to the Food affordability sub-theme as it aims to ensure affordability of sufficient, nutritious, and sustainable food.
TA5.31;Increase reformulation of food products in line with guidelines for healthy and sustainable diets;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food quality - Healthy Food;This target is assigned to the Food quality - Healthy Food sub-theme as it aims to increase reformulation of food products for healthy and sustainable diets.
TA6.15;Reduce the losses of nutrients from fertilisers by 50%, resulting in the reduction of the use of fertilisers by at least 20%;TA6_Preserving and protecting biodiversity;Pesticides Reduction;This target is assigned to the Pesticides Reduction sub-theme as it aims to reduce the losses of nutrients from fertilisers.
TA6.33;Put in place the restoration measures for the terrestrial, coastal and freshwater habitats of the species listed in Annexes II, IV and V to Directive 92/43/EEC and of the terrestrial, coastal and freshwater habitats of wild birds covered by Directive 2009/147/EC;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;This target is assigned to the Terrestrial Ecosystems Restoration - Agricultural Ecosystems sub-theme as it aims to restore habitats of species.
TA6.38;Achieve, in each urban ecosystem area, an increasing trend of urban tree canopy cover, measured every six years after 31 December 2030, until the satisfactory level identified in accordance with Article 14(5) is reached.;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation - Urban Nature;This target is assigned to the Biodiversity Protection & Conservation - Urban Nature sub-theme as it aims to increase urban tree canopy cover.
TA6.43;Ensure, by 2030 at the latest, that the condition is known for at least 50% of the area distributed over all habitat types listed in groups 1–6 of Annex II.;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation - Monitoring;This target is assigned to the Biodiversity Protection & Conservation - Monitoring sub-theme as it aims to ensure the condition of habitats is known.
TA6.47;Contribute to the commitment of planting at least three billion additional trees by 2030 at Union level.;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Forests;This target is assigned to the Terrestrial Ecosystems Restoration - Forests sub-theme as it aims to plant additional trees.
TA7.1;Improve air quality to reduce the number of premature deaths caused by air pollution by 55% by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Air Quality;This target is assigned to the Improve Air Quality sub-theme as it directly aims to improve air quality.
TA7.2;Improve water quality by reducing waste, plastic litter at sea (by 50%) and microplastics released into the environment (by 30%), by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Water Quality;This target is assigned to the Improve Water Quality sub-theme as it aims to improve water quality by reducing waste and microplastics.
TA7.3;Reduce by 25% the EU ecosystems where air pollution threatens biodiversity, by 2030 (compared to 2005);TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Air Quality;This target is assigned to the Improve Air Quality sub-theme as it aims to reduce air pollution's impact on biodiversity.
TA7.4;Reduce the share of people chronically disturbed by transport noise by 30%, by 2030 (compared to 2017);TA7_Towards a zero-pollution ambition for a toxic free environment;Noise Reduction;This target is assigned to the Noise Reduction sub-theme as it directly aims to reduce transport noise.
TA7.5;Improve soil quality by reducing nutrient losses and chemical pesticides’ use by 50%, by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Soils Health;This target is assigned to the Improve Soils Health sub-theme as it aims to improve soil quality by reducing nutrient losses and chemical pesticides' use.
