target_code;target_content;thematic_area;sub_theme;justification
TA1.10; ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42% emission reductions by 2030 compared to 2005; TA1_Climate ambition; GHG Reduction; This target is assigned to the GHG Reduction sub-theme because it specifically mentions emission reductions in various sectors, which is a key aspect of reducing greenhouse gas emissions. The target is also related to the ETS2, which is a mechanism for reducing emissions.
TA1.10; ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42% emission reductions by 2030 compared to 2005; TA1_Climate ambition; GHG Reduction - Buildings; This target is assigned to the GHG Reduction - Buildings sub-theme because it specifically mentions the buildings sector as one of the areas where emission reductions are expected.
TA2.6; Energy demand to be covered by solar heat and geothermal should at least triple (rate is currently at 1.5%); TA2_Clean, affordable and secure energy; Renewable Energy - Heating & Cooling; This target is assigned to the Renewable Energy - Heating & Cooling sub-theme because it specifically mentions solar heat and geothermal energy, which are types of renewable energy used for heating and cooling.
TA2.6; Energy demand to be covered by solar heat and geothermal should at least triple (rate is currently at 1.5%); TA2_Clean, affordable and secure energy; Renewable Energy; This target is assigned to the Renewable Energy sub-theme because it mentions a specific type of renewable energy (solar heat and geothermal) and sets a target for increasing its use.
TA2.9; Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%.; TA2_Clean, affordable and secure energy; Renewable Energy; This target is assigned to the Renewable Energy sub-theme because it sets a specific target for the share of renewable energy in the EU's energy consumption.
TA2.24; Each Member State shall ensure that at least 3% of the total floor area of heated and/or cooled buildings (of buildings which have a total useful floor area of over 250 m2 and are not nearly-zero energy buildings) that are owned by public bodies is renovated each year to be transformed into at least nearly zero-energy buildings or zero-emission buildings in accordance with Article 9 of Directive 2010/31/EU.; TA2_Clean, affordable and secure energy; Energy Efficiency - Buildings; This target is assigned to the Energy Efficiency - Buildings sub-theme because it specifically mentions the renovation of buildings to improve their energy efficiency.
TA2.26; At least double the annual energy renovation rate of residential and non-residential buildings by 2030 and to foster deep energy renovations.; TA2_Clean, affordable and secure energy; Energy Efficiency - Buildings; This target is assigned to the Energy Efficiency - Buildings sub-theme because it mentions increasing the energy renovation rate of buildings, which is a key aspect of improving energy efficiency.
TA3.13; By 2030, Union recycling capacity, including for all intermediate recycling steps, should be able of producing at least 25% of the Union’s annual consumption of strategic raw materials and should be able of recycling significantly increasing amounts of each strategic raw material from waste.; TA3_Industrial strategy for a clean and circular economy; Circularity/Recycling - Critical Raw Materials - Batteries Recycling; This target is assigned to the Circularity/Recycling - Critical Raw Materials - Batteries Recycling sub-theme because it specifically mentions recycling strategic raw materials, which includes critical materials used in batteries.
TA3.20; Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025 - 75% by average weight of lead-acid batteries, - 80% by average weight of nickel-cadmium batteries - 50% by average weight of other waste batteries No later than 31 December 2030 - 80% by average weight of lead-acid batteries,; TA3_Industrial strategy for a clean and circular economy; Circularity/Recycling - Critical Raw Materials - Batteries Recycling; This target is assigned to the Circularity/Recycling - Critical Raw Materials - Batteries Recycling sub-theme because it specifically mentions recycling efficiency targets for different types of batteries.
TA4.10; EU fisheries are encouraged to continue the positive trend, as observed for the period 2009-2019, towards reducing fuel intensity by reducing the fossil-fuel consumption per kg of landed product for at least an additional 15% for the period 2019-2030.; TA4_Sustainable and smart mobility; Transport Logistics; This target is assigned to the Transport Logistics sub-theme because it mentions reducing fuel intensity in the fisheries sector, which is a type of transportation.
TA4.26; Member States shall ensure that along the TEN-T core and comprehensive network, publicly accessible recharging pools dedicated to light-duty vehicles deployed in each direction of travel with a maximum distance of 60 km in-between them offering a power output of at least 600kW and including at least one recharging point with an individual power output of at least 150 kW.; TA4_Sustainable and smart mobility; Net-Zero Technology - Road Vehicles; This target is assigned to the Net-Zero Technology - Road Vehicles sub-theme because it specifically mentions recharging pools for light-duty vehicles, which is a key aspect of transitioning to net-zero emissions in the road transport sector.
TA4.29; By 31 December 2030, in each urban node publicly accessible recharging points dedicated to heavy-duty electric vehicles with an aggregated power output of at least 1 800 kW are deployed, provided by recharging stations with an individual power output of at least 150 kW.; TA4_Sustainable and smart mobility; Net-Zero Technology - Road Vehicles; This target is assigned to the Net-Zero Technology - Road Vehicles sub-theme because it specifically mentions recharging points for heavy-duty electric vehicles, which is a key aspect of transitioning to net-zero emissions in the road transport sector.
