target_code;target_content;thematic_area;sub_theme;justification;
TA6.35;Terrestrial, coastal and freshwater ecosystems. Member States shall ensure that there is: (a) an increase of habitat area in good condition for habitat types listed in Annex I until at least 90% is in good condition and until the favourable reference area for each habitat type in each biogeographic region of the Member State concerned is reached, (b) an increasing trend towards the sufficient quality and quantity of the terrestrial, coastal and freshwater habitats of the species referred to in Annexes II, IV and V to Directive 92/43/EEC and of the species covered by Directive 2009/147/EC.;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration;"This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration"" because it focuses on restoring habitats and improving the quality and quantity of terrestrial, coastal, and freshwater habitats for various species.";
TA6.35;Terrestrial, coastal and freshwater ecosystems. Member States shall ensure that there is: (a) an increase of habitat area in good condition for habitat types listed in Annex I until at least 90% is in good condition and until the favourable reference area for each habitat type in each biogeographic region of the Member State concerned is reached, (b) an increasing trend towards the sufficient quality and quantity of the terrestrial, coastal and freshwater habitats of the species referred to in Annexes II, IV and V to Directive 92/43/EEC and of the species covered by Directive 2009/147/EC.;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation;"This target is also assigned to the sub-theme ""Biodiversity Protection & Conservation"" because it aims to protect and conserve species and their habitats.";
TA2.4;Double the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027 and 30 million units by 2030.;TA2_Clean, affordable and secure energy;Renewable Energy - Heating & Cooling;"This target is assigned to the sub-theme ""Renewable Energy - Heating & Cooling"" because it focuses on increasing the deployment of heat pumps, which is a renewable energy technology for heating and cooling.";
TA2.4;Double the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027 and 30 million units by 2030.;TA2_Clean, affordable and secure energy;Energy Efficiency - Buildings;"This target is also assigned to the sub-theme ""Energy Efficiency - Buildings"" because it aims to improve energy efficiency in buildings through the use of heat pumps.";
TA6.44;(agricultural ecosystems) Member States shall put in place measures which shall aim to achieve an increasing trend at national level of at least two out of the three following indicators in agricultural ecosystems, as further specified in Annex IV, measured in the period from the date of entry into force of this Regulation until 31 December 2030, and every six years thereafter, until the satisfactory levels, identified in accordance with Article 14(5), are reached: (a) grassland butterfly index, (b) stock of organic carbon in cropland mineral soils, (c) share of agricultural land with high-diversity landscape features.;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;"This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration - Agricultural Ecosystems"" because it focuses on restoring and improving the quality of agricultural ecosystems.";
TA6.44;(agricultural ecosystems) Member States shall put in place measures which shall aim to achieve an increasing trend at national level of at least two out of the three following indicators in agricultural ecosystems, as further specified in Annex IV, measured in the period from the date of entry into force of this Regulation until 31 December 2030, and every six years thereafter, until the satisfactory levels, identified in accordance with Article 14(5), are reached: (a) grassland butterfly index, (b) stock of organic carbon in cropland mineral soils, (c) share of agricultural land with high-diversity landscape features.;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation;"This target is also assigned to the sub-theme ""Biodiversity Protection & Conservation"" because it aims to protect and conserve biodiversity in agricultural ecosystems.";
TA4.55;Zero-emission in urban logistics;TA4_Sustainable and smart mobility;Urban Mobility;"This target is assigned to the sub-theme ""Urban Mobility"" because it focuses on reducing emissions in urban logistics.";
TA4.55;Zero-emission in urban logistics;TA4_Sustainable and smart mobility;Net-Zero Technology - Road Vehicles;"This target is also assigned to the sub-theme ""Net-Zero Technology - Road Vehicles"" because it aims to achieve zero-emission in urban logistics through the use of net-zero technologies.";
TA2.23;Member States shall make efforts to collectively contribute to the indicative Union primary energy consumption target amounting to no more than 992.5 Mtoe in 2030.;TA2_Clean, affordable and secure energy;Energy Efficiency;"This target is assigned to the sub-theme ""Energy Efficiency"" because it aims to reduce primary energy consumption.";
TA2.23;Member States shall make efforts to collectively contribute to the indicative Union primary energy consumption target amounting to no more than 992.5 Mtoe in 2030.;TA2_Clean, affordable and secure energy;Energy Infrastructure;"This target is also assigned to the sub-theme ""Energy Infrastructure"" because it aims to improve energy infrastructure to support reduced energy consumption.";
