```csv
target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE_level3_extra2;justification;confidence_score
TA4.1;The amendments in Dir. 2023/2413 are also intended to support the achievement of the Union’s target of an annual production of sustainable biomethane of 35 billion cubic meters by 2030;A - Agriculture, Forestry and Fishing;D - Electricity, Gas, Steam and Air Conditioning Supply;;A1 - Crop and animal production, hunting and related service activities;D35 - Electricity, gas, steam and air conditioning supply;;A1.1 - Growing of non-perennial crops;D35.1 - Electric power generation, transmission and distribution;;Biomethane production involves agricultural feedstocks and energy supply, linking agriculture and energy sectors.;8
TA4.10;EU fisheries are encouraged to continue the positive trend, as observed for the period 2009-2019, towards reducing fuel intensity by reducing the fossil-fuel consumption per kg of landed product for at least an additional 15% for the period 2019-2030;A - Agriculture, Forestry and Fishing;H - Transportation and Storage;;A3 - Fishing and aquaculture;H50 - Water transport;;A3.1 - Fishing;H50.1 - Sea and coastal passenger water transport;;The target focuses on fisheries and their fuel consumption, involving fishing and transportation sectors.;9
TA4.11;Reduce the average door-to-door cost of combined transport operations by at least 10% within 7 years;H - Transportation and Storage;N - Administrative and Support Service Activities;;H52 - Warehousing and support activities for transportation;N82 - Office administrative, office support and other business support activities;;H52.2 - Support activities for transportation;N82.1 - Office administrative and support activities;;The target involves reducing costs in transport operations, linking transport and support services.;8
TA4.12;GHG intensity reduction target in the maritime sector (link Agreement Council - Parliament on 23.03.2023): -2% from 1 January 2025, -6% from 1 January 2030, -14.5% from 1 January 2035, -31% from 1 January 2040, -62% from 1 January 2045, -80% from 1 January 2050);H - Transportation and Storage;Q - Human Health and Social Work Activities;;H50 - Water transport;Q86 - Human health activities;;H50.1 - Sea and coastal passenger water transport;Q86.2 - Medical and dental practice activities;;The focus is on reducing GHG in the maritime sector, directly involving transportation and indirectly affecting health.;7
TA4.13;For new urban buses the share of zeroemissions vehicles shall be 100% as from the reporting period of the year 2030;H - Transportation and Storage;;I - Accommodation and Food Service Activities;H49 - Land transport and transport via pipelines;;H49.3 - Other passenger land transport;;Focuses on land transport and the transition to zero-emission buses.;9
TA4.14;Renewable and low-carbon fuels should represent between 6% and 9% of the international maritime transport fuel mix by 2030 and between 86% and 88% by 2050;H - Transportation and Storage;D - Electricity, Gas, Steam and Air Conditioning Supply;;H50 - Water transport;D35 - Electricity, gas, steam and air conditioning supply;;H50.2 - Sea and coastal freight water transport;D35.2 - Manufacture of gas, distribution of gaseous fuels through mains;;Involves maritime transport and energy supply sectors, focusing on fuel mix changes.;8
TA4.15;The average CO2 emissions of the Union fleet of new heavy-duty motor vehicles, other than special purpose, off-road, off-road special purpose, and vocational vehicles shall be reduced by the following percentages compared to the average CO2 emissions of the reporting period of the year 2019: (a) for vehicle sub-groups 4-UD, 4-RD, 4-LH, 5-RD, 5-LH, 9-RD, 9-LH, 10-RD, 10-LH for the reporting periods of the years 2025 to 2029 by 15 %, for all vehicle sub-groups for the reporting periods of the years 2030 to 2034 by 45 %, (c) for all vehicle sub-groups for the reporting periods of the years 2035 to 2039 by 65 %, (d) for all vehicle sub-groups for the reporting periods of the years 2040 onwards by 90%;H - Transportation and Storage;C - Manufacturing;;H49 - Land transport and transport via pipelines;C29 - Manufacture of motor vehicles, trailers and semi-trailers;;H49.4 - Freight transport by road and removal services;C29.1 - Manufacture of motor vehicles;;Focuses on reducing emissions from heavy-duty vehicles, linking transport and vehicle manufacturing.;9
TA4.16;From 1 January 2020, this Regulation sets an EU fleet-wide target of 95 g CO2/km for the average emissions of new passenger cars and an EU fleet-wide target of 147 g CO2/km for the average emissions of new light commercial vehicles registered in the Union, as measured until 31 December 2020 in accordance with Regulation (EC) No 692/2008 together with Implementing Regulations (EU) 2017/1152 and (EU) 2017/1153, and from 1 January 2021 measured in accordance with Regulation (EU) 2017/1151.;H - Transportation and Storage;C - Manufacturing;;H49 - Land transport and transport via pipelines;C29 - Manufacture of motor vehicles, trailers and semi-trailers;;H49.3 - Other passenger land transport;C29.1 - Manufacture of motor vehicles;;Target relates to emission standards for vehicles, involving transport and vehicle manufacturing.;9
TA4.17;This Regulation will, until 31 December 2024, be complemented by additional measures corresponding to a reduction of 10 g CO2/km as part of the Union's integrated approach referred to in the Commission's communication of 7 February 2007 entitled ‘Results of the review of the Community Strategy to reduce CO2 emissions from passenger cars and light-commercial vehicles;H - Transportation and Storage;C - Manufacturing;;H49 - Land transport and transport via pipelines;C29 - Manufacture of motor vehicles, trailers and semi-trailers;;H49.3 - Other passenger land transport;C29.1 - Manufacture of motor vehicles;;Focuses on further reducing CO2 emissions from vehicles, involving transport and manufacturing.;9
TA4.18;;nan;nan;nan;nan;nan;nan;nan;nan;nan;No content available.;0
